1,藤丸 光一,藤丸 光一.1,2,田中 孝明,田中 孝明.1,3,山口 広樹,山口 広樹.1,4,竹井 貴史,竹井 貴史.1,5,渡辺 空依,渡辺 空依.1,6,渡辺 浩司,渡辺 浩司.1
2.0,3.0,33.6,1.0,3.0,61.6,1.0,2.0,116.0,1.0,2.0,52.0,1.0,2.0,490.3,1.0,2.0,141.8
2.0,4.0,19.5,1.0,4.0,33.1,1.0,4.0,57.3,1.0,3.0,67.1,1.0,3.0,546.3,1.0,3.0,197.1
2.0,5.0,82.0,1.0,5.0,126.9,1.0,5.0,160.1,1.0,5.0,124.2,1.0,4.0,427.0,1.0,4.0,88.5
2.0,6.0,32.4,1.0,6.0,54.2,1.0,6.0,69.9,1.0,6.0,24.3,1.0,6.0,335.3,1.0,5.0,319.1
3.0,2.0,41.9,3.0,1.0,106.8,2.0,1.0,141.9,2.0,1.0,75.2,2.0,1.0,618.0,2.0,1.0,203.9
3.0,4.0,22.6,3.0,4.0,64.0,2.0,4.0,77.2,2.0,3.0,96.4,2.0,3.0,765.7,2.0,3.0,287.8
3.0,5.0,82.8,3.0,5.0,192.0,2.0,5.0,171.1,2.0,5.0,176.0,2.0,4.0,516.4,2.0,4.0,119.7
3.0,6.0,39.1,3.0,6.0,91.2,2.0,6.0,106.5,2.0,6.0,45.9,2.0,6.0,461.9,2.0,5.0,404.2
4.0,2.0,21.5,4.0,1.0,43.3,4.0,1.0,63.0,3.0,1.0,105.8,3.0,1.0,758.2,3.0,1.0,322.1
4.0,3.0,21.7,4.0,3.0,57.4,4.0,2.0,76.9,3.0,2.0,124.1,3.0,2.0,939.2,3.0,2.0,345.8
4.0,5.0,77.9,4.0,5.0,111.0,4.0,5.0,125.6,3.0,5.0,210.3,3.0,4.0,740.1,3.0,4.0,189.5
4.0,6.0,16.0,4.0,6.0,33.7,4.0,6.0,44.9,3.0,6.0,56.6,3.0,6.0,597.8,3.0,5.0,555.1
5.0,2.0,198.5,5.0,1.0,367.0,5.0,1.0,375.9,5.0,1.0,224.1,4.0,1.0,517.2,4.0,1.0,96.8
5.0,3.0,213.8,5.0,3.0,420.6,5.0,2.0,402.1,5.0,2.0,247.9,4.0,2.0,600.1,4.0,2.0,106.8
5.0,4.0,180.9,5.0,4.0,257.1,5.0,4.0,293.0,5.0,3.0,330.7,4.0,3.0,805.3,4.0,3.0,158.4
5.0,6.0,165.0,5.0,6.0,299.4,5.0,6.0,284.4,5.0,6.0,95.3,4.0,6.0,257.1,4.0,5.0,191.0
6.0,2.0,60.9,6.0,1.0,101.2,6.0,1.0,127.3,6.0,1.0,34.1,6.0,1.0,359.8,5.0,1.0,492.6
6.0,3.0,73.4,6.0,3.0,136.2,6.0,2.0,133.0,6.0,2.0,38.7,6.0,2.0,448.6,5.0,2.0,465.3
6.0,4.0,39.4,6.0,4.0,59.1,6.0,4.0,76.4,6.0,3.0,57.3,6.0,3.0,564.2,5.0,3.0,629.3
6.0,5.0,161.7,6.0,5.0,232.1,6.0,5.0,237.6,6.0,5.0,66.2,6.0,4.0,290.8,5.0,4.0,276.5
