1,天野 誠,天野 誠.1,2,高橋 勲,高橋 勲.1,3,後藤 正宗,後藤 正宗.1,4,柴田 光,柴田 光.1,5,桐本 康臣,桐本 康臣.1,6,今村 暢孝,今村 暢孝.1
2.0,3.0,174.7,1.0,3.0,180.1,1.0,2.0,244.9,1.0,2.0,169.9,1.0,2.0,757.1,1.0,2.0,421.4
2.0,4.0,287.7,1.0,4.0,247.1,1.0,4.0,194.3,1.0,3.0,119.0,1.0,3.0,581.6,1.0,3.0,398.1
2.0,5.0,331.4,1.0,5.0,222.4,1.0,5.0,196.1,1.0,5.0,151.7,1.0,4.0,583.1,1.0,4.0,289.6
2.0,6.0,440.3,1.0,6.0,330.9,1.0,6.0,323.9,1.0,6.0,118.0,1.0,6.0,676.4,1.0,5.0,569.3
3.0,2.0,245.7,3.0,1.0,146.3,2.0,1.0,186.6,2.0,1.0,161.6,2.0,1.0,591.1,2.0,1.0,466.0
3.0,4.0,200.7,3.0,4.0,31.7,2.0,4.0,37.6,2.0,3.0,34.9,2.0,3.0,113.0,2.0,3.0,188.1
3.0,5.0,263.7,3.0,5.0,23.6,2.0,5.0,28.1,2.0,5.0,41.7,2.0,4.0,161.0,2.0,4.0,128.6
3.0,6.0,370.1,3.0,6.0,53.8,2.0,6.0,68.7,2.0,6.0,45.1,2.0,6.0,259.3,2.0,5.0,251.2
4.0,2.0,302.2,4.0,1.0,224.3,4.0,1.0,132.7,3.0,1.0,110.0,3.0,1.0,338.7,3.0,1.0,366.9
4.0,3.0,260.6,4.0,3.0,49.7,4.0,2.0,33.6,3.0,2.0,33.6,3.0,2.0,81.7,3.0,2.0,183.0
4.0,5.0,294.7,4.0,5.0,55.7,4.0,5.0,17.1,3.0,5.0,21.8,3.0,4.0,61.1,3.0,4.0,99.4
4.0,6.0,246.6,4.0,6.0,69.0,4.0,6.0,33.2,3.0,6.0,25.9,3.0,6.0,96.5,3.0,5.0,147.6
5.0,2.0,549.0,5.0,1.0,226.8,5.0,1.0,141.2,5.0,1.0,181.3,4.0,1.0,473.2,4.0,1.0,190.6
5.0,3.0,449.5,5.0,3.0,41.2,5.0,2.0,30.1,5.0,2.0,65.7,4.0,2.0,142.8,4.0,2.0,99.3
5.0,4.0,435.0,5.0,4.0,66.5,5.0,4.0,22.1,5.0,3.0,37.9,4.0,3.0,83.8,4.0,3.0,79.3
5.0,6.0,542.1,5.0,6.0,99.2,5.0,6.0,43.0,5.0,6.0,45.5,4.0,6.0,100.5,4.0,5.0,89.9
6.0,2.0,476.3,6.0,1.0,350.8,6.0,1.0,312.7,6.0,1.0,79.1,6.0,1.0,728.9,5.0,1.0,604.4
6.0,3.0,450.4,6.0,3.0,117.5,6.0,2.0,117.9,6.0,2.0,35.7,6.0,2.0,338.7,5.0,2.0,309.5
6.0,4.0,257.8,6.0,4.0,105.2,6.0,4.0,63.9,6.0,3.0,24.9,6.0,3.0,211.7,5.0,3.0,225.7
6.0,5.0,469.0,6.0,5.0,134.8,6.0,5.0,72.7,6.0,5.0,30.7,6.0,4.0,151.8,5.0,4.0,150.5
