1,杉山 正樹,杉山 正樹.1,2,中 亮太,中 亮太.1,3,木下 翔太,木下 翔太.1,4,植田 太一,植田 太一.1,5,山本 隆幸,山本 隆幸.1,6,青木 蓮,青木 蓮.1
2.0,3.0,7.2,1.0,3.0,33.8,1.0,2.0,58.1,1.0,2.0,115.3,1.0,2.0,162.0,1.0,2.0,594.0
2.0,4.0,10.7,1.0,4.0,49.6,1.0,4.0,97.5,1.0,3.0,158.6,1.0,3.0,181.6,1.0,3.0,715.1
2.0,5.0,10.5,1.0,5.0,48.8,1.0,5.0,54.2,1.0,5.0,110.8,1.0,4.0,241.6,1.0,4.0,877.0
2.0,6.0,38.5,1.0,6.0,123.3,1.0,6.0,143.8,1.0,6.0,157.0,1.0,6.0,283.5,1.0,5.0,899.0
3.0,2.0,8.8,3.0,1.0,90.0,2.0,1.0,115.2,2.0,1.0,209.7,2.0,1.0,303.9,2.0,1.0,872.1
3.0,4.0,14.6,3.0,4.0,200.3,2.0,4.0,326.7,2.0,3.0,390.9,2.0,3.0,532.9,2.0,3.0,1706.0
3.0,5.0,10.3,3.0,5.0,170.4,2.0,5.0,224.4,2.0,5.0,276.5,2.0,4.0,638.7,2.0,4.0,1592.0
3.0,6.0,35.1,3.0,6.0,378.7,2.0,6.0,496.9,2.0,6.0,400.1,2.0,6.0,719.5,2.0,5.0,2028.0
4.0,2.0,19.6,4.0,1.0,149.2,4.0,1.0,310.3,3.0,1.0,326.5,3.0,1.0,321.0,3.0,1.0,1017.0
4.0,3.0,26.2,4.0,3.0,217.0,4.0,2.0,500.6,3.0,2.0,585.4,3.0,2.0,660.9,3.0,2.0,2019.0
4.0,5.0,28.8,4.0,5.0,255.1,4.0,5.0,440.4,3.0,5.0,446.9,3.0,4.0,1078.0,3.0,4.0,1696.0
4.0,6.0,54.4,4.0,6.0,468.7,4.0,6.0,637.0,3.0,6.0,642.7,3.0,6.0,1194.0,3.0,5.0,1855.0
5.0,2.0,22.7,5.0,1.0,166.9,5.0,1.0,168.0,5.0,1.0,141.9,4.0,1.0,315.8,4.0,1.0,1223.0
5.0,3.0,25.7,5.0,3.0,243.0,5.0,2.0,307.5,5.0,2.0,212.3,4.0,2.0,504.1,4.0,2.0,1940.0
5.0,4.0,42.0,5.0,4.0,403.9,5.0,4.0,507.1,5.0,3.0,348.0,4.0,3.0,710.7,4.0,3.0,1889.0
5.0,6.0,65.0,5.0,6.0,579.6,5.0,6.0,517.0,5.0,6.0,194.5,4.0,6.0,420.7,4.0,5.0,1318.0
6.0,2.0,118.8,6.0,1.0,647.6,6.0,1.0,595.5,6.0,1.0,360.7,6.0,1.0,719.5,5.0,1.0,1340.0
6.0,3.0,115.3,6.0,3.0,988.5,6.0,2.0,1071.0,6.0,2.0,572.1,6.0,2.0,967.0,5.0,2.0,2216.0
6.0,4.0,140.2,6.0,4.0,1112.0,6.0,4.0,1028.0,6.0,3.0,692.3,6.0,3.0,1185.0,5.0,3.0,2130.0
6.0,5.0,153.2,6.0,5.0,1062.0,6.0,5.0,887.9,6.0,5.0,364.9,6.0,4.0,828.8,5.0,4.0,1429.0
