1,井口 佳典,井口 佳典.1,2,下條　雄太郎,下條　雄太郎.1,3,太田 和美,太田 和美.1,4,白神 優,白神 優.1,5,宮之原　輝紀,宮之原　輝紀.1,6,大上 卓人,大上 卓人.1
2.0,3.0,13.0,1.0,3.0,40.5,1.0,2.0,161.6,1.0,2.0,164.4,1.0,2.0,56.8,1.0,2.0,777.9
2.0,4.0,10.2,1.0,4.0,31.4,1.0,4.0,223.9,1.0,3.0,408.5,1.0,3.0,126.1,1.0,3.0,1590.0
2.0,5.0,6.9,1.0,5.0,18.1,1.0,5.0,154.5,1.0,5.0,174.3,1.0,4.0,124.5,1.0,4.0,1467.0
2.0,6.0,24.7,1.0,6.0,49.8,1.0,6.0,264.0,1.0,6.0,290.0,1.0,6.0,103.6,1.0,5.0,1010.0
3.0,2.0,23.8,3.0,1.0,100.2,2.0,1.0,208.1,2.0,1.0,214.7,2.0,1.0,76.1,2.0,1.0,898.1
3.0,4.0,37.2,3.0,4.0,121.6,2.0,4.0,215.9,2.0,3.0,407.1,2.0,3.0,161.4,2.0,3.0,1988.0
3.0,5.0,29.5,3.0,5.0,77.6,2.0,5.0,158.3,2.0,5.0,170.2,2.0,4.0,135.3,2.0,4.0,1381.0
3.0,6.0,66.6,3.0,6.0,160.8,2.0,6.0,297.8,2.0,6.0,366.6,2.0,6.0,141.1,2.0,5.0,829.0
4.0,2.0,22.9,4.0,1.0,88.6,4.0,1.0,446.3,3.0,1.0,743.3,3.0,1.0,311.4,3.0,1.0,2201.0
4.0,3.0,48.8,4.0,3.0,147.6,4.0,2.0,482.9,3.0,2.0,783.8,3.0,2.0,346.6,3.0,2.0,2767.0
4.0,5.0,26.3,4.0,5.0,72.5,4.0,5.0,455.0,3.0,5.0,838.4,3.0,4.0,680.3,3.0,4.0,3515.0
4.0,6.0,58.9,4.0,6.0,143.3,4.0,6.0,620.0,3.0,6.0,1161.0,3.0,6.0,603.1,3.0,5.0,2685.0
5.0,2.0,12.5,5.0,1.0,35.8,5.0,1.0,227.4,5.0,1.0,186.0,4.0,1.0,257.1,4.0,1.0,2063.0
5.0,3.0,36.5,5.0,3.0,78.3,5.0,2.0,267.9,5.0,2.0,174.9,4.0,2.0,244.1,4.0,2.0,1936.0
5.0,4.0,30.1,5.0,4.0,67.1,5.0,4.0,414.7,5.0,3.0,506.5,4.0,3.0,653.7,4.0,3.0,4015.0
5.0,6.0,36.3,5.0,6.0,74.5,5.0,6.0,437.5,5.0,6.0,265.3,4.0,6.0,339.8,4.0,5.0,1442.0
6.0,2.0,102.7,6.0,1.0,187.4,6.0,1.0,715.3,6.0,1.0,562.5,6.0,1.0,305.8,5.0,1.0,1023.0
6.0,3.0,203.1,6.0,3.0,393.8,6.0,2.0,904.1,6.0,2.0,647.5,6.0,2.0,315.1,5.0,2.0,846.2
6.0,4.0,172.9,6.0,4.0,391.9,6.0,4.0,1204.0,6.0,3.0,1258.0,6.0,3.0,735.3,5.0,3.0,2084.0
6.0,5.0,118.5,6.0,5.0,192.1,6.0,5.0,997.7,6.0,5.0,531.9,6.0,4.0,503.1,5.0,4.0,1215.0
