1,松田 竜馬,松田 竜馬.1,2,大原 祥昌,大原 祥昌.1,3,小池 修平,小池 修平.1,4,高橋 龍治,高橋 龍治.1,5,小林 礼央,小林 礼央.1,6,伊藤 啓三,伊藤 啓三.1
2.0,3.0,9.8,1.0,3.0,44.0,1.0,2.0,17.5,1.0,2.0,215.1,1.0,2.0,2133.0,1.0,2.0,120.8
2.0,4.0,32.7,1.0,4.0,146.2,1.0,4.0,25.5,1.0,3.0,152.2,1.0,3.0,1799.0,1.0,3.0,67.3
2.0,5.0,269.1,1.0,5.0,742.1,1.0,5.0,174.4,1.0,5.0,539.4,1.0,4.0,2894.0,1.0,4.0,182.5
2.0,6.0,19.5,1.0,6.0,75.9,1.0,6.0,11.2,1.0,6.0,143.0,1.0,6.0,2971.0,1.0,5.0,635.8
3.0,2.0,6.8,3.0,1.0,77.8,2.0,1.0,55.4,2.0,1.0,340.8,2.0,1.0,3617.0,2.0,1.0,273.2
3.0,4.0,13.4,3.0,4.0,252.3,2.0,4.0,140.8,2.0,3.0,412.7,2.0,3.0,3345.0,2.0,3.0,318.0
3.0,5.0,126.6,3.0,5.0,1139.0,2.0,5.0,656.5,2.0,5.0,1392.0,2.0,4.0,4010.0,2.0,4.0,564.6
3.0,6.0,6.2,3.0,6.0,149.5,2.0,6.0,82.9,2.0,6.0,418.9,2.0,6.0,4687.0,2.0,5.0,1799.0
4.0,2.0,48.7,4.0,1.0,385.4,4.0,1.0,81.0,3.0,1.0,208.0,3.0,1.0,1854.0,3.0,1.0,88.0
4.0,3.0,34.7,4.0,3.0,523.7,4.0,2.0,157.9,3.0,2.0,416.5,3.0,2.0,3467.0,3.0,2.0,200.1
4.0,5.0,297.9,4.0,5.0,1918.0,4.0,5.0,454.7,3.0,5.0,1049.0,3.0,4.0,4134.0,3.0,4.0,229.5
4.0,6.0,44.7,4.0,6.0,542.0,4.0,6.0,94.3,3.0,6.0,231.9,3.0,6.0,3870.0,3.0,5.0,850.1
5.0,2.0,560.8,5.0,1.0,2411.0,5.0,1.0,916.9,5.0,1.0,1089.0,4.0,1.0,3012.0,4.0,1.0,249.4
5.0,3.0,501.6,5.0,3.0,2540.0,5.0,2.0,1466.0,5.0,2.0,1466.0,4.0,2.0,3485.0,4.0,2.0,397.6
5.0,4.0,846.9,5.0,4.0,3279.0,5.0,4.0,1203.0,5.0,3.0,1544.0,4.0,3.0,3986.0,4.0,3.0,274.3
5.0,6.0,644.4,5.0,6.0,2971.0,5.0,6.0,1053.0,5.0,6.0,1028.0,4.0,6.0,2932.0,4.0,5.0,878.2
6.0,2.0,29.3,6.0,1.0,222.5,6.0,1.0,29.8,6.0,1.0,145.0,6.0,1.0,3522.0,5.0,1.0,1729.0
6.0,3.0,16.4,6.0,3.0,272.8,6.0,2.0,63.7,6.0,2.0,241.8,6.0,2.0,3140.0,5.0,2.0,2560.0
6.0,4.0,53.0,6.0,4.0,557.5,6.0,4.0,80.3,6.0,3.0,172.6,6.0,3.0,2919.0,5.0,3.0,2093.0
6.0,5.0,299.3,6.0,5.0,2140.0,6.0,5.0,383.2,6.0,5.0,515.6,6.0,4.0,3231.0,5.0,4.0,1844.0
