1,眞鳥 康太,眞鳥 康太.1,2,郷原 章平,郷原 章平.1,3,畑 竜生,畑 竜生.1,4,山口 修路,山口 修路.1,5,吉島 祥之,吉島 祥之.1,6,荻野 裕介,荻野 裕介.1
2.0,3.0,7.3,1.0,3.0,16.9,1.0,2.0,36.7,1.0,2.0,162.1,1.0,2.0,106.1,1.0,2.0,1073.0
2.0,4.0,15.0,1.0,4.0,37.9,1.0,4.0,52.0,1.0,3.0,231.8,1.0,3.0,173.4,1.0,3.0,1619.0
2.0,5.0,14.1,1.0,5.0,22.4,1.0,5.0,35.5,1.0,5.0,190.3,1.0,4.0,308.1,1.0,4.0,2125.0
2.0,6.0,31.7,1.0,6.0,100.9,1.0,6.0,88.4,1.0,6.0,323.8,1.0,6.0,266.3,1.0,5.0,1500.0
3.0,2.0,10.1,3.0,1.0,45.7,2.0,1.0,50.2,2.0,1.0,209.0,2.0,1.0,115.6,2.0,1.0,1073.0
3.0,4.0,16.5,3.0,4.0,95.5,2.0,4.0,90.1,2.0,3.0,256.9,2.0,3.0,152.9,2.0,3.0,662.3
3.0,5.0,18.7,3.0,5.0,54.7,2.0,5.0,66.2,2.0,5.0,194.2,2.0,4.0,267.0,2.0,4.0,1436.0
3.0,6.0,36.5,3.0,6.0,168.5,2.0,6.0,151.3,2.0,6.0,390.8,2.0,6.0,298.2,2.0,5.0,1275.0
4.0,2.0,40.9,4.0,1.0,126.5,4.0,1.0,128.9,3.0,1.0,318.7,3.0,1.0,265.6,3.0,1.0,2217.0
4.0,3.0,48.2,4.0,3.0,155.2,4.0,2.0,129.2,3.0,2.0,325.8,3.0,2.0,218.4,3.0,2.0,836.0
4.0,5.0,73.3,4.0,5.0,134.5,4.0,5.0,168.0,3.0,5.0,310.9,3.0,4.0,437.7,3.0,4.0,2372.0
4.0,6.0,98.8,4.0,6.0,253.1,4.0,6.0,220.7,3.0,6.0,492.7,3.0,6.0,671.0,3.0,5.0,2318.0
5.0,2.0,33.7,5.0,1.0,63.5,5.0,1.0,107.7,5.0,1.0,193.9,4.0,1.0,321.7,4.0,1.0,2081.0
5.0,3.0,44.2,5.0,3.0,73.2,5.0,2.0,97.9,5.0,2.0,163.7,4.0,2.0,263.5,4.0,2.0,2266.0
5.0,4.0,86.4,5.0,4.0,122.7,5.0,4.0,187.1,5.0,3.0,293.9,4.0,3.0,478.8,4.0,3.0,1758.0
5.0,6.0,133.8,5.0,6.0,200.7,5.0,6.0,223.6,5.0,6.0,317.7,4.0,6.0,551.3,4.0,5.0,2081.0
6.0,2.0,180.2,6.0,1.0,404.7,6.0,1.0,523.0,6.0,1.0,739.1,6.0,1.0,589.6,5.0,1.0,1416.0
6.0,3.0,193.9,6.0,3.0,437.7,6.0,2.0,411.2,6.0,2.0,675.5,6.0,2.0,539.6,5.0,2.0,1228.0
6.0,4.0,293.1,6.0,4.0,596.5,6.0,4.0,603.5,6.0,3.0,693.8,6.0,3.0,784.6,5.0,3.0,1758.0
6.0,5.0,313.8,6.0,5.0,582.8,6.0,5.0,684.5,6.0,5.0,618.1,6.0,4.0,836.0,5.0,4.0,1854.0
