1,山本 隆幸,山本 隆幸.1,2,田路 朋史,田路 朋史.1,3,阪本 勇介,阪本 勇介.1,4,木下 翔太,木下 翔太.1,5,黒野 元基,黒野 元基.1,6,沼田 七華,沼田 七華.1
2.0,3.0,19.7,1.0,3.0,71.2,1.0,2.0,241.4,1.0,2.0,56.7,1.0,2.0,49.8,1.0,2.0,1911.0
2.0,4.0,9.5,1.0,4.0,37.4,1.0,4.0,209.4,1.0,3.0,126.8,1.0,3.0,98.4,1.0,3.0,2572.0
2.0,5.0,9.8,1.0,5.0,37.3,1.0,5.0,173.0,1.0,5.0,26.7,1.0,4.0,39.7,1.0,4.0,2080.0
2.0,6.0,258.6,1.0,6.0,499.9,1.0,6.0,839.6,1.0,6.0,428.0,1.0,6.0,405.3,1.0,5.0,2829.0
3.0,2.0,27.7,3.0,1.0,178.1,2.0,1.0,341.7,2.0,1.0,103.9,2.0,1.0,99.1,2.0,1.0,2338.0
3.0,4.0,25.2,3.0,4.0,189.5,2.0,4.0,349.7,2.0,3.0,282.3,2.0,3.0,286.0,2.0,3.0,2916.0
3.0,5.0,23.1,3.0,5.0,204.7,2.0,5.0,323.7,2.0,5.0,98.2,2.0,4.0,115.0,2.0,4.0,3985.0
3.0,6.0,272.0,3.0,6.0,1140.0,2.0,6.0,1224.0,2.0,6.0,962.4,2.0,6.0,849.6,2.0,5.0,2669.0
4.0,2.0,11.3,4.0,1.0,78.2,4.0,1.0,345.4,3.0,1.0,343.3,3.0,1.0,295.3,3.0,1.0,2978.0
4.0,3.0,23.5,4.0,3.0,193.2,4.0,2.0,467.6,3.0,2.0,426.1,3.0,2.0,504.3,3.0,2.0,2619.0
4.0,5.0,9.1,4.0,5.0,80.2,4.0,5.0,334.0,3.0,5.0,309.9,3.0,4.0,389.7,3.0,4.0,3674.0
4.0,6.0,199.8,4.0,6.0,982.4,4.0,6.0,1429.0,3.0,6.0,1684.0,3.0,6.0,1674.0,3.0,5.0,3409.0
5.0,2.0,14.1,5.0,1.0,84.4,5.0,1.0,296.5,5.0,1.0,27.9,4.0,1.0,50.2,4.0,1.0,2747.0
5.0,3.0,28.5,5.0,3.0,205.4,5.0,2.0,380.8,5.0,2.0,50.2,4.0,2.0,88.2,4.0,2.0,4100.0
5.0,4.0,12.0,5.0,4.0,90.2,5.0,4.0,350.6,5.0,3.0,112.0,4.0,3.0,205.0,4.0,3.0,4042.0
5.0,6.0,219.1,5.0,6.0,764.7,5.0,6.0,1044.0,5.0,6.0,165.1,4.0,6.0,470.0,4.0,5.0,2227.0
6.0,2.0,588.2,6.0,1.0,1489.0,6.0,1.0,2159.0,6.0,1.0,1280.0,6.0,1.0,1489.0,5.0,1.0,3627.0
6.0,3.0,675.2,6.0,3.0,2095.0,6.0,2.0,1725.0,6.0,2.0,1779.0,6.0,2.0,1725.0,5.0,2.0,2747.0
6.0,4.0,469.2,6.0,4.0,1898.0,6.0,4.0,2439.0,6.0,3.0,1898.0,6.0,3.0,2263.0,5.0,3.0,3493.0
6.0,5.0,651.9,6.0,5.0,1768.0,6.0,5.0,2035.0,6.0,5.0,1219.0,6.0,4.0,1316.0,5.0,4.0,2159.0
