1,黒野 元基,黒野 元基.1,2,木村 仁紀,木村 仁紀.1,3,長谷川 充,長谷川 充.1,4,土性 雅也,土性 雅也.1,5,沢田 昭宏,沢田 昭宏.1,6,植田 太一,植田 太一.1
2.0,3.0,4.7,1.0,3.0,20.5,1.0,2.0,85.7,1.0,2.0,312.1,1.0,2.0,562.3,1.0,2.0,49.9
2.0,4.0,11.0,1.0,4.0,41.4,1.0,4.0,173.0,1.0,3.0,579.7,1.0,3.0,748.4,1.0,3.0,88.0
2.0,5.0,19.7,1.0,5.0,60.9,1.0,5.0,214.0,1.0,5.0,607.6,1.0,4.0,950.1,1.0,4.0,169.2
2.0,6.0,8.0,1.0,6.0,23.8,1.0,6.0,123.3,1.0,6.0,399.9,1.0,6.0,761.1,1.0,5.0,262.8
3.0,2.0,10.6,3.0,1.0,59.6,2.0,1.0,109.6,2.0,1.0,398.8,2.0,1.0,833.1,2.0,1.0,62.4
3.0,4.0,25.3,3.0,4.0,138.6,2.0,4.0,191.7,2.0,3.0,564.0,2.0,3.0,1146.0,2.0,3.0,118.5
3.0,5.0,41.1,3.0,5.0,191.0,2.0,5.0,268.9,2.0,5.0,821.3,2.0,4.0,1368.0,2.0,4.0,210.6
3.0,6.0,21.4,3.0,6.0,84.4,2.0,6.0,177.5,2.0,6.0,457.1,2.0,6.0,1013.0,2.0,5.0,326.3
4.0,2.0,42.6,4.0,1.0,161.9,4.0,1.0,312.4,3.0,1.0,815.5,3.0,1.0,1149.0,3.0,1.0,188.5
4.0,3.0,55.3,4.0,3.0,236.4,4.0,2.0,323.4,3.0,2.0,663.0,3.0,2.0,1309.0,3.0,2.0,198.6
4.0,5.0,133.5,4.0,5.0,399.1,4.0,5.0,753.2,3.0,5.0,1300.0,3.0,4.0,1502.0,3.0,4.0,457.5
4.0,6.0,69.5,4.0,6.0,154.4,4.0,6.0,478.6,3.0,6.0,1031.0,3.0,6.0,1756.0,3.0,5.0,734.2
5.0,2.0,73.9,5.0,1.0,260.5,5.0,1.0,415.9,5.0,1.0,928.9,4.0,1.0,1361.0,4.0,1.0,423.5
5.0,3.0,109.7,5.0,3.0,346.9,5.0,2.0,375.6,5.0,2.0,714.3,4.0,2.0,1468.0,4.0,2.0,385.1
5.0,4.0,192.4,5.0,4.0,464.4,5.0,4.0,874.4,5.0,3.0,1184.0,4.0,3.0,1546.0,4.0,3.0,700.6
5.0,6.0,135.9,5.0,6.0,307.5,5.0,6.0,702.3,5.0,6.0,728.7,4.0,6.0,1283.0,4.0,5.0,995.7
6.0,2.0,26.1,6.0,1.0,65.8,6.0,1.0,233.7,6.0,1.0,622.6,6.0,1.0,1179.0,5.0,1.0,610.1
6.0,3.0,37.9,6.0,3.0,113.5,6.0,2.0,262.1,6.0,2.0,456.8,6.0,2.0,905.7,5.0,2.0,479.7
6.0,4.0,79.4,6.0,4.0,147.6,6.0,4.0,488.6,6.0,3.0,1080.0,6.0,3.0,1522.0,5.0,3.0,802.0
6.0,5.0,128.9,6.0,5.0,293.2,6.0,5.0,720.5,6.0,5.0,992.3,6.0,4.0,1002.0,5.0,4.0,905.7
