1,高橋 直哉,高橋 直哉.1,2,白井 友晴,白井 友晴.1,3,東 健介,東 健介.1,4,長畑 友輔,長畑 友輔.1,5,吉田 祐貴,吉田 祐貴.1,6,中辻 崇人,中辻 崇人.1
2.0,3.0,29.1,1.0,3.0,94.8,1.0,2.0,227.3,1.0,2.0,143.6,1.0,2.0,533.1,1.0,2.0,12.5
2.0,4.0,28.7,1.0,4.0,99.9,1.0,4.0,244.9,1.0,3.0,265.1,1.0,3.0,710.8,1.0,3.0,29.8
2.0,5.0,79.1,1.0,5.0,189.4,1.0,5.0,316.0,1.0,5.0,205.4,1.0,4.0,485.2,1.0,4.0,24.8
2.0,6.0,12.0,1.0,6.0,36.6,1.0,6.0,153.8,1.0,6.0,68.2,1.0,6.0,327.0,1.0,5.0,62.2
3.0,2.0,38.3,3.0,1.0,222.3,2.0,1.0,322.1,2.0,1.0,227.3,2.0,1.0,1016.0,2.0,1.0,16.9
3.0,4.0,59.6,3.0,4.0,435.0,2.0,4.0,450.6,2.0,3.0,525.7,2.0,3.0,1701.0,2.0,3.0,32.9
3.0,5.0,117.4,3.0,5.0,697.7,2.0,5.0,760.8,2.0,5.0,499.6,2.0,4.0,1455.0,2.0,4.0,33.6
3.0,6.0,30.6,3.0,6.0,184.4,2.0,6.0,275.7,2.0,6.0,130.6,2.0,6.0,633.4,2.0,5.0,79.6
4.0,2.0,50.9,4.0,1.0,239.5,4.0,1.0,406.9,3.0,1.0,424.0,3.0,1.0,958.2,3.0,1.0,74.5
4.0,3.0,73.1,4.0,3.0,467.2,4.0,2.0,652.5,3.0,2.0,596.0,3.0,2.0,1316.0,3.0,2.0,67.2
4.0,5.0,104.9,4.0,5.0,641.5,4.0,5.0,760.8,3.0,5.0,707.4,3.0,4.0,1105.0,3.0,4.0,130.2
4.0,6.0,27.9,4.0,6.0,141.7,4.0,6.0,333.4,3.0,6.0,323.5,3.0,6.0,1002.0,3.0,5.0,208.2
5.0,2.0,174.0,5.0,1.0,615.4,5.0,1.0,636.1,5.0,1.0,242.2,4.0,1.0,531.2,4.0,1.0,44.5
5.0,3.0,223.9,5.0,3.0,1044.0,5.0,2.0,1051.0,5.0,2.0,393.2,4.0,2.0,875.1,4.0,2.0,45.9
5.0,4.0,189.0,5.0,4.0,1201.0,5.0,4.0,958.2,5.0,3.0,569.1,4.0,3.0,1105.0,4.0,3.0,113.8
5.0,6.0,97.6,5.0,6.0,398.4,5.0,6.0,658.2,5.0,6.0,125.7,4.0,6.0,304.0,4.0,5.0,93.0
6.0,2.0,11.3,6.0,1.0,43.6,6.0,1.0,162.6,6.0,1.0,51.4,6.0,1.0,324.8,5.0,1.0,121.0
6.0,3.0,23.7,6.0,3.0,106.0,6.0,2.0,203.2,6.0,2.0,72.5,6.0,2.0,390.2,5.0,2.0,136.3
6.0,4.0,20.9,6.0,4.0,83.7,6.0,4.0,264.6,6.0,3.0,155.2,6.0,3.0,569.1,5.0,3.0,273.2
6.0,5.0,55.5,6.0,5.0,181.7,6.0,5.0,374.7,6.0,5.0,92.5,6.0,4.0,298.0,5.0,4.0,143.1
