1,中岡 正彦,中岡 正彦.1,2,大野 芳顕,大野 芳顕.1,3,川崎 智幸,川崎 智幸.1,4,鈴木 猛,鈴木 猛.1,5,山田 和佐,山田 和佐.1,6,上岡 巧汰,上岡 巧汰.1
2.0,3.0,3.1,1.0,3.0,39.2,1.0,2.0,55.8,1.0,2.0,244.0,1.0,2.0,726.4,1.0,2.0,990.6
2.0,4.0,6.2,1.0,4.0,66.1,1.0,4.0,94.1,1.0,3.0,297.7,1.0,3.0,740.3,1.0,3.0,1895.0
2.0,5.0,23.4,1.0,5.0,140.8,1.0,5.0,184.3,1.0,5.0,505.3,1.0,4.0,894.1,1.0,4.0,2545.0
2.0,6.0,71.4,1.0,6.0,332.4,1.0,6.0,482.9,1.0,6.0,1178.0,1.0,6.0,2126.0,1.0,5.0,4649.0
3.0,2.0,4.4,3.0,1.0,103.1,2.0,1.0,107.0,2.0,1.0,402.1,2.0,1.0,1223.0,2.0,1.0,1400.0
3.0,4.0,7.4,3.0,4.0,311.3,2.0,4.0,307.7,2.0,3.0,846.3,2.0,3.0,2473.0,2.0,3.0,2682.0
3.0,5.0,22.9,3.0,5.0,599.1,2.0,5.0,576.3,2.0,5.0,1286.0,2.0,4.0,3452.0,2.0,4.0,3085.0
3.0,6.0,78.6,3.0,6.0,848.4,2.0,6.0,1056.0,2.0,6.0,1459.0,2.0,6.0,4102.0,2.0,5.0,6226.0
4.0,2.0,14.9,4.0,1.0,257.1,4.0,1.0,240.4,3.0,1.0,531.5,3.0,1.0,1194.0,3.0,1.0,3790.0
4.0,3.0,16.4,4.0,3.0,398.0,4.0,2.0,412.6,3.0,2.0,1047.0,3.0,2.0,2126.0,3.0,2.0,3709.0
4.0,5.0,54.4,4.0,5.0,865.2,4.0,5.0,716.0,3.0,5.0,1684.0,3.0,4.0,2789.0,3.0,4.0,4843.0
4.0,6.0,151.4,4.0,6.0,1100.0,4.0,6.0,1320.0,3.0,6.0,2372.0,3.0,6.0,4252.0,3.0,5.0,7264.0
5.0,2.0,74.1,5.0,1.0,682.3,5.0,1.0,743.5,5.0,1.0,917.6,4.0,1.0,1577.0,4.0,1.0,3522.0
5.0,3.0,75.6,5.0,3.0,1434.0,5.0,2.0,1227.0,5.0,2.0,1684.0,4.0,2.0,3141.0,4.0,2.0,3418.0
5.0,4.0,127.9,5.0,4.0,1884.0,5.0,4.0,1779.0,5.0,3.0,1779.0,4.0,3.0,3199.0,4.0,3.0,5624.0
5.0,6.0,320.4,5.0,6.0,3418.0,5.0,6.0,2881.0,5.0,6.0,2858.0,4.0,6.0,5624.0,4.0,5.0,8109.0
6.0,2.0,311.3,6.0,1.0,1158.0,6.0,1.0,2126.0,6.0,1.0,2279.0,6.0,1.0,2980.0,5.0,1.0,3594.0
6.0,3.0,408.3,6.0,3.0,2745.0,6.0,2.0,2264.0,6.0,2.0,2621.0,6.0,2.0,6012.0,5.0,2.0,7419.0
6.0,4.0,584.0,6.0,4.0,2682.0,6.0,4.0,3594.0,6.0,3.0,4151.0,6.0,3.0,4981.0,5.0,3.0,7925.0
6.0,5.0,860.9,6.0,5.0,5053.0,6.0,5.0,4588.0,6.0,5.0,4201.0,6.0,4.0,6340.0,5.0,4.0,6340.0
