1,中辻 崇人,中辻 崇人.1,2,渡邊　伸太郎,渡邊　伸太郎.1,3,松山 将吾,松山 将吾.1,4,山崎 哲司,山崎 哲司.1,5,樋口　由加里,樋口　由加里.1,6,阿波 勝哉,阿波 勝哉.1
2.0,3.0,17.6,1.0,3.0,172.3,1.0,2.0,102.1,1.0,2.0,72.4,1.0,2.0,281.0,1.0,2.0,784.9
2.0,4.0,15.9,1.0,4.0,165.8,1.0,4.0,43.1,1.0,3.0,49.3,1.0,3.0,205.3,1.0,3.0,728.8
2.0,5.0,31.0,1.0,5.0,256.0,1.0,5.0,65.0,1.0,5.0,41.5,1.0,4.0,149.0,1.0,4.0,682.3
2.0,6.0,64.6,1.0,6.0,365.3,1.0,6.0,137.1,1.0,6.0,72.7,1.0,6.0,281.9,1.0,5.0,928.6
3.0,2.0,13.6,3.0,1.0,367.2,2.0,1.0,324.3,2.0,1.0,206.1,2.0,1.0,712.6,2.0,1.0,1240.0
3.0,4.0,6.1,3.0,4.0,748.2,2.0,4.0,505.2,2.0,3.0,436.1,2.0,3.0,1288.0,2.0,3.0,1744.0
3.0,5.0,13.5,3.0,5.0,955.0,2.0,5.0,646.0,2.0,5.0,343.3,2.0,4.0,984.4,2.0,4.0,1723.0
3.0,6.0,31.0,3.0,6.0,1300.0,2.0,6.0,956.3,2.0,6.0,503.4,2.0,6.0,1283.0,2.0,5.0,2079.0
4.0,2.0,12.4,4.0,1.0,351.3,4.0,1.0,106.3,3.0,1.0,119.5,3.0,1.0,391.5,3.0,1.0,887.7
4.0,3.0,7.7,4.0,3.0,719.2,4.0,2.0,355.0,3.0,2.0,379.5,3.0,2.0,1265.0,3.0,2.0,1941.0
4.0,5.0,11.6,4.0,5.0,688.3,4.0,5.0,196.1,3.0,5.0,208.6,3.0,4.0,587.3,3.0,4.0,1263.0
4.0,6.0,22.1,4.0,6.0,1061.0,4.0,6.0,352.2,3.0,6.0,296.5,3.0,6.0,1221.0,3.0,5.0,1515.0
5.0,2.0,41.7,5.0,1.0,635.5,5.0,1.0,230.4,5.0,1.0,69.0,4.0,1.0,199.2,4.0,1.0,847.1
5.0,3.0,31.6,5.0,3.0,1097.0,5.0,2.0,670.0,5.0,2.0,180.1,4.0,2.0,553.2,4.0,2.0,1525.0
5.0,4.0,29.7,5.0,4.0,913.0,5.0,4.0,329.3,5.0,3.0,146.5,4.0,3.0,424.6,4.0,3.0,1601.0
5.0,6.0,63.7,5.0,6.0,1441.0,5.0,6.0,555.4,5.0,6.0,136.0,4.0,6.0,390.7,4.0,5.0,1108.0
6.0,2.0,145.8,6.0,1.0,1069.0,6.0,1.0,662.4,6.0,1.0,224.6,6.0,1.0,734.2,5.0,1.0,1213.0
6.0,3.0,108.2,6.0,3.0,1864.0,6.0,2.0,1468.0,6.0,2.0,507.8,6.0,2.0,1363.0,5.0,2.0,2357.0
6.0,4.0,92.5,6.0,4.0,1598.0,6.0,4.0,978.9,6.0,3.0,489.1,6.0,3.0,1329.0,5.0,3.0,2188.0
6.0,5.0,146.3,6.0,5.0,2013.0,6.0,5.0,1103.0,6.0,5.0,301.7,6.0,4.0,873.4,5.0,4.0,1092.0
