1,金山 立樹,金山 立樹.1,2,松本 怜,松本 怜.1,3,林 恵祐,林 恵祐.1,4,内山 峻輔,内山 峻輔.1,5,西澤　日花里,西澤　日花里.1,6,藤井 徹,藤井 徹.1
2.0,3.0,23.1,1.0,3.0,77.8,1.0,2.0,105.2,1.0,2.0,24.4,1.0,2.0,303.2,1.0,2.0,1380.0
2.0,4.0,13.5,1.0,4.0,58.7,1.0,4.0,53.8,1.0,3.0,26.5,1.0,3.0,340.2,1.0,3.0,1421.0
2.0,5.0,45.6,1.0,5.0,131.4,1.0,5.0,117.7,1.0,5.0,22.1,1.0,4.0,156.8,1.0,4.0,959.9
2.0,6.0,111.4,1.0,6.0,292.2,1.0,6.0,188.9,1.0,6.0,44.3,1.0,6.0,406.0,1.0,5.0,1449.0
3.0,2.0,23.0,3.0,1.0,151.3,2.0,1.0,169.9,2.0,1.0,46.4,2.0,1.0,455.8,2.0,1.0,2013.0
3.0,4.0,10.7,3.0,4.0,124.4,2.0,4.0,131.5,2.0,3.0,83.7,2.0,3.0,655.8,2.0,3.0,2842.0
3.0,5.0,31.2,3.0,5.0,304.5,2.0,5.0,245.6,2.0,5.0,69.1,2.0,4.0,283.0,2.0,4.0,1464.0
3.0,6.0,70.1,3.0,6.0,568.4,2.0,6.0,525.1,2.0,6.0,117.9,2.0,6.0,972.7,2.0,5.0,2415.0
4.0,2.0,11.1,4.0,1.0,81.3,4.0,1.0,63.5,3.0,1.0,53.8,3.0,1.0,521.3,3.0,1.0,1907.0
4.0,3.0,10.4,4.0,3.0,104.5,4.0,2.0,113.4,3.0,2.0,93.0,3.0,2.0,766.9,3.0,2.0,2588.0
4.0,5.0,17.2,4.0,5.0,142.1,4.0,5.0,105.6,3.0,5.0,76.4,3.0,4.0,470.6,3.0,4.0,1260.0
4.0,6.0,40.8,4.0,6.0,351.8,4.0,6.0,180.7,3.0,6.0,135.2,3.0,6.0,1114.0,3.0,5.0,1958.0
5.0,2.0,92.2,5.0,1.0,387.5,5.0,1.0,283.0,5.0,1.0,29.5,4.0,1.0,142.9,4.0,1.0,867.9
5.0,3.0,63.1,5.0,3.0,551.1,5.0,2.0,464.5,5.0,2.0,45.5,4.0,2.0,185.3,4.0,2.0,1558.0
5.0,4.0,38.3,5.0,4.0,288.1,5.0,4.0,270.9,5.0,3.0,61.9,4.0,3.0,327.1,4.0,3.0,1218.0
5.0,6.0,145.9,5.0,6.0,900.2,5.0,6.0,561.8,5.0,6.0,56.5,4.0,6.0,239.5,4.0,5.0,959.9
6.0,2.0,331.6,6.0,1.0,1329.0,6.0,1.0,743.3,6.0,1.0,104.6,6.0,1.0,986.0,5.0,1.0,935.1
6.0,3.0,274.5,6.0,3.0,1834.0,6.0,2.0,953.5,6.0,2.0,174.0,6.0,2.0,1317.0,5.0,2.0,2499.0
6.0,4.0,167.9,6.0,4.0,1380.0,6.0,4.0,515.8,6.0,3.0,190.2,6.0,3.0,1479.0,5.0,3.0,2163.0
6.0,5.0,313.7,6.0,5.0,1525.0,6.0,5.0,837.8,6.0,5.0,112.5,6.0,4.0,566.1,5.0,4.0,1042.0
