1,田路 朋史,田路 朋史.1,2,松本 庸平,松本 庸平.1,3,関 裕也,関 裕也.1,4,松竹 大輔,松竹 大輔.1,5,夏山 亮平,夏山 亮平.1,6,池本 輝明,池本 輝明.1
2.0,3.0,11.5,1.0,3.0,51.4,1.0,2.0,76.8,1.0,2.0,47.6,1.0,2.0,203.6,1.0,2.0,1078.0
2.0,4.0,8.3,1.0,4.0,47.4,1.0,4.0,49.0,1.0,3.0,61.2,1.0,3.0,189.4,1.0,3.0,1418.0
2.0,5.0,22.2,1.0,5.0,86.5,1.0,5.0,74.7,1.0,5.0,45.8,1.0,4.0,157.9,1.0,4.0,970.9
2.0,6.0,41.9,1.0,6.0,143.0,1.0,6.0,136.9,1.0,6.0,77.7,1.0,6.0,234.8,1.0,5.0,1413.0
3.0,2.0,15.0,3.0,1.0,137.0,2.0,1.0,143.3,2.0,1.0,101.9,2.0,1.0,419.7,2.0,1.0,1561.0
3.0,4.0,11.0,3.0,4.0,209.8,2.0,4.0,203.6,2.0,3.0,211.2,2.0,3.0,725.2,2.0,3.0,1902.0
3.0,5.0,20.2,3.0,5.0,323.6,2.0,5.0,266.3,2.0,5.0,169.1,2.0,4.0,567.7,2.0,4.0,1394.0
3.0,6.0,51.2,3.0,6.0,467.5,2.0,6.0,382.1,2.0,6.0,254.6,2.0,6.0,708.0,2.0,5.0,2299.0
4.0,2.0,10.5,4.0,1.0,116.5,4.0,1.0,97.3,3.0,1.0,125.5,3.0,1.0,360.7,3.0,1.0,2021.0
4.0,3.0,12.8,4.0,3.0,218.5,4.0,2.0,198.4,3.0,2.0,229.4,3.0,2.0,680.4,3.0,2.0,1902.0
4.0,5.0,17.8,4.0,5.0,265.1,4.0,5.0,151.0,3.0,5.0,201.2,3.0,4.0,454.3,3.0,4.0,1758.0
4.0,6.0,33.4,4.0,6.0,431.8,4.0,6.0,264.6,3.0,6.0,332.1,3.0,6.0,658.9,3.0,5.0,2324.0
5.0,2.0,42.7,5.0,1.0,295.3,5.0,1.0,196.6,5.0,1.0,67.6,4.0,1.0,189.3,4.0,1.0,989.2
5.0,3.0,40.6,5.0,3.0,479.3,5.0,2.0,371.3,5.0,2.0,118.0,4.0,2.0,349.5,4.0,2.0,1249.0
5.0,4.0,43.4,5.0,4.0,386.3,5.0,4.0,227.7,5.0,3.0,169.9,4.0,3.0,376.9,4.0,3.0,1660.0
5.0,6.0,79.2,5.0,6.0,648.7,5.0,6.0,354.0,5.0,6.0,107.3,4.0,6.0,305.2,4.0,5.0,1086.0
6.0,2.0,155.0,6.0,1.0,614.4,6.0,1.0,633.0,6.0,1.0,218.1,6.0,1.0,560.9,5.0,1.0,1773.0
6.0,3.0,182.0,6.0,3.0,1124.0,6.0,2.0,1023.0,6.0,2.0,348.4,6.0,2.0,864.5,5.0,2.0,1992.0
6.0,4.0,139.8,6.0,4.0,931.9,6.0,4.0,843.6,6.0,3.0,485.4,6.0,3.0,913.6,5.0,3.0,2404.0
6.0,5.0,181.1,6.0,5.0,1341.0,6.0,5.0,789.5,6.0,5.0,233.1,6.0,4.0,550.6,5.0,4.0,1202.0
