1,川崎 智幸,川崎 智幸.1,2,中山 雄太,中山 雄太.1,3,岡部 大輔,岡部 大輔.1,4,待鳥 雄紀,待鳥 雄紀.1,5,石川 吉鎬,石川 吉鎬.1,6,宮武 英司,宮武 英司.1
2.0,3.0,7.6,1.0,3.0,13.8,1.0,2.0,79.8,1.0,2.0,90.1,1.0,2.0,221.0,1.0,2.0,1013.0
2.0,4.0,7.7,1.0,4.0,12.3,1.0,4.0,87.0,1.0,3.0,213.6,1.0,3.0,503.5,1.0,3.0,2142.0
2.0,5.0,14.3,1.0,5.0,20.2,1.0,5.0,108.0,1.0,5.0,139.5,1.0,4.0,344.2,1.0,4.0,1593.0
2.0,6.0,35.3,1.0,6.0,48.8,1.0,6.0,190.8,1.0,6.0,195.6,1.0,6.0,600.9,1.0,5.0,1801.0
3.0,2.0,17.8,3.0,1.0,44.7,2.0,1.0,95.8,2.0,1.0,99.5,2.0,1.0,229.2,2.0,1.0,970.8
3.0,4.0,27.8,3.0,4.0,48.8,2.0,4.0,82.1,2.0,3.0,209.2,2.0,3.0,573.2,2.0,3.0,2211.0
3.0,5.0,40.2,3.0,5.0,55.6,2.0,5.0,92.5,2.0,5.0,149.7,2.0,4.0,397.0,2.0,4.0,1305.0
3.0,6.0,105.1,3.0,6.0,109.7,2.0,6.0,162.4,2.0,6.0,198.4,2.0,6.0,591.7,2.0,5.0,1806.0
4.0,2.0,20.7,4.0,1.0,35.9,4.0,1.0,149.5,3.0,1.0,294.9,3.0,1.0,572.1,3.0,1.0,2172.0
4.0,3.0,39.2,4.0,3.0,59.8,4.0,2.0,144.9,3.0,2.0,293.7,3.0,2.0,805.9,3.0,2.0,2632.0
4.0,5.0,42.0,4.0,5.0,62.0,4.0,5.0,183.9,3.0,5.0,394.5,3.0,4.0,1095.0,3.0,4.0,2099.0
4.0,6.0,86.6,4.0,6.0,94.7,4.0,6.0,283.4,3.0,6.0,495.5,3.0,6.0,1435.0,3.0,5.0,2446.0
5.0,2.0,46.2,5.0,1.0,77.1,5.0,1.0,225.2,5.0,1.0,167.0,4.0,1.0,349.4,4.0,1.0,1322.0
5.0,3.0,86.9,5.0,3.0,122.8,5.0,2.0,230.2,5.0,2.0,194.9,4.0,2.0,425.3,4.0,2.0,1225.0
5.0,4.0,93.3,5.0,4.0,110.6,5.0,4.0,327.7,5.0,3.0,402.7,4.0,3.0,942.8,4.0,3.0,2284.0
5.0,6.0,161.6,5.0,6.0,172.0,5.0,6.0,433.9,5.0,6.0,245.1,4.0,6.0,573.2,4.0,5.0,1750.0
6.0,2.0,185.4,6.0,1.0,218.6,6.0,1.0,841.9,6.0,1.0,368.5,6.0,1.0,980.0,5.0,1.0,1609.0
6.0,3.0,353.6,6.0,3.0,388.8,6.0,2.0,930.1,6.0,2.0,410.4,6.0,2.0,1037.0,5.0,2.0,1894.0
6.0,4.0,279.6,6.0,4.0,281.1,6.0,4.0,1190.0,6.0,3.0,783.5,6.0,3.0,1780.0,5.0,3.0,2446.0
6.0,5.0,329.6,6.0,5.0,341.0,6.0,5.0,1129.0,6.0,5.0,454.2,6.0,4.0,963.3,5.0,4.0,1770.0
