1,渡邉 睦広,渡邉 睦広.1,2,津留　浩一郎,津留　浩一郎.1,3,岡村 将也,岡村 将也.1,4,青木　幸太郎,青木　幸太郎.1,5,山本　景士郎,山本　景士郎.1,6,奈須 啓太,奈須 啓太.1
2.0,3.0,32.3,1.0,3.0,178.1,1.0,2.0,146.5,1.0,2.0,67.5,1.0,2.0,278.8,1.0,2.0,321.7
2.0,4.0,37.0,1.0,4.0,171.7,1.0,4.0,65.0,1.0,3.0,39.8,1.0,3.0,251.2,1.0,3.0,164.3
2.0,5.0,61.2,1.0,5.0,245.7,1.0,5.0,105.0,1.0,5.0,27.2,1.0,4.0,155.9,1.0,4.0,134.3
2.0,6.0,55.8,1.0,6.0,235.3,1.0,6.0,66.9,1.0,6.0,22.5,1.0,6.0,138.6,1.0,5.0,240.2
3.0,2.0,29.0,3.0,1.0,355.6,2.0,1.0,372.4,2.0,1.0,163.4,2.0,1.0,570.7,2.0,1.0,651.3
3.0,4.0,12.8,3.0,4.0,579.5,2.0,4.0,470.6,2.0,3.0,306.6,2.0,3.0,785.1,2.0,3.0,837.2
3.0,5.0,29.5,3.0,5.0,744.9,2.0,5.0,514.1,2.0,5.0,139.3,2.0,4.0,535.2,2.0,4.0,602.6
3.0,6.0,15.4,3.0,6.0,586.7,2.0,6.0,440.5,2.0,6.0,127.8,2.0,6.0,575.1,2.0,5.0,764.5
4.0,2.0,32.9,4.0,1.0,303.4,4.0,1.0,116.5,3.0,1.0,78.1,3.0,1.0,490.8,3.0,1.0,242.2
4.0,3.0,17.6,4.0,3.0,594.0,4.0,2.0,316.1,3.0,2.0,232.0,3.0,2.0,801.7,3.0,2.0,886.2
4.0,5.0,30.8,4.0,5.0,516.9,4.0,5.0,208.3,3.0,5.0,109.8,3.0,4.0,547.6,3.0,4.0,278.0
4.0,6.0,18.1,4.0,6.0,405.1,4.0,6.0,114.1,3.0,6.0,80.9,3.0,6.0,495.3,3.0,5.0,648.0
5.0,2.0,96.1,5.0,1.0,627.5,5.0,1.0,269.3,5.0,1.0,26.8,4.0,1.0,106.4,4.0,1.0,129.0
5.0,3.0,67.5,5.0,3.0,1133.0,5.0,2.0,432.9,5.0,2.0,69.5,4.0,2.0,229.9,4.0,2.0,274.4
5.0,4.0,64.9,5.0,4.0,803.4,5.0,4.0,320.7,5.0,3.0,75.4,4.0,3.0,272.8,4.0,3.0,197.8
5.0,6.0,60.2,5.0,6.0,925.2,5.0,6.0,250.2,5.0,6.0,18.3,4.0,6.0,74.1,4.0,5.0,138.6
6.0,2.0,91.0,6.0,1.0,685.5,6.0,1.0,182.3,6.0,1.0,26.1,6.0,1.0,186.7,5.0,1.0,344.6
6.0,3.0,39.4,6.0,3.0,876.0,6.0,2.0,568.2,6.0,2.0,67.8,6.0,2.0,391.3,5.0,2.0,695.6
6.0,4.0,44.0,6.0,4.0,667.4,6.0,4.0,193.5,6.0,3.0,61.4,6.0,3.0,394.2,5.0,3.0,598.7
6.0,5.0,73.8,6.0,5.0,993.2,6.0,5.0,354.6,6.0,5.0,22.9,6.0,4.0,144.1,5.0,4.0,222.2
