1,川崎 智幸,川崎 智幸.1,2,岡崎 恭裕,岡崎 恭裕.1,3,木山 誠一,木山 誠一.1,4,渡邊 哲也,渡邊 哲也.1,5,乙津 康志,乙津 康志.1,6,大野 芳顕,大野 芳顕.1
2.0,3.0,6.0,1.0,3.0,9.8,1.0,2.0,111.5,1.0,2.0,482.7,1.0,2.0,334.0,1.0,2.0,65.7
2.0,4.0,16.1,1.0,4.0,24.9,1.0,4.0,309.5,1.0,3.0,943.9,1.0,3.0,587.3,1.0,3.0,189.9
2.0,5.0,14.3,1.0,5.0,22.0,1.0,5.0,208.9,1.0,5.0,658.6,1.0,4.0,927.3,1.0,4.0,310.0
2.0,6.0,6.2,1.0,6.0,8.4,1.0,6.0,207.4,1.0,6.0,671.2,1.0,6.0,553.5,1.0,5.0,299.0
3.0,2.0,15.5,3.0,1.0,49.4,2.0,1.0,118.7,2.0,1.0,532.5,2.0,1.0,402.7,2.0,1.0,74.1
3.0,4.0,62.7,3.0,4.0,141.7,2.0,4.0,417.0,2.0,3.0,911.3,2.0,3.0,829.1,2.0,3.0,193.8
3.0,5.0,54.2,3.0,5.0,160.4,2.0,5.0,366.4,2.0,5.0,1031.0,2.0,4.0,1448.0,2.0,4.0,289.6
3.0,6.0,43.4,3.0,6.0,79.1,2.0,6.0,220.7,2.0,6.0,592.2,2.0,6.0,552.0,2.0,5.0,301.1
4.0,2.0,77.9,4.0,1.0,154.9,4.0,1.0,618.2,3.0,1.0,1130.0,3.0,1.0,797.8,3.0,1.0,388.6
4.0,3.0,180.2,4.0,3.0,296.1,4.0,2.0,700.1,3.0,2.0,1208.0,3.0,2.0,1021.0,3.0,2.0,351.8
4.0,5.0,298.6,4.0,5.0,393.7,4.0,5.0,1174.0,3.0,5.0,1976.0,3.0,4.0,2298.0,3.0,4.0,1149.0
4.0,6.0,186.7,4.0,6.0,186.6,4.0,6.0,899.7,3.0,6.0,1577.0,3.0,6.0,1499.0,3.0,5.0,1078.0
5.0,2.0,67.5,5.0,1.0,109.0,5.0,1.0,507.0,5.0,1.0,1521.0,4.0,1.0,1691.0,4.0,1.0,956.7
5.0,3.0,118.7,5.0,3.0,302.4,5.0,2.0,633.0,5.0,2.0,1614.0,4.0,2.0,1939.0,4.0,2.0,709.5
5.0,4.0,332.4,5.0,4.0,462.6,5.0,4.0,1391.0,5.0,3.0,1664.0,4.0,3.0,2202.0,4.0,3.0,1589.0
5.0,6.0,132.3,5.0,6.0,142.4,5.0,6.0,133.3,5.0,6.0,1554.0,4.0,6.0,1957.0,4.0,5.0,1691.0
6.0,2.0,24.8,6.0,1.0,32.2,6.0,1.0,418.6,6.0,1.0,1036.0,6.0,1.0,636.8,5.0,1.0,600.6
6.0,3.0,70.1,6.0,3.0,95.5,6.0,2.0,365.1,6.0,2.0,763.3,6.0,2.0,563.8,5.0,2.0,508.2
6.0,4.0,181.3,6.0,4.0,174.4,6.0,4.0,1057.0,6.0,3.0,1776.0,6.0,3.0,1031.0,5.0,3.0,1051.0
6.0,5.0,108.5,6.0,5.0,122.1,6.0,5.0,1016.0,6.0,5.0,1626.0,6.0,4.0,1372.0,5.0,4.0,1499.0
