1,上野 俊樹,上野 俊樹.1,2,川尻 泰輔,川尻 泰輔.1,3,角浜 修,角浜 修.1,4,藤森 拓海,藤森 拓海.1,5,高橋 勲,高橋 勲.1,6,松本 浩貴,松本 浩貴.1
2.0,3.0,10.8,1.0,3.0,23.5,1.0,2.0,32.9,1.0,2.0,406.3,1.0,2.0,74.2,1.0,2.0,521.3
2.0,4.0,60.5,1.0,4.0,110.3,1.0,4.0,92.3,1.0,3.0,487.3,1.0,3.0,81.9,1.0,3.0,517.5
2.0,5.0,13.2,1.0,5.0,24.8,1.0,5.0,31.0,1.0,5.0,541.2,1.0,4.0,345.8,1.0,4.0,1191.0
2.0,6.0,56.6,1.0,6.0,104.1,1.0,6.0,84.6,1.0,6.0,644.5,1.0,6.0,189.3,1.0,5.0,668.8
3.0,2.0,14.3,3.0,1.0,31.8,2.0,1.0,37.8,2.0,1.0,433.6,2.0,1.0,68.8,2.0,1.0,562.7
3.0,4.0,58.5,3.0,4.0,108.0,2.0,4.0,121.6,2.0,3.0,521.3,2.0,3.0,56.9,2.0,3.0,420.7
3.0,5.0,15.6,3.0,5.0,19.2,2.0,5.0,25.3,2.0,5.0,472.6,2.0,4.0,270.6,2.0,4.0,1125.0
3.0,6.0,60.7,3.0,6.0,74.0,2.0,6.0,77.2,2.0,6.0,578.8,2.0,6.0,127.2,2.0,5.0,436.3
4.0,2.0,152.8,4.0,1.0,234.7,4.0,1.0,185.3,3.0,1.0,494.0,3.0,1.0,73.1,3.0,1.0,499.3
4.0,3.0,146.7,4.0,3.0,233.6,4.0,2.0,223.6,3.0,2.0,578.8,3.0,2.0,57.9,3.0,2.0,371.2
4.0,5.0,206.1,4.0,5.0,269.0,4.0,5.0,189.8,3.0,5.0,501.0,3.0,4.0,208.8,3.0,4.0,705.5
4.0,6.0,316.5,4.0,6.0,443.1,4.0,6.0,277.5,3.0,6.0,787.8,3.0,6.0,118.9,3.0,5.0,322.2
5.0,2.0,23.9,5.0,1.0,38.7,5.0,1.0,35.9,5.0,1.0,630.2,4.0,1.0,477.4,4.0,1.0,939.1
5.0,3.0,30.0,5.0,3.0,26.8,5.0,2.0,29.2,5.0,2.0,469.5,4.0,2.0,445.9,4.0,2.0,1254.0
5.0,4.0,128.3,5.0,4.0,148.7,5.0,4.0,91.5,5.0,3.0,633.0,4.0,3.0,471.1,4.0,3.0,909.0
5.0,6.0,110.3,5.0,6.0,85.1,5.0,6.0,57.1,5.0,6.0,742.4,4.0,6.0,650.4,4.0,5.0,1012.0
6.0,2.0,224.0,6.0,1.0,312.3,6.0,1.0,162.4,6.0,1.0,886.2,6.0,1.0,302.3,5.0,1.0,619.2
6.0,3.0,266.5,6.0,3.0,204.0,6.0,2.0,138.3,6.0,2.0,746.3,6.0,2.0,218.4,5.0,2.0,381.1
6.0,4.0,545.4,6.0,4.0,543.3,6.0,4.0,263.5,6.0,3.0,886.2,6.0,3.0,218.4,5.0,3.0,366.4
6.0,5.0,284.1,6.0,5.0,211.9,6.0,5.0,118.5,6.0,5.0,1035.0,6.0,4.0,672.0,5.0,4.0,1181.0
