1,松田 憲幸,松田 憲幸.1,2,上田 健太,上田 健太.1,3,烏野 賢太,烏野 賢太.1,4,堀本 裕也,堀本 裕也.1,5,山田 佑樹,山田 佑樹.1,6,梶原 正,梶原 正.1
2.0,3.0,10.2,1.0,3.0,11.2,1.0,2.0,31.8,1.0,2.0,448.8,1.0,2.0,171.6,1.0,2.0,371.9
2.0,4.0,36.1,1.0,4.0,43.0,1.0,4.0,124.3,1.0,3.0,514.8,1.0,3.0,211.6,1.0,3.0,555.7
2.0,5.0,21.7,1.0,5.0,20.6,1.0,5.0,55.6,1.0,5.0,502.5,1.0,4.0,477.1,1.0,4.0,1548.0
2.0,6.0,27.4,1.0,6.0,26.1,1.0,6.0,89.3,1.0,6.0,585.0,1.0,6.0,268.4,1.0,5.0,989.3
3.0,2.0,16.5,3.0,1.0,16.3,2.0,1.0,32.2,2.0,1.0,498.5,2.0,1.0,173.8,2.0,1.0,351.8
3.0,4.0,69.9,3.0,4.0,42.8,2.0,4.0,66.9,2.0,3.0,367.6,2.0,3.0,140.1,2.0,3.0,279.1
3.0,5.0,36.9,3.0,5.0,17.4,2.0,5.0,32.8,2.0,5.0,352.5,2.0,4.0,432.4,2.0,4.0,721.2
3.0,6.0,53.1,3.0,6.0,21.7,2.0,6.0,42.6,2.0,6.0,380.2,2.0,6.0,184.1,2.0,5.0,411.6
4.0,2.0,106.4,4.0,1.0,150.9,4.0,1.0,226.0,3.0,1.0,665.3,3.0,1.0,277.8,3.0,1.0,594.2
4.0,3.0,132.0,4.0,3.0,114.2,4.0,2.0,159.5,3.0,2.0,465.4,3.0,2.0,170.6,3.0,2.0,346.0
4.0,5.0,194.6,4.0,5.0,146.9,4.0,5.0,184.8,3.0,5.0,523.4,3.0,4.0,457.5,3.0,4.0,1219.0
4.0,6.0,204.2,4.0,6.0,135.4,4.0,6.0,219.7,3.0,6.0,544.5,3.0,6.0,275.4,3.0,5.0,682.1
5.0,2.0,54.8,5.0,1.0,58.4,5.0,1.0,92.5,5.0,1.0,636.2,4.0,1.0,862.8,4.0,1.0,1702.0
5.0,3.0,76.2,5.0,3.0,43.3,5.0,2.0,66.8,5.0,2.0,460.8,4.0,2.0,619.5,4.0,2.0,895.5
5.0,4.0,191.0,5.0,4.0,145.1,5.0,4.0,209.2,5.0,3.0,460.8,4.0,3.0,672.4,4.0,3.0,1061.0
5.0,6.0,123.3,5.0,6.0,59.8,5.0,6.0,127.4,5.0,6.0,526.3,4.0,6.0,726.7,4.0,5.0,1453.0
6.0,2.0,102.5,6.0,1.0,79.7,6.0,1.0,191.8,6.0,1.0,899.8,6.0,1.0,460.8,5.0,1.0,1067.0
6.0,3.0,169.3,6.0,3.0,61.1,6.0,2.0,129.8,6.0,2.0,667.7,6.0,2.0,307.7,5.0,2.0,510.7
6.0,4.0,324.1,6.0,4.0,185.4,6.0,4.0,341.0,6.0,3.0,749.8,6.0,3.0,374.9,5.0,3.0,667.7
6.0,5.0,244.7,6.0,5.0,94.1,6.0,5.0,214.2,6.0,5.0,855.0,6.0,4.0,677.2,5.0,4.0,1453.0
