1,亀山 雅幸,亀山 雅幸.1,2,向井田　佑紀,向井田　佑紀.1,3,後藤 正宗,後藤 正宗.1,4,堤 啓輔,堤 啓輔.1,5,松下 哲也,松下 哲也.1,6,檀 将太,檀 将太.1
2.0,3.0,6.7,1.0,3.0,39.6,1.0,2.0,23.2,1.0,2.0,136.2,1.0,2.0,353.4,1.0,2.0,2633.0
2.0,4.0,12.1,1.0,4.0,49.8,1.0,4.0,20.1,1.0,3.0,142.6,1.0,3.0,250.5,1.0,3.0,2059.0
2.0,5.0,36.8,1.0,5.0,113.3,1.0,5.0,36.2,1.0,5.0,293.2,1.0,4.0,511.9,1.0,4.0,3510.0
2.0,6.0,153.7,1.0,6.0,362.1,1.0,6.0,136.4,1.0,6.0,729.9,1.0,6.0,967.5,1.0,5.0,5119.0
3.0,2.0,5.1,3.0,1.0,78.2,2.0,1.0,56.6,2.0,1.0,260.1,2.0,1.0,647.8,2.0,1.0,4237.0
3.0,4.0,5.9,3.0,4.0,120.9,2.0,4.0,72.9,2.0,3.0,331.7,2.0,3.0,586.0,2.0,3.0,4495.0
3.0,5.0,18.1,3.0,5.0,200.0,2.0,5.0,135.5,2.0,5.0,704.8,2.0,4.0,959.9,2.0,4.0,5191.0
3.0,6.0,71.0,3.0,6.0,602.3,2.0,6.0,316.1,2.0,6.0,1492.0,2.0,6.0,1523.0,2.0,5.0,5945.0
4.0,2.0,18.8,4.0,1.0,145.2,4.0,1.0,45.5,3.0,1.0,180.6,3.0,1.0,353.0,3.0,1.0,2559.0
4.0,3.0,13.8,4.0,3.0,177.7,4.0,2.0,71.4,3.0,2.0,299.9,3.0,2.0,601.3,3.0,2.0,4441.0
4.0,5.0,53.1,4.0,5.0,346.7,4.0,5.0,95.1,3.0,5.0,408.6,3.0,4.0,801.3,3.0,4.0,3649.0
4.0,6.0,147.9,4.0,6.0,916.9,4.0,6.0,293.7,3.0,6.0,808.3,3.0,6.0,1297.0,3.0,5.0,3880.0
5.0,2.0,80.3,5.0,1.0,425.1,5.0,1.0,109.5,5.0,1.0,593.6,4.0,1.0,855.2,4.0,1.0,4850.0
5.0,3.0,54.6,5.0,3.0,414.1,5.0,2.0,187.0,5.0,2.0,738.7,4.0,2.0,1181.0,4.0,2.0,5342.0
5.0,4.0,124.2,5.0,4.0,612.3,5.0,4.0,187.0,5.0,3.0,652.4,4.0,3.0,899.0,4.0,3.0,5049.0
5.0,6.0,286.6,5.0,6.0,1113.0,5.0,6.0,415.1,5.0,6.0,1275.0,4.0,6.0,1843.0,4.0,5.0,5191.0
6.0,2.0,448.4,6.0,1.0,2082.0,6.0,1.0,767.9,6.0,1.0,1747.0,6.0,1.0,1960.0,5.0,1.0,5266.0
6.0,3.0,363.5,6.0,3.0,2003.0,6.0,2.0,1097.0,6.0,2.0,3123.0,6.0,2.0,2409.0,5.0,2.0,5759.0
6.0,4.0,659.4,6.0,4.0,2857.0,6.0,4.0,993.6,6.0,3.0,2347.0,6.0,3.0,1929.0,5.0,3.0,4607.0
6.0,5.0,687.7,6.0,5.0,2813.0,6.0,5.0,1026.0,6.0,5.0,2362.0,6.0,4.0,2710.0,5.0,4.0,4495.0
