1,深川 和仁,深川 和仁.1,2,竹田 広樹,竹田 広樹.1,3,尾嶋 一広,尾嶋 一広.1,4,村本 大成,村本 大成.1,5,山口 亮,山口 亮.1,6,前田 聖文,前田 聖文.1
2.0,3.0,16.3,1.0,3.0,84.8,1.0,2.0,52.4,1.0,2.0,791.4,1.0,2.0,487.0,1.0,2.0,83.6
2.0,4.0,73.8,1.0,4.0,285.0,1.0,4.0,70.6,1.0,3.0,435.2,1.0,3.0,272.4,1.0,3.0,39.1
2.0,5.0,42.5,1.0,5.0,165.2,1.0,5.0,27.5,1.0,5.0,619.9,1.0,4.0,718.7,1.0,4.0,236.3
2.0,6.0,22.7,1.0,6.0,104.1,1.0,6.0,14.7,1.0,6.0,344.4,1.0,6.0,262.0,1.0,5.0,98.6
3.0,2.0,11.5,3.0,1.0,143.5,2.0,1.0,129.9,2.0,1.0,1176.0,2.0,1.0,744.9,2.0,1.0,162.2
3.0,4.0,24.7,3.0,4.0,628.6,2.0,4.0,507.5,2.0,3.0,1859.0,2.0,3.0,1089.0,2.0,3.0,219.9
3.0,5.0,10.9,3.0,5.0,367.3,2.0,5.0,262.2,2.0,5.0,1511.0,2.0,4.0,2045.0,2.0,4.0,589.6
3.0,6.0,5.1,3.0,6.0,207.4,2.0,6.0,154.9,2.0,6.0,1329.0,2.0,6.0,977.7,2.0,5.0,459.3
4.0,2.0,135.7,4.0,1.0,768.6,4.0,1.0,256.2,3.0,1.0,680.1,3.0,1.0,347.6,3.0,1.0,53.2
4.0,3.0,81.3,4.0,3.0,1003.0,4.0,2.0,554.0,3.0,2.0,1621.0,3.0,2.0,923.3,3.0,2.0,158.5
4.0,5.0,192.4,4.0,5.0,1236.0,4.0,5.0,348.0,3.0,5.0,943.0,3.0,4.0,1203.0,3.0,4.0,329.5
4.0,6.0,84.5,4.0,6.0,926.6,4.0,6.0,226.3,3.0,6.0,568.2,3.0,6.0,356.9,3.0,5.0,159.9
5.0,2.0,80.6,5.0,1.0,525.5,5.0,1.0,95.2,5.0,1.0,838.9,4.0,1.0,1151.0,4.0,1.0,531.8
5.0,3.0,41.3,5.0,3.0,705.4,5.0,2.0,262.2,5.0,2.0,1370.0,4.0,2.0,1984.0,4.0,2.0,1007.0
5.0,4.0,199.5,5.0,4.0,1310.0,5.0,4.0,367.8,5.0,3.0,1136.0,4.0,3.0,1422.0,4.0,3.0,636.2
5.0,6.0,42.8,5.0,6.0,712.9,5.0,6.0,86.4,5.0,6.0,600.3,4.0,6.0,1034.0,4.0,5.0,833.6
6.0,2.0,31.1,6.0,1.0,239.1,6.0,1.0,31.8,6.0,1.0,456.9,6.0,1.0,326.7,5.0,1.0,205.8
6.0,3.0,11.0,6.0,3.0,318.1,6.0,2.0,110.4,6.0,2.0,1003.0,6.0,2.0,753.3,5.0,2.0,523.4
6.0,4.0,63.0,6.0,4.0,825.8,6.0,4.0,166.7,6.0,3.0,589.6,6.0,3.0,337.9,5.0,3.0,247.8
6.0,5.0,30.3,6.0,5.0,530.8,6.0,5.0,66.5,6.0,5.0,681.8,6.0,4.0,786.7,5.0,4.0,789.1
