1,真庭 明志,真庭 明志.1,2,佐藤　謙史朗,佐藤　謙史朗.1,3,上村 純一,上村 純一.1,4,渡辺 空依,渡辺 空依.1,5,小森 信雄,小森 信雄.1,6,澤 大介,澤 大介.1
2.0,3.0,9.3,1.0,3.0,26.1,1.0,2.0,16.2,1.0,2.0,545.5,1.0,2.0,967.3,1.0,2.0,170.6
2.0,4.0,44.5,1.0,4.0,97.6,1.0,4.0,37.5,1.0,3.0,422.3,1.0,3.0,629.3,1.0,3.0,103.7
2.0,5.0,58.2,1.0,5.0,119.5,1.0,5.0,36.5,1.0,5.0,812.9,1.0,4.0,1741.0,1.0,4.0,533.4
2.0,6.0,25.7,1.0,6.0,50.1,1.0,6.0,14.7,1.0,6.0,524.9,1.0,6.0,1019.0,1.0,5.0,492.3
3.0,2.0,6.9,3.0,1.0,40.0,2.0,1.0,32.8,2.0,1.0,794.4,2.0,1.0,1145.0,2.0,1.0,271.7
3.0,4.0,20.1,3.0,4.0,98.0,2.0,4.0,75.5,2.0,3.0,714.7,2.0,3.0,1129.0,2.0,3.0,186.1
3.0,5.0,23.3,3.0,5.0,103.5,2.0,5.0,78.9,2.0,5.0,1287.0,2.0,4.0,2401.0,2.0,4.0,632.5
3.0,6.0,9.2,3.0,6.0,43.9,2.0,6.0,31.4,2.0,6.0,762.5,2.0,6.0,1238.0,2.0,5.0,621.8
4.0,2.0,95.4,4.0,1.0,355.9,4.0,1.0,102.3,3.0,1.0,483.2,3.0,1.0,678.3,3.0,1.0,102.3
4.0,3.0,74.9,4.0,3.0,304.4,4.0,2.0,151.4,3.0,2.0,567.2,3.0,2.0,967.3,3.0,2.0,158.2
4.0,5.0,197.0,4.0,5.0,643.5,4.0,5.0,197.6,3.0,5.0,728.8,3.0,4.0,1362.0,3.0,4.0,398.4
4.0,6.0,124.2,4.0,6.0,369.5,4.0,6.0,102.6,3.0,6.0,469.1,3.0,6.0,777.6,3.0,5.0,381.9
5.0,2.0,153.1,5.0,1.0,489.7,5.0,1.0,144.9,5.0,1.0,1281.0,4.0,1.0,2191.0,4.0,1.0,1289.0
5.0,3.0,112.6,5.0,3.0,382.4,5.0,2.0,191.8,5.0,2.0,1680.0,4.0,2.0,2487.0,4.0,2.0,1125.0
5.0,4.0,252.9,5.0,4.0,924.5,5.0,4.0,263.1,5.0,3.0,1133.0,4.0,3.0,1726.0,4.0,3.0,663.3
5.0,6.0,167.2,5.0,6.0,479.5,5.0,6.0,116.2,5.0,6.0,785.4,4.0,6.0,1946.0,4.0,5.0,1832.0
6.0,2.0,57.9,6.0,1.0,165.0,6.0,1.0,37.0,6.0,1.0,993.3,6.0,1.0,1389.0,5.0,1.0,1109.0
6.0,3.0,35.7,6.0,3.0,121.8,6.0,2.0,45.5,6.0,2.0,958.4,6.0,2.0,1405.0,5.0,2.0,1145.0
6.0,4.0,155.4,6.0,4.0,389.8,6.0,4.0,107.7,6.0,3.0,816.1,6.0,3.0,939.7,5.0,3.0,760.7
6.0,5.0,164.1,6.0,5.0,380.3,6.0,5.0,89.5,6.0,5.0,1226.0,6.0,4.0,2254.0,5.0,4.0,1578.0
