1,國分　将太郎,國分　将太郎.1,2,石川 真二,石川 真二.1,3,屋良 龍紀,屋良 龍紀.1,4,峰重 侑治,峰重 侑治.1,5,中渡 修作,中渡 修作.1,6,谷津 幸宏,谷津 幸宏.1
2.0,3.0,40.9,1.0,3.0,21.4,1.0,2.0,125.5,1.0,2.0,65.0,1.0,2.0,596.2,1.0,2.0,187.3
2.0,4.0,18.6,1.0,4.0,9.6,1.0,4.0,169.1,1.0,3.0,194.5,1.0,3.0,841.0,1.0,3.0,547.2
2.0,5.0,103.9,1.0,5.0,51.2,1.0,5.0,340.0,1.0,5.0,165.0,1.0,4.0,650.9,1.0,4.0,326.7
2.0,6.0,33.8,1.0,6.0,14.2,1.0,6.0,200.1,1.0,6.0,77.8,1.0,6.0,688.8,1.0,5.0,743.2
3.0,2.0,84.8,3.0,1.0,31.8,2.0,1.0,94.7,2.0,1.0,50.8,2.0,1.0,487.9,2.0,1.0,140.4
3.0,4.0,112.0,3.0,4.0,27.1,2.0,4.0,74.4,2.0,3.0,88.7,2.0,3.0,497.8,2.0,3.0,219.3
3.0,5.0,266.7,3.0,5.0,53.1,2.0,5.0,135.7,2.0,5.0,79.8,2.0,4.0,329.1,2.0,4.0,127.5
3.0,6.0,168.0,3.0,6.0,33.7,2.0,6.0,85.0,2.0,6.0,40.8,2.0,6.0,324.4,2.0,5.0,300.6
4.0,2.0,45.8,4.0,1.0,15.4,4.0,1.0,154.0,3.0,1.0,195.9,3.0,1.0,895.2,3.0,1.0,685.8
4.0,3.0,101.0,4.0,3.0,27.1,4.0,2.0,96.6,3.0,2.0,122.2,3.0,2.0,570.7,3.0,2.0,329.8
4.0,5.0,169.0,4.0,5.0,47.2,4.0,5.0,165.6,3.0,5.0,210.9,3.0,4.0,664.4,3.0,4.0,550.1
4.0,6.0,78.0,4.0,6.0,16.3,4.0,6.0,113.3,3.0,6.0,125.1,3.0,6.0,663.0,3.0,5.0,861.4
5.0,2.0,269.9,5.0,1.0,129.3,5.0,1.0,411.3,5.0,1.0,166.5,4.0,1.0,438.4,4.0,1.0,318.3
5.0,3.0,427.8,5.0,3.0,120.2,5.0,2.0,226.9,5.0,2.0,97.4,4.0,2.0,291.8,4.0,2.0,171.5
5.0,4.0,342.1,5.0,4.0,112.5,5.0,4.0,264.1,5.0,3.0,257.7,4.0,3.0,568.7,4.0,3.0,477.0
5.0,6.0,376.0,5.0,6.0,92.4,5.0,6.0,257.1,5.0,6.0,87.2,4.0,6.0,311.5,4.0,5.0,408.1
6.0,2.0,102.6,6.0,1.0,37.1,6.0,1.0,332.9,6.0,1.0,92.0,6.0,1.0,729.7,5.0,1.0,954.0
6.0,3.0,287.1,6.0,3.0,58.3,6.0,2.0,172.2,6.0,2.0,58.8,6.0,2.0,411.3,5.0,2.0,482.0
6.0,4.0,152.4,6.0,4.0,33.6,6.0,4.0,215.9,6.0,3.0,161.8,6.0,3.0,750.2,5.0,3.0,974.4
6.0,5.0,371.2,6.0,5.0,82.0,6.0,5.0,311.8,6.0,5.0,94.8,6.0,4.0,446.3,5.0,4.0,594.0
