1,永田 義紘,永田 義紘.1,2,田中 駿兵,田中 駿兵.1,3,山口 隆史,山口 隆史.1,4,佐竹 太一,佐竹 太一.1,5,平池 仁志,平池 仁志.1,6,杉山 太陽,杉山 太陽.1
2.0,3.0,16.6,1.0,3.0,40.0,1.0,2.0,71.2,1.0,2.0,43.8,1.0,2.0,424.9,1.0,2.0,241.2
2.0,4.0,14.4,1.0,4.0,37.1,1.0,4.0,34.2,1.0,3.0,32.2,1.0,3.0,346.4,1.0,3.0,224.6
2.0,5.0,50.1,1.0,5.0,80.5,1.0,5.0,84.4,1.0,5.0,45.5,1.0,4.0,288.7,1.0,4.0,194.2
2.0,6.0,62.7,1.0,6.0,78.5,1.0,6.0,113.7,1.0,6.0,61.3,1.0,6.0,578.7,1.0,5.0,459.6
3.0,2.0,15.6,3.0,1.0,131.1,2.0,1.0,129.6,2.0,1.0,84.3,2.0,1.0,590.9,2.0,1.0,346.4
3.0,4.0,8.7,3.0,4.0,163.5,2.0,4.0,143.9,2.0,3.0,146.2,2.0,3.0,997.4,2.0,3.0,468.8
3.0,5.0,26.5,3.0,5.0,421.0,2.0,5.0,313.9,2.0,5.0,148.2,2.0,4.0,657.2,2.0,4.0,357.8
3.0,6.0,42.9,3.0,6.0,447.9,2.0,6.0,334.8,2.0,6.0,176.0,2.0,6.0,1222.0,2.0,5.0,879.0
4.0,2.0,14.3,4.0,1.0,52.0,4.0,1.0,57.5,3.0,1.0,58.4,3.0,1.0,522.8,3.0,1.0,309.7
4.0,3.0,10.5,4.0,3.0,141.7,4.0,2.0,129.6,3.0,2.0,152.3,3.0,2.0,1244.0,3.0,2.0,518.9
4.0,5.0,25.2,4.0,5.0,259.4,4.0,5.0,107.7,3.0,5.0,113.8,3.0,4.0,619.5,3.0,4.0,311.8
4.0,6.0,35.7,4.0,6.0,239.1,4.0,6.0,127.5,3.0,6.0,140.0,3.0,6.0,1378.0,3.0,5.0,799.1
5.0,2.0,115.6,5.0,1.0,355.1,5.0,1.0,246.7,5.0,1.0,69.5,4.0,1.0,268.4,4.0,1.0,221.4
5.0,3.0,77.7,5.0,3.0,706.7,5.0,2.0,471.9,5.0,2.0,122.6,4.0,2.0,446.4,4.0,2.0,299.2
5.0,4.0,66.8,5.0,4.0,424.9,5.0,4.0,235.9,5.0,3.0,119.9,4.0,3.0,449.3,4.0,3.0,276.8
5.0,6.0,181.9,5.0,6.0,706.7,5.0,6.0,395.0,5.0,6.0,96.4,4.0,6.0,350.7,4.0,5.0,372.0
6.0,2.0,134.7,6.0,1.0,380.1,6.0,1.0,260.4,6.0,1.0,100.3,6.0,1.0,976.6,5.0,1.0,752.1
6.0,3.0,105.6,6.0,3.0,583.5,6.0,2.0,488.3,6.0,2.0,145.5,6.0,2.0,1545.0,5.0,2.0,983.5
6.0,4.0,95.7,6.0,4.0,370.1,6.0,4.0,235.1,6.0,3.0,160.0,6.0,3.0,1545.0,5.0,3.0,919.2
6.0,5.0,193.4,6.0,5.0,794.6,6.0,5.0,440.8,6.0,5.0,130.1,6.0,4.0,569.4,5.0,4.0,490.0
