1,白井 友晴,白井 友晴.1,2,井上 遥妃,井上 遥妃.1,3,真庭 明志,真庭 明志.1,4,金田 諭,金田 諭.1,5,田川 大貴,田川 大貴.1,6,藤山 雅弘,藤山 雅弘.1
2.0,3.0,23.9,1.0,3.0,56.1,1.0,2.0,89.0,1.0,2.0,82.1,1.0,2.0,148.4,1.0,2.0,762.3
2.0,4.0,24.0,1.0,4.0,62.3,1.0,4.0,47.0,1.0,3.0,47.0,1.0,3.0,111.8,1.0,3.0,613.7
2.0,5.0,23.9,1.0,5.0,50.5,1.0,5.0,53.3,1.0,5.0,36.6,1.0,4.0,103.2,1.0,4.0,613.7
2.0,6.0,55.0,1.0,6.0,90.2,1.0,6.0,125.4,1.0,6.0,80.4,1.0,6.0,136.8,1.0,5.0,719.5
3.0,2.0,24.6,3.0,1.0,104.0,2.0,1.0,136.1,2.0,1.0,156.3,2.0,1.0,243.9,2.0,1.0,1148.0
3.0,4.0,11.8,3.0,4.0,108.9,2.0,4.0,134.9,2.0,3.0,228.5,2.0,3.0,254.1,2.0,3.0,886.1
3.0,5.0,16.8,3.0,5.0,103.5,2.0,5.0,121.9,2.0,5.0,190.9,2.0,4.0,314.7,2.0,4.0,1051.0
3.0,6.0,58.0,3.0,6.0,203.5,2.0,6.0,199.1,2.0,6.0,321.7,2.0,6.0,331.4,2.0,5.0,1124.0
4.0,2.0,24.1,4.0,1.0,127.4,4.0,1.0,56.9,3.0,1.0,75.8,3.0,1.0,183.9,3.0,1.0,791.9
4.0,3.0,15.0,4.0,3.0,142.0,4.0,2.0,130.7,3.0,2.0,187.9,3.0,2.0,325.1,3.0,2.0,847.9
4.0,5.0,15.5,4.0,5.0,141.0,4.0,5.0,56.2,3.0,5.0,83.0,3.0,4.0,180.7,3.0,4.0,766.5
4.0,6.0,51.7,4.0,6.0,254.9,4.0,6.0,105.1,3.0,6.0,166.6,3.0,6.0,281.6,3.0,5.0,844.0
5.0,2.0,36.2,5.0,1.0,160.1,5.0,1.0,86.9,5.0,1.0,49.4,4.0,1.0,121.1,4.0,1.0,695.9
5.0,3.0,31.7,5.0,3.0,164.8,5.0,2.0,139.1,5.0,2.0,115.1,4.0,2.0,258.0,4.0,2.0,1062.0
5.0,4.0,34.6,5.0,4.0,189.9,5.0,4.0,80.6,5.0,3.0,81.7,4.0,3.0,175.8,4.0,3.0,767.6
5.0,6.0,74.2,5.0,6.0,272.8,5.0,6.0,131.5,5.0,6.0,64.9,4.0,6.0,140.4,4.0,5.0,560.1
6.0,2.0,210.0,6.0,1.0,555.0,6.0,1.0,304.1,6.0,1.0,202.3,6.0,1.0,271.1,5.0,1.0,639.4
6.0,3.0,183.2,6.0,3.0,503.3,6.0,2.0,338.5,6.0,2.0,405.2,6.0,2.0,429.6,5.0,2.0,876.2
6.0,4.0,173.9,6.0,4.0,614.4,6.0,4.0,289.6,6.0,3.0,303.8,6.0,3.0,342.7,5.0,3.0,698.5
6.0,5.0,187.5,6.0,5.0,531.0,6.0,5.0,260.8,6.0,5.0,182.2,6.0,4.0,263.9,5.0,4.0,512.2
