1,津留　浩一郎,津留　浩一郎.1,2,大西 賢,大西 賢.1,3,松村 敏,松村 敏.1,4,後藤 陽介,後藤 陽介.1,5,中山 将,中山 将.1,6,宮下 元胤,宮下 元胤.1
2.0,3.0,81.4,1.0,3.0,203.8,1.0,2.0,38.0,1.0,2.0,536.3,1.0,2.0,521.0,1.0,2.0,1237.0
2.0,4.0,183.4,1.0,4.0,521.6,1.0,4.0,17.3,1.0,3.0,148.0,1.0,3.0,128.7,1.0,3.0,305.3
2.0,5.0,165.3,1.0,5.0,447.5,1.0,5.0,10.6,1.0,5.0,260.0,1.0,4.0,357.1,1.0,4.0,1089.0
2.0,6.0,203.0,1.0,6.0,681.4,1.0,6.0,13.7,1.0,6.0,283.0,1.0,6.0,220.9,1.0,5.0,647.2
3.0,2.0,35.4,3.0,1.0,270.6,2.0,1.0,103.9,2.0,1.0,950.4,2.0,1.0,885.1,2.0,1.0,1480.0
3.0,4.0,23.9,3.0,4.0,508.9,2.0,4.0,129.5,2.0,3.0,595.3,2.0,3.0,557.4,2.0,3.0,805.4
3.0,5.0,16.5,3.0,5.0,308.7,2.0,5.0,88.0,2.0,5.0,952.5,2.0,4.0,1184.0,2.0,4.0,1678.0
3.0,6.0,20.8,3.0,6.0,462.2,2.0,6.0,92.2,2.0,6.0,940.2,2.0,6.0,899.7,2.0,5.0,1678.0
4.0,2.0,188.6,4.0,1.0,984.6,4.0,1.0,31.5,3.0,1.0,134.8,3.0,1.0,107.2,3.0,1.0,237.2
4.0,3.0,63.0,4.0,3.0,842.6,4.0,2.0,76.6,3.0,2.0,277.1,3.0,2.0,312.0,3.0,2.0,628.6
4.0,5.0,111.6,4.0,5.0,993.5,4.0,5.0,17.9,3.0,5.0,85.8,3.0,4.0,132.6,3.0,4.0,260.6
4.0,6.0,138.7,4.0,6.0,1217.0,4.0,6.0,19.3,3.0,6.0,79.9,3.0,6.0,73.0,3.0,5.0,136.0
5.0,2.0,197.8,5.0,1.0,1040.0,5.0,1.0,18.9,5.0,1.0,337.8,4.0,1.0,556.7,4.0,1.0,1217.0
5.0,3.0,52.0,5.0,3.0,693.3,5.0,2.0,65.7,5.0,2.0,694.4,4.0,2.0,991.3,4.0,2.0,1718.0
5.0,4.0,142.3,5.0,4.0,1248.0,5.0,4.0,21.2,5.0,3.0,155.9,4.0,3.0,225.6,4.0,3.0,363.9
5.0,6.0,92.8,5.0,6.0,1071.0,5.0,6.0,11.7,5.0,6.0,194.5,4.0,6.0,288.2,4.0,5.0,579.5
6.0,2.0,360.3,6.0,1.0,1495.0,6.0,1.0,28.5,6.0,1.0,521.6,6.0,1.0,297.0,5.0,1.0,587.3
6.0,3.0,82.1,6.0,3.0,1004.0,6.0,2.0,103.9,6.0,2.0,980.2,6.0,2.0,667.9,5.0,2.0,1288.0
6.0,4.0,267.6,6.0,4.0,1490.0,6.0,4.0,29.2,6.0,3.0,199.9,6.0,3.0,123.7,5.0,3.0,192.9
6.0,5.0,162.4,6.0,5.0,1038.0,6.0,5.0,16.7,6.0,5.0,270.4,6.0,4.0,299.5,5.0,4.0,521.6
