1,鈴木 雅希,鈴木 雅希.1,2,大塚 雅治,大塚 雅治.1,3,宮本 夏樹,宮本 夏樹.1,4,嶋 義信,嶋 義信.1,5,福田 理,福田 理.1,6,三川 昂暁,三川 昂暁.1
2.0,3.0,9.0,1.0,3.0,42.2,1.0,2.0,46.1,1.0,2.0,53.8,1.0,2.0,338.5,1.0,2.0,697.8
2.0,4.0,7.6,1.0,4.0,30.3,1.0,4.0,30.6,1.0,3.0,83.6,1.0,3.0,470.9,1.0,3.0,846.7
2.0,5.0,26.9,1.0,5.0,78.2,1.0,5.0,68.2,1.0,5.0,95.4,1.0,4.0,399.0,1.0,4.0,582.2
2.0,6.0,27.2,1.0,6.0,84.3,1.0,6.0,67.2,1.0,6.0,85.9,1.0,6.0,517.2,1.0,5.0,1242.0
3.0,2.0,11.7,3.0,1.0,131.9,2.0,1.0,114.0,2.0,1.0,101.4,2.0,1.0,660.1,2.0,1.0,1091.0
3.0,4.0,10.6,3.0,4.0,183.8,2.0,4.0,135.0,2.0,3.0,224.9,2.0,3.0,1340.0,2.0,3.0,1808.0
3.0,5.0,29.2,3.0,5.0,330.0,2.0,5.0,260.1,2.0,5.0,275.8,2.0,4.0,970.3,2.0,4.0,1583.0
3.0,6.0,31.9,3.0,6.0,424.5,2.0,6.0,297.3,2.0,6.0,255.1,2.0,6.0,1536.0,2.0,5.0,2247.0
4.0,2.0,11.8,4.0,1.0,86.7,4.0,1.0,65.3,3.0,1.0,149.7,3.0,1.0,668.8,3.0,1.0,1237.0
4.0,3.0,18.1,4.0,3.0,178.8,4.0,2.0,117.2,3.0,2.0,241.4,3.0,2.0,1180.0,3.0,2.0,2298.0
4.0,5.0,35.4,4.0,5.0,239.3,4.0,5.0,134.9,3.0,5.0,296.4,3.0,4.0,893.7,3.0,4.0,1232.0
4.0,6.0,26.9,4.0,6.0,274.8,4.0,6.0,126.1,3.0,6.0,264.6,3.0,6.0,1295.0,3.0,5.0,2351.0
5.0,2.0,63.9,5.0,1.0,342.6,5.0,1.0,236.0,5.0,1.0,136.2,4.0,1.0,513.7,4.0,1.0,696.2
5.0,3.0,75.5,5.0,3.0,699.4,5.0,2.0,432.3,5.0,2.0,234.7,4.0,2.0,756.6,4.0,2.0,1358.0
5.0,4.0,76.1,5.0,4.0,541.9,5.0,4.0,286.2,5.0,3.0,318.4,4.0,3.0,931.9,4.0,3.0,1095.0
5.0,6.0,110.4,5.0,6.0,798.0,5.0,6.0,339.2,5.0,6.0,191.0,4.0,6.0,636.8,4.0,5.0,1278.0
6.0,2.0,91.6,6.0,1.0,394.9,6.0,1.0,266.4,6.0,1.0,163.1,6.0,1.0,1123.0,5.0,1.0,2122.0
6.0,3.0,104.6,6.0,3.0,1057.0,6.0,2.0,532.5,6.0,2.0,322.0,6.0,2.0,1536.0,5.0,2.0,2590.0
6.0,4.0,81.1,6.0,4.0,646.2,6.0,4.0,336.6,6.0,3.0,374.5,6.0,3.0,1617.0,5.0,3.0,2445.0
6.0,5.0,174.5,6.0,5.0,1115.0,6.0,5.0,534.3,6.0,5.0,291.1,6.0,4.0,992.4,5.0,4.0,1592.0
