1,抹香 雄三,抹香 雄三.1,2,檀 将太,檀 将太.1,3,杉山 勝匡,杉山 勝匡.1,4,森林 太,森林 太.1,5,表 健太,表 健太.1,6,赤峰 和也,赤峰 和也.1
2.0,3.0,14.8,1.0,3.0,66.8,1.0,2.0,59.1,1.0,2.0,73.3,1.0,2.0,320.1,1.0,2.0,843.1
2.0,4.0,12.3,1.0,4.0,74.1,1.0,4.0,32.6,1.0,3.0,53.9,1.0,3.0,169.7,1.0,3.0,592.8
2.0,5.0,38.8,1.0,5.0,157.1,1.0,5.0,52.4,1.0,5.0,69.5,1.0,4.0,209.0,1.0,4.0,751.3
2.0,6.0,70.7,1.0,6.0,253.8,1.0,6.0,96.1,1.0,6.0,107.9,1.0,6.0,407.9,1.0,5.0,985.5
3.0,2.0,13.6,3.0,1.0,117.1,2.0,1.0,115.1,2.0,1.0,184.1,2.0,1.0,433.6,2.0,1.0,936.8
3.0,4.0,6.1,3.0,4.0,176.4,2.0,4.0,164.9,2.0,3.0,290.7,2.0,3.0,480.2,2.0,3.0,1149.0
3.0,5.0,16.5,3.0,5.0,198.6,2.0,5.0,196.0,2.0,5.0,327.0,2.0,4.0,592.8,2.0,4.0,985.5
3.0,6.0,34.4,3.0,6.0,381.3,2.0,6.0,307.2,2.0,6.0,294.1,2.0,6.0,622.0,2.0,5.0,1223.0
4.0,2.0,14.0,4.0,1.0,175.6,4.0,1.0,61.7,3.0,1.0,93.3,3.0,1.0,251.2,3.0,1.0,824.8
4.0,3.0,8.7,4.0,3.0,258.1,4.0,2.0,142.6,3.0,2.0,248.8,3.0,2.0,566.3,3.0,2.0,1379.0
4.0,5.0,18.7,4.0,5.0,399.4,4.0,5.0,99.5,3.0,5.0,172.4,3.0,4.0,407.9,3.0,4.0,872.2
4.0,6.0,35.5,4.0,6.0,489.5,4.0,6.0,158.4,3.0,6.0,241.6,3.0,6.0,665.6,3.0,5.0,1167.0
5.0,2.0,71.1,5.0,1.0,356.2,5.0,1.0,135.0,5.0,1.0,122.2,4.0,1.0,245.5,4.0,1.0,862.3
5.0,3.0,42.9,5.0,3.0,357.9,5.0,2.0,229.9,5.0,2.0,285.2,4.0,2.0,665.6,4.0,2.0,1185.0
5.0,4.0,41.6,5.0,4.0,523.3,5.0,4.0,184.6,5.0,3.0,201.2,4.0,3.0,502.5,4.0,3.0,998.5
5.0,6.0,134.7,5.0,6.0,702.6,5.0,6.0,252.9,5.0,6.0,200.2,4.0,6.0,516.2,4.0,5.0,998.5
6.0,2.0,144.5,6.0,1.0,782.3,6.0,1.0,327.0,6.0,1.0,248.8,6.0,1.0,766.5,5.0,1.0,1039.0
6.0,3.0,112.9,6.0,3.0,782.3,6.0,2.0,579.2,6.0,2.0,379.4,6.0,2.0,998.5,5.0,2.0,1405.0
6.0,4.0,109.6,6.0,4.0,872.2,6.0,4.0,407.9,6.0,3.0,375.6,6.0,3.0,960.5,5.0,3.0,1286.0
6.0,5.0,231.3,6.0,5.0,948.5,6.0,5.0,465.5,6.0,5.0,285.2,6.0,4.0,960.5,5.0,4.0,1115.0
