1,大場 広孝,大場 広孝.1,2,小川 広大,小川 広大.1,3,米丸 乃絵,米丸 乃絵.1,4,溝口　海義也,溝口　海義也.1,5,竹井 貴史,竹井 貴史.1,6,乙藤 智史,乙藤 智史.1
2.0,3.0,45.7,1.0,3.0,134.9,1.0,2.0,114.9,1.0,2.0,122.4,1.0,2.0,157.0,1.0,2.0,1321.0
2.0,4.0,50.3,1.0,4.0,131.7,1.0,4.0,31.8,1.0,3.0,51.6,1.0,3.0,51.8,1.0,3.0,916.4
2.0,5.0,56.4,1.0,5.0,142.4,1.0,5.0,32.0,1.0,5.0,37.0,1.0,4.0,49.6,1.0,4.0,877.8
2.0,6.0,144.7,1.0,6.0,370.8,1.0,6.0,102.3,1.0,6.0,89.8,1.0,6.0,98.9,1.0,5.0,875.7
3.0,2.0,34.0,3.0,1.0,308.8,2.0,1.0,283.8,2.0,1.0,340.7,2.0,1.0,410.7,2.0,1.0,2399.0
3.0,4.0,10.0,3.0,4.0,277.7,2.0,4.0,205.4,2.0,3.0,381.1,2.0,3.0,464.0,2.0,3.0,2407.0
3.0,5.0,11.5,3.0,5.0,298.9,2.0,5.0,227.8,2.0,5.0,223.6,2.0,4.0,377.7,2.0,4.0,1875.0
3.0,6.0,51.4,3.0,6.0,602.8,2.0,6.0,497.6,2.0,6.0,420.7,2.0,6.0,580.3,2.0,5.0,2251.0
4.0,2.0,44.4,4.0,1.0,279.9,4.0,1.0,44.3,3.0,1.0,76.1,3.0,1.0,78.1,3.0,1.0,1411.0
4.0,3.0,14.4,4.0,3.0,330.2,4.0,2.0,142.5,3.0,2.0,204.2,3.0,2.0,321.9,3.0,2.0,2643.0
4.0,5.0,14.9,4.0,5.0,254.5,4.0,5.0,30.7,3.0,5.0,49.4,3.0,4.0,69.5,3.0,4.0,1174.0
4.0,6.0,53.6,4.0,6.0,472.4,4.0,6.0,83.8,3.0,6.0,118.4,3.0,6.0,182.5,3.0,5.0,1068.0
5.0,2.0,56.0,5.0,1.0,360.9,5.0,1.0,50.3,5.0,1.0,39.3,4.0,1.0,63.6,4.0,1.0,1176.0
5.0,3.0,19.2,5.0,3.0,394.3,5.0,2.0,173.1,5.0,2.0,128.0,4.0,2.0,215.9,4.0,2.0,1805.0
5.0,4.0,23.2,5.0,4.0,354.9,5.0,4.0,40.9,5.0,3.0,47.6,4.0,3.0,66.0,4.0,3.0,1264.0
5.0,6.0,57.1,5.0,6.0,591.1,5.0,6.0,87.9,5.0,6.0,46.1,4.0,6.0,67.4,4.0,5.0,362.7
6.0,2.0,312.6,6.0,1.0,1319.0,6.0,1.0,377.5,6.0,1.0,243.1,6.0,1.0,244.8,5.0,1.0,1036.0
6.0,3.0,211.0,6.0,3.0,1732.0,6.0,2.0,711.0,6.0,2.0,494.2,6.0,2.0,489.2,5.0,2.0,1940.0
6.0,4.0,192.1,6.0,4.0,1273.0,6.0,4.0,313.3,6.0,3.0,320.2,6.0,3.0,308.0,5.0,3.0,1000.0
6.0,5.0,194.7,6.0,5.0,1316.0,6.0,5.0,285.6,6.0,5.0,139.8,6.0,4.0,160.3,5.0,4.0,353.6
