1,泉 啓文,泉 啓文.1,2,関 裕也,関 裕也.1,3,中里 優子,中里 優子.1,4,都築 正治,都築 正治.1,5,渡辺 真至,渡辺 真至.1,6,藤井 徹,藤井 徹.1
2.0,3.0,25.7,1.0,3.0,39.7,1.0,2.0,80.2,1.0,2.0,80.1,1.0,2.0,131.9,1.0,2.0,1478.0
2.0,4.0,21.7,1.0,4.0,46.5,1.0,4.0,61.4,1.0,3.0,79.3,1.0,3.0,110.1,1.0,3.0,2843.0
2.0,5.0,29.0,1.0,5.0,35.6,1.0,5.0,46.9,1.0,5.0,49.0,1.0,4.0,101.2,1.0,4.0,2956.0
2.0,6.0,182.2,1.0,6.0,349.7,1.0,6.0,416.8,1.0,6.0,222.2,1.0,6.0,327.0,1.0,5.0,2436.0
3.0,2.0,27.8,3.0,1.0,62.6,2.0,1.0,111.6,2.0,1.0,98.0,2.0,1.0,148.8,2.0,1.0,2016.0
3.0,4.0,18.4,3.0,4.0,57.2,2.0,4.0,87.6,2.0,3.0,97.5,2.0,3.0,110.2,2.0,3.0,2807.0
3.0,5.0,21.2,3.0,5.0,39.4,2.0,5.0,59.8,2.0,5.0,51.0,2.0,4.0,91.1,2.0,4.0,1997.0
3.0,6.0,190.1,3.0,6.0,357.6,2.0,6.0,483.1,2.0,6.0,206.0,2.0,6.0,342.7,2.0,5.0,2092.0
4.0,2.0,28.3,4.0,1.0,72.0,4.0,1.0,73.7,3.0,1.0,101.4,3.0,1.0,141.3,3.0,1.0,3411.0
4.0,3.0,26.5,4.0,3.0,61.6,4.0,2.0,79.0,3.0,2.0,107.5,3.0,2.0,128.6,3.0,2.0,3465.0
4.0,5.0,20.9,4.0,5.0,33.6,4.0,5.0,36.5,3.0,5.0,43.3,3.0,4.0,74.3,3.0,4.0,2334.0
4.0,6.0,161.2,4.0,6.0,291.0,4.0,6.0,270.7,3.0,6.0,315.9,3.0,6.0,360.0,3.0,5.0,2240.0
5.0,2.0,46.0,5.0,1.0,88.3,5.0,1.0,82.9,5.0,1.0,41.2,4.0,1.0,78.3,4.0,1.0,2737.0
5.0,3.0,40.7,5.0,3.0,65.4,5.0,2.0,81.6,5.0,2.0,36.2,4.0,2.0,69.0,4.0,2.0,2384.0
5.0,4.0,36.8,5.0,4.0,58.8,5.0,4.0,50.5,5.0,3.0,31.9,4.0,3.0,63.3,4.0,3.0,2410.0
5.0,6.0,195.7,5.0,6.0,316.8,5.0,6.0,283.9,5.0,6.0,75.9,4.0,6.0,128.4,4.0,5.0,1071.0
6.0,2.0,562.8,6.0,1.0,1198.0,6.0,1.0,1296.0,6.0,1.0,548.9,6.0,1.0,883.5,5.0,1.0,2608.0
6.0,3.0,600.9,6.0,3.0,1529.0,6.0,2.0,1572.0,6.0,2.0,594.5,6.0,2.0,830.5,5.0,2.0,2704.0
6.0,4.0,528.0,6.0,4.0,1056.0,6.0,4.0,972.6,6.0,3.0,767.3,6.0,3.0,815.3,5.0,3.0,2174.0
6.0,5.0,561.4,6.0,5.0,943.6,6.0,5.0,905.1,6.0,5.0,311.4,6.0,4.0,468.8,5.0,4.0,1125.0
