1,表 健太,表 健太.1,2,下河 誉史,下河 誉史.1,3,川上 清人,川上 清人.1,4,榎 幸司,榎 幸司.1,5,間嶋 仁志,間嶋 仁志.1,6,堤 昇,堤 昇.1
2.0,3.0,98.7,1.0,3.0,138.9,1.0,2.0,464.7,1.0,2.0,65.9,1.0,2.0,188.8,1.0,2.0,441.4
2.0,4.0,47.8,1.0,4.0,55.9,1.0,4.0,566.4,1.0,3.0,203.3,1.0,3.0,344.6,1.0,3.0,698.3
2.0,5.0,79.2,1.0,5.0,88.3,1.0,5.0,659.9,1.0,5.0,52.3,1.0,4.0,117.8,1.0,4.0,351.0
2.0,6.0,122.8,1.0,6.0,121.4,1.0,6.0,680.3,1.0,6.0,73.1,1.0,6.0,150.8,1.0,5.0,397.5
3.0,2.0,253.3,3.0,1.0,311.3,2.0,1.0,532.2,2.0,1.0,58.3,2.0,1.0,157.8,2.0,1.0,461.5
3.0,4.0,207.2,3.0,4.0,132.3,2.0,4.0,304.8,2.0,3.0,70.0,2.0,3.0,170.9,2.0,3.0,387.0
3.0,5.0,397.5,3.0,5.0,215.3,2.0,5.0,385.9,2.0,5.0,15.3,2.0,4.0,43.7,2.0,4.0,136.0
3.0,6.0,450.4,3.0,6.0,232.3,2.0,6.0,429.9,2.0,6.0,21.2,2.0,6.0,60.4,2.0,5.0,175.2
4.0,2.0,53.6,4.0,1.0,55.0,4.0,1.0,525.8,3.0,1.0,322.7,3.0,1.0,406.1,3.0,1.0,1039.0
4.0,3.0,159.4,4.0,3.0,72.7,4.0,2.0,295.2,3.0,2.0,165.4,3.0,2.0,332.4,3.0,2.0,573.8
4.0,5.0,48.1,4.0,5.0,16.0,4.0,5.0,210.1,3.0,5.0,134.2,3.0,4.0,232.7,3.0,4.0,439.9
4.0,6.0,74.7,4.0,6.0,22.5,4.0,6.0,304.8,3.0,6.0,151.0,3.0,6.0,274.4,3.0,5.0,515.5
5.0,2.0,102.0,5.0,1.0,119.6,5.0,1.0,904.0,5.0,1.0,50.1,4.0,1.0,105.9,4.0,1.0,257.2
5.0,3.0,248.1,5.0,3.0,128.0,5.0,2.0,501.8,5.0,2.0,16.2,4.0,2.0,41.2,4.0,2.0,127.2
5.0,4.0,77.0,5.0,4.0,30.3,5.0,4.0,304.1,5.0,3.0,55.5,4.0,3.0,105.5,4.0,3.0,282.6
5.0,6.0,122.3,5.0,6.0,43.6,5.0,6.0,459.9,5.0,6.0,12.4,4.0,6.0,29.1,4.0,5.0,74.2
6.0,2.0,219.6,6.0,1.0,226.0,6.0,1.0,1157.0,6.0,1.0,95.7,6.0,1.0,161.9,5.0,1.0,421.7
6.0,3.0,406.1,6.0,3.0,219.2,6.0,2.0,591.8,6.0,2.0,33.7,6.0,2.0,77.6,5.0,2.0,181.3
6.0,4.0,176.4,6.0,4.0,50.5,6.0,4.0,501.8,6.0,3.0,82.3,6.0,3.0,148.8,5.0,3.0,364.6
6.0,5.0,209.1,6.0,5.0,69.4,6.0,5.0,511.6,6.0,5.0,23.7,6.0,4.0,43.0,5.0,4.0,84.6
