1,瓜生 正義,瓜生 正義.1,2,稗田 聖也,稗田 聖也.1,3,間野 兼礼,間野 兼礼.1,4,松崎　祐太郎,松崎　祐太郎.1,5,大串 重幸,大串 重幸.1,6,浜本 裕己,浜本 裕己.1
2.0,3.0,12.8,1.0,3.0,127.8,1.0,2.0,264.1,1.0,2.0,36.7,1.0,2.0,339.4,1.0,2.0,485.1
2.0,4.0,5.8,1.0,4.0,60.4,1.0,4.0,121.0,1.0,3.0,90.2,1.0,3.0,465.1,1.0,3.0,977.7
2.0,5.0,19.2,1.0,5.0,147.0,1.0,5.0,277.1,1.0,5.0,41.9,1.0,4.0,211.5,1.0,4.0,340.9
2.0,6.0,26.0,1.0,6.0,148.3,1.0,6.0,379.8,1.0,6.0,44.9,1.0,6.0,366.7,1.0,5.0,777.4
3.0,2.0,21.0,3.0,1.0,444.1,2.0,1.0,561.9,2.0,1.0,91.3,2.0,1.0,611.2,2.0,1.0,800.1
3.0,4.0,12.8,3.0,4.0,744.2,2.0,4.0,659.6,2.0,3.0,395.9,2.0,3.0,1766.0,2.0,3.0,2777.0
3.0,5.0,35.5,3.0,5.0,1260.0,2.0,5.0,1430.0,2.0,5.0,229.5,2.0,4.0,951.0,2.0,4.0,916.9
3.0,6.0,52.8,3.0,6.0,1526.0,2.0,6.0,1833.0,2.0,6.0,199.7,2.0,6.0,1290.0,2.0,5.0,2129.0
4.0,2.0,6.9,4.0,1.0,145.7,4.0,1.0,290.3,3.0,1.0,271.6,3.0,1.0,995.5,3.0,1.0,1457.0
4.0,3.0,12.0,4.0,3.0,573.7,4.0,2.0,813.7,3.0,2.0,656.2,3.0,2.0,2380.0,3.0,2.0,3220.0
4.0,5.0,13.7,4.0,5.0,486.3,4.0,5.0,605.4,3.0,5.0,577.2,3.0,4.0,1359.0,3.0,4.0,2117.0
4.0,6.0,15.8,4.0,6.0,457.3,4.0,6.0,820.7,3.0,6.0,674.7,3.0,6.0,1985.0,3.0,5.0,3066.0
5.0,2.0,43.6,5.0,1.0,491.3,5.0,1.0,655.1,5.0,1.0,66.2,4.0,1.0,239.9,4.0,1.0,379.0
5.0,3.0,61.9,5.0,3.0,1742.0,5.0,2.0,1758.0,5.0,2.0,150.5,4.0,2.0,461.7,4.0,2.0,695.5
5.0,4.0,40.7,5.0,4.0,919.1,5.0,4.0,1003.0,5.0,3.0,371.7,4.0,3.0,822.4,4.0,3.0,1479.0
5.0,6.0,77.7,5.0,6.0,1440.0,5.0,6.0,1766.0,5.0,6.0,95.0,4.0,6.0,380.9,4.0,5.0,846.0
6.0,2.0,64.9,6.0,1.0,485.1,6.0,1.0,1011.0,6.0,1.0,93.0,6.0,1.0,555.4,5.0,1.0,1130.0
6.0,3.0,128.3,6.0,3.0,1955.0,6.0,2.0,2295.0,6.0,2.0,168.1,6.0,2.0,925.7,5.0,2.0,2295.0
6.0,4.0,53.6,6.0,4.0,742.7,6.0,4.0,1617.0,6.0,3.0,509.6,6.0,3.0,1570.0,5.0,3.0,2971.0
6.0,5.0,123.7,6.0,5.0,1590.0,6.0,5.0,1945.0,6.0,5.0,164.9,6.0,4.0,614.2,5.0,4.0,1154.0
