1,坂井 康嗣,坂井 康嗣.1,2,乙津 康志,乙津 康志.1,3,常住 蓮,常住 蓮.1,4,天野 友和,天野 友和.1,5,向井田　直弥,向井田　直弥.1,6,永田 義紘,永田 義紘.1
2.0,3.0,30.4,1.0,3.0,105.3,1.0,2.0,31.4,1.0,2.0,97.4,1.0,2.0,220.0,1.0,2.0,1058.0
2.0,4.0,52.3,1.0,4.0,145.9,1.0,4.0,11.0,1.0,3.0,40.7,1.0,3.0,99.1,1.0,3.0,991.0
2.0,5.0,99.5,1.0,5.0,254.6,1.0,5.0,18.6,1.0,5.0,56.6,1.0,4.0,119.1,1.0,4.0,904.6
2.0,6.0,175.4,1.0,6.0,442.0,1.0,6.0,57.6,1.0,6.0,101.4,1.0,6.0,201.0,1.0,5.0,1065.0
3.0,2.0,20.2,3.0,1.0,148.8,2.0,1.0,88.2,2.0,1.0,244.6,2.0,1.0,437.0,2.0,1.0,1620.0
3.0,4.0,8.9,3.0,4.0,197.7,2.0,4.0,75.2,2.0,3.0,223.5,2.0,3.0,445.8,2.0,3.0,1748.0
3.0,5.0,16.7,3.0,5.0,282.3,2.0,5.0,143.5,2.0,5.0,316.8,2.0,4.0,483.2,2.0,4.0,1467.0
3.0,6.0,50.6,3.0,6.0,465.8,2.0,6.0,261.4,2.0,6.0,393.9,2.0,6.0,536.5,2.0,5.0,1748.0
4.0,2.0,44.5,4.0,1.0,248.9,4.0,1.0,16.6,3.0,1.0,43.6,3.0,1.0,136.7,3.0,1.0,1030.0
4.0,3.0,17.2,4.0,3.0,265.5,4.0,2.0,60.3,3.0,2.0,135.0,3.0,2.0,278.8,3.0,2.0,1307.0
4.0,5.0,30.4,4.0,5.0,487.7,4.0,5.0,21.0,3.0,5.0,50.1,3.0,4.0,137.6,3.0,4.0,730.4
4.0,6.0,76.0,4.0,6.0,544.0,4.0,6.0,50.0,3.0,6.0,84.7,3.0,6.0,245.0,3.0,5.0,1088.0
5.0,2.0,115.9,5.0,1.0,547.8,5.0,1.0,52.1,5.0,1.0,56.8,4.0,1.0,128.5,4.0,1.0,991.0
5.0,3.0,45.9,5.0,3.0,508.4,5.0,2.0,124.6,5.0,2.0,156.2,4.0,2.0,308.7,4.0,2.0,1467.0
5.0,4.0,56.5,5.0,4.0,679.4,5.0,4.0,43.4,5.0,3.0,68.0,4.0,3.0,143.4,4.0,3.0,774.0
5.0,6.0,127.9,5.0,6.0,1206.0,5.0,6.0,105.0,5.0,6.0,78.7,4.0,6.0,158.9,4.0,5.0,642.9
6.0,2.0,410.5,6.0,1.0,1225.0,6.0,1.0,278.8,6.0,1.0,224.5,6.0,1.0,309.9,5.0,1.0,1285.0
6.0,3.0,252.5,6.0,3.0,966.4,6.0,2.0,401.0,6.0,2.0,433.4,6.0,2.0,474.3,5.0,2.0,1830.0
6.0,4.0,295.2,6.0,4.0,1178.0,6.0,4.0,203.3,6.0,3.0,239.3,6.0,3.0,345.7,5.0,3.0,1088.0
6.0,5.0,344.9,6.0,5.0,1540.0,6.0,5.0,231.1,6.0,5.0,156.2,6.0,4.0,290.2,5.0,4.0,762.7
