1,濱本 優一,濱本 優一.1,2,角浜 修,角浜 修.1,3,谷口 健一,谷口 健一.1,4,大場 広孝,大場 広孝.1,5,田村 慶,田村 慶.1,6,下寺 秀和,下寺 秀和.1
2.0,3.0,29.8,1.0,3.0,114.2,1.0,2.0,254.2,1.0,2.0,198.4,1.0,2.0,78.4,1.0,2.0,142.1
2.0,4.0,18.6,1.0,4.0,58.3,1.0,4.0,339.2,1.0,3.0,407.8,1.0,3.0,167.2,1.0,3.0,268.0
2.0,5.0,13.6,1.0,5.0,54.1,1.0,5.0,238.7,1.0,5.0,113.0,1.0,4.0,102.2,1.0,4.0,172.3
2.0,6.0,14.2,1.0,6.0,53.2,1.0,6.0,251.7,1.0,6.0,97.3,1.0,6.0,39.3,1.0,5.0,72.7
3.0,2.0,35.2,3.0,1.0,311.5,2.0,1.0,375.3,2.0,1.0,306.4,2.0,1.0,163.8,2.0,1.0,259.1
3.0,4.0,39.9,3.0,4.0,534.5,2.0,4.0,581.9,2.0,3.0,756.6,2.0,3.0,614.9,2.0,3.0,845.0
3.0,5.0,29.1,3.0,5.0,477.5,2.0,5.0,462.6,2.0,5.0,324.7,2.0,4.0,361.8,2.0,4.0,496.9
3.0,6.0,25.7,3.0,6.0,550.1,2.0,6.0,696.9,2.0,6.0,298.0,2.0,6.0,155.7,2.0,5.0,288.0
4.0,2.0,28.8,4.0,1.0,197.2,4.0,1.0,562.2,3.0,1.0,647.3,3.0,1.0,401.4,3.0,1.0,510.3
4.0,3.0,49.6,4.0,3.0,530.5,4.0,2.0,813.3,3.0,2.0,1142.0,3.0,2.0,860.5,3.0,2.0,1237.0
4.0,5.0,23.9,4.0,5.0,285.3,4.0,5.0,581.9,3.0,5.0,680.1,3.0,4.0,830.1,3.0,4.0,1201.0
4.0,6.0,18.9,4.0,6.0,254.5,4.0,6.0,656.3,3.0,6.0,693.4,3.0,6.0,512.2,3.0,5.0,740.8
5.0,2.0,18.6,5.0,1.0,143.0,5.0,1.0,447.2,5.0,1.0,127.8,4.0,1.0,158.1,4.0,1.0,267.5
5.0,3.0,43.2,5.0,3.0,471.9,5.0,2.0,742.7,5.0,2.0,259.6,4.0,2.0,291.5,4.0,2.0,529.5
5.0,4.0,24.6,5.0,4.0,284.2,5.0,4.0,806.4,5.0,3.0,558.9,4.0,3.0,668.8,4.0,3.0,947.1
5.0,6.0,11.0,5.0,6.0,156.8,5.0,6.0,523.6,5.0,6.0,99.4,4.0,6.0,125.7,4.0,5.0,282.2
6.0,2.0,26.0,6.0,1.0,160.0,6.0,1.0,483.2,6.0,1.0,135.3,6.0,1.0,52.4,5.0,1.0,85.6
6.0,3.0,52.3,6.0,3.0,653.3,6.0,2.0,1045.0,6.0,2.0,286.2,6.0,2.0,112.9,5.0,2.0,217.6
6.0,4.0,28.9,6.0,4.0,302.5,6.0,4.0,950.3,6.0,3.0,596.7,6.0,3.0,243.3,5.0,3.0,387.7
6.0,5.0,17.1,6.0,5.0,188.2,6.0,5.0,600.5,6.0,5.0,126.6,6.0,4.0,107.6,5.0,4.0,211.8
