1,溝口　海義也,溝口　海義也.1,2,森清 友翔,森清 友翔.1,3,丸山 祐也,丸山 祐也.1,4,藤森 拓海,藤森 拓海.1,5,齊藤 廉,齊藤 廉.1,6,藤井 公人,藤井 公人.1
2.0,3.0,6.3,1.0,3.0,168.8,1.0,2.0,135.9,1.0,2.0,330.8,1.0,2.0,176.6,1.0,2.0,347.7
2.0,4.0,9.1,1.0,4.0,203.6,1.0,4.0,160.5,1.0,3.0,421.9,1.0,3.0,143.7,1.0,3.0,273.0
2.0,5.0,16.6,1.0,5.0,288.3,1.0,5.0,149.9,1.0,5.0,406.6,1.0,4.0,294.2,1.0,4.0,609.6
2.0,6.0,12.8,1.0,6.0,271.3,1.0,6.0,141.0,1.0,6.0,369.9,1.0,6.0,126.9,1.0,5.0,337.9
3.0,2.0,7.7,3.0,1.0,417.8,2.0,1.0,308.5,2.0,1.0,607.4,2.0,1.0,445.7,2.0,1.0,703.2
3.0,4.0,11.8,3.0,4.0,1370.0,2.0,4.0,822.9,2.0,3.0,2084.0,2.0,3.0,1035.0,2.0,3.0,1649.0
3.0,5.0,13.2,3.0,5.0,1183.0,2.0,5.0,853.1,2.0,5.0,1673.0,2.0,4.0,1673.0,2.0,4.0,2637.0
3.0,6.0,10.5,3.0,6.0,1318.0,2.0,6.0,763.3,2.0,6.0,1681.0,2.0,6.0,1212.0,2.0,5.0,3223.0
4.0,2.0,21.3,4.0,1.0,517.9,4.0,1.0,488.8,3.0,1.0,771.8,3.0,1.0,315.5,3.0,1.0,742.2
4.0,3.0,26.7,4.0,3.0,1832.0,4.0,2.0,1148.0,3.0,2.0,2305.0,3.0,2.0,938.2,3.0,2.0,1902.0
4.0,5.0,33.0,4.0,5.0,1619.0,4.0,5.0,964.2,3.0,5.0,1462.0,3.0,4.0,1392.0,3.0,4.0,3107.0
4.0,6.0,34.7,4.0,6.0,2275.0,4.0,6.0,1126.0,3.0,6.0,2084.0,3.0,6.0,838.7,3.0,5.0,1933.0
5.0,2.0,32.5,5.0,1.0,870.2,5.0,1.0,388.0,5.0,1.0,753.4,4.0,1.0,687.9,4.0,1.0,1256.0
5.0,3.0,28.6,5.0,3.0,1822.0,5.0,2.0,948.4,5.0,2.0,1749.0,4.0,2.0,1619.0,4.0,2.0,3412.0
5.0,4.0,52.5,5.0,4.0,2320.0,5.0,4.0,1000.0,5.0,3.0,1714.0,4.0,3.0,1912.0,4.0,3.0,3446.0
5.0,6.0,39.8,5.0,6.0,1861.0,5.0,6.0,897.1,5.0,6.0,1230.0,4.0,6.0,1766.0,4.0,5.0,2784.0
6.0,2.0,29.3,6.0,1.0,725.1,6.0,1.0,548.1,6.0,1.0,863.7,6.0,1.0,268.7,5.0,1.0,678.5
6.0,3.0,21.5,6.0,3.0,1966.0,6.0,2.0,1137.0,6.0,2.0,1923.0,6.0,2.0,1313.0,5.0,2.0,2486.0
6.0,4.0,57.2,6.0,4.0,2637.0,6.0,4.0,1575.0,6.0,3.0,2351.0,6.0,3.0,948.4,5.0,3.0,1731.0
6.0,5.0,39.4,6.0,5.0,2417.0,6.0,5.0,1426.0,6.0,5.0,1506.0,6.0,4.0,1902.0,5.0,4.0,2740.0
