1,海野　康志郎,海野　康志郎.1,2,泥谷 一毅,泥谷 一毅.1,3,麻生 慎介,麻生 慎介.1,4,山川 雄大,山川 雄大.1,5,石田 勇斗,石田 勇斗.1,6,松本 博昭,松本 博昭.1
2.0,3.0,6.5,1.0,3.0,111.6,1.0,2.0,37.0,1.0,2.0,427.9,1.0,2.0,511.6,1.0,2.0,728.9
2.0,4.0,26.5,1.0,4.0,227.5,1.0,4.0,37.9,1.0,3.0,349.8,1.0,3.0,231.1,1.0,3.0,378.2
2.0,5.0,42.3,1.0,5.0,357.8,1.0,5.0,38.6,1.0,5.0,522.5,1.0,4.0,671.0,1.0,4.0,1134.0
2.0,6.0,28.9,1.0,6.0,252.6,1.0,6.0,33.2,1.0,6.0,351.2,1.0,6.0,325.8,1.0,5.0,785.8
3.0,2.0,4.0,3.0,1.0,191.9,2.0,1.0,137.5,2.0,1.0,1219.0,2.0,1.0,1490.0,2.0,1.0,1322.0
3.0,4.0,7.1,3.0,4.0,765.1,2.0,4.0,424.7,2.0,3.0,1586.0,2.0,3.0,2104.0,2.0,3.0,2117.0
3.0,5.0,10.4,3.0,5.0,1060.0,2.0,5.0,540.6,2.0,5.0,2648.0,2.0,4.0,3200.0,2.0,4.0,3218.0
3.0,6.0,7.6,3.0,6.0,766.2,2.0,6.0,439.0,2.0,6.0,2027.0,2.0,6.0,2227.0,2.0,5.0,3460.0
4.0,2.0,47.2,4.0,1.0,935.1,4.0,1.0,200.0,3.0,1.0,537.2,3.0,1.0,381.2,3.0,1.0,502.5
4.0,3.0,27.7,4.0,3.0,1436.0,4.0,2.0,529.7,3.0,2.0,1366.0,3.0,2.0,1389.0,3.0,2.0,1824.0
4.0,5.0,72.3,4.0,5.0,2913.0,4.0,5.0,483.9,3.0,5.0,1482.0,3.0,4.0,1584.0,3.0,4.0,2166.0
4.0,6.0,54.4,4.0,6.0,2162.0,4.0,6.0,380.3,3.0,6.0,1129.0,3.0,6.0,817.1,3.0,5.0,1692.0
5.0,2.0,78.2,5.0,1.0,1557.0,5.0,1.0,166.3,5.0,1.0,947.1,4.0,1.0,1529.0,4.0,1.0,1994.0
5.0,3.0,35.4,5.0,3.0,2381.0,5.0,2.0,512.3,5.0,2.0,1675.0,4.0,2.0,2846.0,4.0,2.0,3375.0
5.0,4.0,107.2,5.0,4.0,2700.0,5.0,4.0,558.0,5.0,3.0,1586.0,4.0,3.0,2097.0,4.0,3.0,2817.0
5.0,6.0,68.0,5.0,6.0,3008.0,5.0,6.0,353.9,5.0,6.0,1043.0,4.0,6.0,1557.0,4.0,5.0,3385.0
6.0,2.0,68.8,6.0,1.0,1072.0,6.0,1.0,174.0,6.0,1.0,907.5,6.0,1.0,631.2,5.0,1.0,1228.0
6.0,3.0,34.0,6.0,3.0,1902.0,6.0,2.0,543.5,6.0,2.0,1815.0,6.0,2.0,1780.0,5.0,2.0,3537.0
6.0,4.0,95.8,6.0,4.0,2921.0,6.0,4.0,538.0,6.0,3.0,1555.0,6.0,3.0,935.9,5.0,3.0,1854.0
6.0,5.0,98.2,6.0,5.0,3295.0,6.0,5.0,423.4,6.0,5.0,1284.0,6.0,4.0,1700.0,5.0,4.0,2992.0
