1,近藤 友宝,近藤 友宝.1,2,富永 正人,富永 正人.1,3,田頭 虎親,田頭 虎親.1,4,山本 兼士,山本 兼士.1,5,中辻 博訓,中辻 博訓.1,6,福田 雅一,福田 雅一.1
2.0,3.0,35.4,1.0,3.0,70.2,1.0,2.0,43.1,1.0,2.0,503.6,1.0,2.0,81.9,1.0,2.0,1028.0
2.0,4.0,107.0,1.0,4.0,154.2,1.0,4.0,58.2,1.0,3.0,381.5,1.0,3.0,40.3,1.0,3.0,563.8
2.0,5.0,48.6,1.0,5.0,72.5,1.0,5.0,14.6,1.0,5.0,324.4,1.0,4.0,138.8,1.0,4.0,1632.0
2.0,6.0,117.9,1.0,6.0,165.8,1.0,6.0,41.5,1.0,6.0,515.7,1.0,6.0,56.6,1.0,5.0,538.3
3.0,2.0,27.3,3.0,1.0,92.0,2.0,1.0,76.9,2.0,1.0,733.0,2.0,1.0,120.0,2.0,1.0,1378.0
3.0,4.0,44.7,3.0,4.0,153.3,2.0,4.0,112.0,2.0,3.0,505.1,2.0,3.0,92.6,2.0,3.0,1144.0
3.0,5.0,13.2,3.0,5.0,59.7,2.0,5.0,39.5,2.0,5.0,464.9,2.0,4.0,248.9,2.0,4.0,1924.0
3.0,6.0,42.9,3.0,6.0,140.6,2.0,6.0,93.7,2.0,6.0,621.8,2.0,6.0,121.2,2.0,5.0,814.4
4.0,2.0,163.5,4.0,1.0,333.1,4.0,1.0,110.6,3.0,1.0,355.5,3.0,1.0,38.8,3.0,1.0,545.1
4.0,3.0,110.7,4.0,3.0,342.1,4.0,2.0,134.4,3.0,2.0,475.2,3.0,2.0,57.0,3.0,2.0,909.0
4.0,5.0,113.9,4.0,5.0,270.0,4.0,5.0,43.4,3.0,5.0,157.3,3.0,4.0,75.4,3.0,4.0,957.0
4.0,6.0,205.1,4.0,6.0,446.2,4.0,6.0,91.6,3.0,6.0,288.5,3.0,6.0,31.4,3.0,5.0,216.6
5.0,2.0,48.8,5.0,1.0,111.2,5.0,1.0,17.3,5.0,1.0,243.8,4.0,1.0,223.4,4.0,1.0,1625.0
5.0,3.0,22.3,5.0,3.0,83.7,5.0,2.0,26.9,5.0,2.0,299.3,4.0,2.0,267.6,4.0,2.0,2014.0
5.0,4.0,88.8,5.0,4.0,196.1,5.0,4.0,28.8,5.0,3.0,169.3,4.0,3.0,140.9,4.0,3.0,1305.0
5.0,6.0,45.5,5.0,6.0,151.1,5.0,6.0,14.0,5.0,6.0,164.4,4.0,6.0,137.5,4.0,5.0,830.1
6.0,2.0,274.5,6.0,1.0,624.1,6.0,1.0,108.9,6.0,1.0,633.3,6.0,1.0,85.1,5.0,1.0,421.1
6.0,3.0,154.3,6.0,3.0,455.1,6.0,2.0,136.4,6.0,2.0,722.2,6.0,2.0,118.2,5.0,2.0,548.6
6.0,4.0,383.6,6.0,4.0,1007.0,6.0,4.0,144.2,6.0,3.0,536.6,6.0,3.0,52.8,5.0,3.0,201.2
6.0,5.0,139.0,6.0,5.0,376.5,6.0,5.0,43.5,6.0,5.0,324.7,6.0,4.0,131.9,5.0,4.0,639.1
