1,真庭 明志,真庭 明志.1,2,磯村 匠,磯村 匠.1,3,佐藤 大佑,佐藤 大佑.1,4,大場 広孝,大場 広孝.1,5,大澤 大夢,大澤 大夢.1,6,品川 賢次,品川 賢次.1
2.0,3.0,9.4,1.0,3.0,36.3,1.0,2.0,39.6,1.0,2.0,76.4,1.0,2.0,313.2,1.0,2.0,1662.0
2.0,4.0,11.2,1.0,4.0,33.4,1.0,4.0,28.0,1.0,3.0,66.3,1.0,3.0,180.2,1.0,3.0,1424.0
2.0,5.0,23.5,1.0,5.0,69.0,1.0,5.0,38.2,1.0,5.0,74.5,1.0,4.0,233.2,1.0,4.0,1709.0
2.0,6.0,126.3,1.0,6.0,178.0,1.0,6.0,131.0,1.0,6.0,200.7,1.0,6.0,536.6,1.0,5.0,2493.0
3.0,2.0,8.3,3.0,1.0,86.6,2.0,1.0,88.6,2.0,1.0,111.4,2.0,1.0,520.3,2.0,1.0,2063.0
3.0,4.0,6.7,3.0,4.0,147.5,2.0,4.0,138.1,2.0,3.0,254.6,2.0,3.0,972.9,2.0,3.0,2301.0
3.0,5.0,14.7,3.0,5.0,268.9,2.0,5.0,231.0,2.0,5.0,344.8,2.0,4.0,989.0,2.0,4.0,2301.0
3.0,6.0,87.2,3.0,6.0,782.1,2.0,6.0,539.0,2.0,6.0,725.2,2.0,6.0,1375.0,2.0,5.0,3068.0
4.0,2.0,16.0,4.0,1.0,94.9,4.0,1.0,50.1,3.0,1.0,95.5,3.0,1.0,269.5,3.0,1.0,1495.0
4.0,3.0,14.2,4.0,3.0,185.5,4.0,2.0,138.3,3.0,2.0,250.3,3.0,2.0,679.9,3.0,2.0,2257.0
4.0,5.0,23.5,4.0,5.0,288.3,4.0,5.0,80.5,3.0,5.0,148.6,3.0,4.0,418.4,3.0,4.0,2301.0
4.0,6.0,134.4,4.0,6.0,860.9,4.0,6.0,254.6,3.0,6.0,414.0,3.0,6.0,854.8,3.0,5.0,2918.0
5.0,2.0,57.6,5.0,1.0,306.8,5.0,1.0,108.7,5.0,1.0,136.6,4.0,1.0,298.4,4.0,1.0,2393.0
5.0,3.0,40.3,5.0,3.0,564.4,5.0,2.0,286.3,5.0,2.0,307.6,4.0,2.0,734.1,4.0,2.0,3419.0
5.0,4.0,47.0,5.0,4.0,561.8,5.0,4.0,151.1,5.0,3.0,218.7,4.0,3.0,446.5,4.0,3.0,2493.0
5.0,6.0,185.5,5.0,6.0,1441.0,5.0,6.0,427.4,5.0,6.0,377.5,4.0,6.0,797.8,4.0,5.0,2493.0
6.0,2.0,425.8,6.0,1.0,879.9,6.0,1.0,572.6,6.0,1.0,729.7,6.0,1.0,767.1,5.0,1.0,2301.0
6.0,3.0,296.2,6.0,3.0,1208.0,6.0,2.0,1087.0,6.0,2.0,957.3,6.0,2.0,1014.0,5.0,2.0,3324.0
6.0,4.0,443.2,6.0,4.0,1994.0,6.0,4.0,1031.0,6.0,3.0,965.1,6.0,3.0,949.7,5.0,3.0,3234.0
6.0,5.0,344.8,6.0,5.0,2137.0,6.0,5.0,913.5,6.0,5.0,867.2,6.0,4.0,1391.0,5.0,4.0,2601.0
