1,加藤 翔,加藤 翔.1,2,高橋 勲,高橋 勲.1,3,山田 竜一,山田 竜一.1,4,上田 隆章,上田 隆章.1,5,田頭 虎親,田頭 虎親.1,6,永田 啓二,永田 啓二.1
2.0,3.0,18.2,1.0,3.0,31.7,1.0,2.0,57.8,1.0,2.0,384.2,1.0,2.0,135.4,1.0,2.0,85.3
2.0,4.0,48.3,1.0,4.0,71.0,1.0,4.0,101.7,1.0,3.0,365.9,1.0,3.0,148.0,1.0,3.0,116.2
2.0,5.0,41.2,1.0,5.0,44.5,1.0,5.0,65.6,1.0,5.0,385.9,1.0,4.0,227.2,1.0,4.0,260.8
2.0,6.0,24.4,1.0,6.0,25.5,1.0,6.0,50.4,1.0,6.0,277.1,1.0,6.0,73.1,1.0,5.0,130.4
3.0,2.0,25.4,3.0,1.0,54.0,2.0,1.0,72.0,2.0,1.0,396.8,2.0,1.0,218.4,2.0,1.0,106.1
3.0,4.0,57.7,3.0,4.0,91.5,2.0,4.0,98.5,2.0,3.0,369.1,2.0,3.0,187.4,2.0,3.0,55.4
3.0,5.0,38.0,3.0,5.0,48.3,2.0,5.0,58.0,2.0,5.0,361.2,2.0,4.0,350.7,2.0,4.0,175.7
3.0,6.0,27.7,3.0,6.0,28.0,2.0,6.0,39.5,2.0,6.0,214.0,2.0,6.0,108.5,2.0,5.0,73.5
4.0,2.0,103.7,4.0,1.0,140.6,4.0,1.0,207.1,3.0,1.0,389.5,3.0,1.0,242.9,3.0,1.0,185.7
4.0,3.0,123.9,4.0,3.0,170.0,4.0,2.0,223.0,3.0,2.0,400.6,3.0,2.0,234.1,3.0,2.0,103.7
4.0,5.0,144.2,4.0,5.0,179.4,4.0,5.0,171.8,3.0,5.0,379.0,3.0,4.0,367.5,3.0,4.0,232.2
4.0,6.0,110.9,4.0,6.0,110.0,4.0,6.0,122.8,3.0,6.0,232.2,3.0,6.0,136.7,3.0,5.0,143.2
5.0,2.0,73.7,5.0,1.0,94.0,5.0,1.0,81.1,5.0,1.0,418.4,4.0,1.0,459.4,4.0,1.0,483.0
5.0,3.0,76.0,5.0,3.0,88.8,5.0,2.0,79.2,5.0,2.0,422.6,4.0,2.0,587.0,4.0,2.0,270.0
5.0,4.0,148.2,5.0,4.0,211.8,5.0,4.0,134.6,5.0,3.0,414.3,4.0,3.0,587.0,4.0,3.0,320.1
5.0,6.0,59.7,5.0,6.0,60.8,5.0,6.0,49.3,5.0,6.0,221.8,4.0,6.0,247.8,4.0,5.0,305.1
6.0,2.0,39.7,6.0,1.0,56.2,6.0,1.0,83.1,6.0,1.0,358.1,6.0,1.0,112.8,5.0,1.0,163.8
6.0,3.0,48.8,6.0,3.0,37.4,6.0,2.0,47.8,6.0,2.0,257.7,6.0,2.0,105.0,5.0,2.0,118.2
6.0,4.0,120.9,6.0,4.0,105.9,6.0,4.0,119.5,6.0,3.0,267.5,6.0,3.0,115.3,5.0,3.0,155.6
6.0,5.0,63.6,6.0,5.0,51.1,6.0,5.0,55.7,6.0,5.0,257.7,6.0,4.0,169.0,5.0,4.0,264.1
