1,浜本 裕己,浜本 裕己.1,2,魚谷 香織,魚谷 香織.1,3,尾嶋 一広,尾嶋 一広.1,4,石川 哲秀,石川 哲秀.1,5,鈴木 雅希,鈴木 雅希.1,6,中曽 瑠華,中曽 瑠華.1
2.0,3.0,7.4,1.0,3.0,12.4,1.0,2.0,31.9,1.0,2.0,111.4,1.0,2.0,84.0,1.0,2.0,3229.0
2.0,4.0,19.2,1.0,4.0,36.8,1.0,4.0,60.4,1.0,3.0,165.3,1.0,3.0,81.7,1.0,3.0,4404.0
2.0,5.0,12.7,1.0,5.0,26.9,1.0,5.0,37.6,1.0,5.0,120.3,1.0,4.0,152.9,1.0,4.0,5190.0
2.0,6.0,399.2,1.0,6.0,679.1,1.0,6.0,794.1,1.0,6.0,542.2,1.0,6.0,563.3,1.0,5.0,6920.0
3.0,2.0,11.9,3.0,1.0,22.4,2.0,1.0,32.1,2.0,1.0,123.4,2.0,1.0,116.1,2.0,1.0,5011.0
3.0,4.0,33.6,3.0,4.0,42.3,2.0,4.0,55.0,2.0,3.0,142.7,2.0,3.0,99.4,2.0,3.0,5382.0
3.0,5.0,16.9,3.0,5.0,26.2,2.0,5.0,39.6,2.0,5.0,103.4,2.0,4.0,175.5,2.0,4.0,4037.0
3.0,6.0,719.4,3.0,6.0,688.7,2.0,6.0,550.5,2.0,6.0,715.9,2.0,6.0,1002.0,2.0,5.0,4541.0
4.0,2.0,44.0,4.0,1.0,86.8,4.0,1.0,142.3,3.0,1.0,245.9,3.0,1.0,128.0,3.0,1.0,4688.0
4.0,3.0,62.5,4.0,3.0,70.7,4.0,2.0,123.4,3.0,2.0,184.6,3.0,2.0,144.8,3.0,2.0,5382.0
4.0,5.0,73.3,4.0,5.0,76.0,4.0,5.0,123.5,3.0,5.0,207.6,3.0,4.0,271.1,3.0,4.0,4688.0
4.0,6.0,723.0,4.0,6.0,825.7,4.0,6.0,1045.0,3.0,6.0,1453.0,3.0,6.0,1410.0,3.0,5.0,6055.0
5.0,2.0,28.0,5.0,1.0,67.0,5.0,1.0,66.5,5.0,1.0,114.6,4.0,1.0,175.5,4.0,1.0,5382.0
5.0,3.0,36.7,5.0,3.0,48.7,5.0,2.0,68.8,5.0,2.0,92.0,4.0,2.0,147.5,4.0,2.0,3544.0
5.0,4.0,76.8,5.0,4.0,103.2,5.0,4.0,148.7,5.0,3.0,155.7,4.0,3.0,213.0,4.0,3.0,3824.0
5.0,6.0,698.7,5.0,6.0,1002.0,5.0,6.0,956.1,5.0,6.0,429.9,4.0,6.0,615.8,4.0,5.0,7649.0
6.0,2.0,919.8,6.0,1.0,1597.0,6.0,1.0,1963.0,6.0,1.0,1060.0,6.0,1.0,1286.0,5.0,1.0,8074.0
6.0,3.0,1045.0,6.0,3.0,2344.0,6.0,2.0,2137.0,6.0,2.0,1092.0,6.0,2.0,1263.0,5.0,2.0,5011.0
6.0,4.0,1084.0,6.0,4.0,2018.0,6.0,4.0,4541.0,6.0,3.0,1191.0,6.0,3.0,1397.0,5.0,3.0,5382.0
6.0,5.0,1410.0,6.0,5.0,2202.0,6.0,5.0,2422.0,6.0,5.0,1211.0,6.0,4.0,1242.0,5.0,4.0,5382.0
