1,森 智哉,森 智哉.1,2,柳瀬 興志,柳瀬 興志.1,3,小川　竜太朗,小川　竜太朗.1,4,伊藤 啓三,伊藤 啓三.1,5,渥美 卓郎,渥美 卓郎.1,6,酒見 峻介,酒見 峻介.1
2.0,3.0,19.6,1.0,3.0,63.2,1.0,2.0,182.9,1.0,2.0,19.3,1.0,2.0,419.3,1.0,2.0,115.6
2.0,4.0,8.3,1.0,4.0,22.6,1.0,4.0,168.2,1.0,3.0,65.0,1.0,3.0,952.0,1.0,3.0,237.6
2.0,5.0,48.2,1.0,5.0,77.1,1.0,5.0,300.9,1.0,5.0,49.6,1.0,4.0,398.7,1.0,4.0,98.1
2.0,6.0,28.9,1.0,6.0,51.4,1.0,6.0,226.9,1.0,6.0,22.4,1.0,6.0,630.9,1.0,5.0,307.1
3.0,2.0,37.4,3.0,1.0,175.0,2.0,1.0,283.4,2.0,1.0,34.4,2.0,1.0,655.7,2.0,1.0,154.7
3.0,4.0,31.9,3.0,4.0,175.5,2.0,4.0,226.9,2.0,3.0,106.0,2.0,3.0,1298.0,2.0,3.0,330.7
3.0,5.0,97.6,3.0,5.0,409.0,2.0,5.0,523.5,2.0,5.0,77.4,2.0,4.0,447.3,2.0,4.0,126.7
3.0,6.0,72.1,3.0,6.0,298.5,2.0,6.0,374.1,2.0,6.0,39.8,2.0,6.0,852.0,2.0,5.0,378.9
4.0,2.0,9.1,4.0,1.0,35.8,4.0,1.0,206.2,3.0,1.0,172.8,3.0,1.0,1415.0,3.0,1.0,478.6
4.0,3.0,21.6,4.0,3.0,112.2,4.0,2.0,201.9,3.0,2.0,160.9,3.0,2.0,1672.0,3.0,2.0,594.5
4.0,5.0,36.9,4.0,5.0,89.8,4.0,5.0,329.0,3.0,5.0,316.6,3.0,4.0,1344.0,3.0,4.0,518.4
4.0,6.0,17.4,4.0,6.0,59.6,4.0,6.0,247.7,3.0,6.0,206.1,3.0,6.0,1857.0,3.0,5.0,979.9
5.0,2.0,129.5,5.0,1.0,263.3,5.0,1.0,696.7,5.0,1.0,83.9,4.0,1.0,359.1,4.0,1.0,111.8
5.0,3.0,195.9,5.0,3.0,602.5,5.0,2.0,1005.0,5.0,2.0,79.9,4.0,2.0,328.2,4.0,2.0,115.3
5.0,4.0,123.2,5.0,4.0,220.9,5.0,4.0,793.8,5.0,3.0,284.3,4.0,3.0,863.0,4.0,3.0,287.9
5.0,6.0,196.5,5.0,6.0,396.9,5.0,6.0,865.8,5.0,6.0,70.8,4.0,6.0,356.7,4.0,5.0,224.4
6.0,2.0,64.4,6.0,1.0,162.8,6.0,1.0,516.4,6.0,1.0,42.1,6.0,1.0,922.5,5.0,1.0,739.0
6.0,3.0,131.4,6.0,3.0,400.5,6.0,2.0,655.7,6.0,2.0,47.4,6.0,2.0,952.0,5.0,2.0,657.3
6.0,4.0,55.9,6.0,4.0,132.1,6.0,4.0,535.0,6.0,3.0,149.6,6.0,3.0,1651.0,5.0,3.0,1114.0
6.0,5.0,163.8,6.0,5.0,404.1,6.0,5.0,1065.0,6.0,5.0,80.6,6.0,4.0,597.1,5.0,4.0,467.7
