1,國崎 良春,國崎 良春.1,2,宇田川　信一,宇田川　信一.1,3,鈴木 智啓,鈴木 智啓.1,4,岩津 徹郎,岩津 徹郎.1,5,占部 一真,占部 一真.1,6,大神 康司,大神 康司.1
2.0,3.0,41.6,1.0,3.0,90.8,1.0,2.0,105.3,1.0,2.0,54.6,1.0,2.0,280.3,1.0,2.0,149.0
2.0,4.0,29.3,1.0,4.0,97.5,1.0,4.0,46.5,1.0,3.0,34.2,1.0,3.0,223.9,1.0,3.0,107.8
2.0,5.0,67.6,1.0,5.0,135.0,1.0,5.0,86.0,1.0,5.0,61.1,1.0,4.0,203.5,1.0,4.0,84.2
2.0,6.0,50.7,1.0,6.0,166.0,1.0,6.0,80.9,1.0,6.0,35.8,1.0,6.0,293.7,1.0,5.0,225.4
3.0,2.0,41.1,3.0,1.0,81.1,2.0,1.0,115.6,2.0,1.0,149.5,2.0,1.0,416.4,2.0,1.0,306.9
3.0,4.0,13.6,3.0,4.0,91.3,2.0,4.0,118.4,2.0,3.0,169.8,2.0,3.0,356.7,2.0,3.0,345.2
3.0,5.0,44.5,3.0,5.0,75.1,2.0,5.0,112.8,2.0,5.0,292.2,2.0,4.0,421.5,2.0,4.0,314.8
3.0,6.0,21.2,3.0,6.0,156.6,2.0,6.0,215.2,2.0,6.0,213.1,2.0,6.0,657.3,2.0,5.0,579.6
4.0,2.0,21.2,4.0,1.0,139.2,4.0,1.0,64.5,3.0,1.0,69.0,3.0,1.0,280.8,3.0,1.0,196.9
4.0,3.0,11.9,4.0,3.0,136.3,4.0,2.0,140.6,3.0,2.0,148.5,3.0,2.0,339.7,3.0,2.0,302.6
4.0,5.0,33.1,4.0,5.0,218.5,4.0,5.0,102.0,3.0,5.0,111.1,3.0,4.0,245.4,3.0,4.0,185.2
4.0,6.0,11.8,4.0,6.0,199.7,4.0,6.0,97.8,3.0,6.0,99.6,3.0,6.0,421.5,3.0,5.0,306.9
5.0,2.0,128.4,5.0,1.0,178.5,5.0,1.0,136.2,5.0,1.0,164.3,4.0,1.0,301.0,4.0,1.0,112.4
5.0,3.0,94.9,5.0,3.0,136.0,5.0,2.0,181.7,5.0,2.0,366.6,4.0,2.0,477.9,4.0,2.0,237.3
5.0,4.0,79.6,5.0,4.0,196.9,5.0,4.0,133.9,5.0,3.0,195.6,4.0,3.0,304.2,4.0,3.0,175.0
5.0,6.0,118.4,5.0,6.0,291.2,5.0,6.0,244.7,5.0,6.0,287.8,4.0,6.0,433.2,4.0,5.0,292.7
6.0,2.0,43.4,6.0,1.0,327.4,6.0,1.0,162.4,6.0,1.0,73.9,6.0,1.0,483.3,5.0,1.0,470.0
6.0,3.0,25.8,6.0,3.0,294.8,6.0,2.0,324.9,6.0,2.0,172.0,6.0,2.0,776.3,5.0,2.0,752.5
6.0,4.0,19.6,6.0,4.0,310.8,6.0,4.0,160.2,6.0,3.0,109.0,6.0,3.0,521.5,5.0,3.0,451.5
6.0,5.0,52.8,6.0,5.0,459.9,6.0,5.0,252.3,6.0,5.0,194.0,6.0,4.0,587.5,5.0,4.0,470.0
