1,久永 祥平,久永 祥平.1,2,品川　二千翔,品川　二千翔.1,3,原田　才一郎,原田　才一郎.1,4,三馬 崇史,三馬 崇史.1,5,坂本 雄紀,坂本 雄紀.1,6,西丸　侑太朗,西丸　侑太朗.1
2.0,3.0,12.8,1.0,3.0,39.4,1.0,2.0,17.0,1.0,2.0,422.2,1.0,2.0,304.2,1.0,2.0,244.8
2.0,4.0,40.6,1.0,4.0,119.1,1.0,4.0,31.4,1.0,3.0,310.1,1.0,3.0,177.4,1.0,3.0,185.2
2.0,5.0,35.6,1.0,5.0,99.4,1.0,5.0,16.1,1.0,5.0,471.2,1.0,4.0,505.6,1.0,4.0,514.3
2.0,6.0,44.5,1.0,6.0,95.1,1.0,6.0,24.8,1.0,6.0,448.5,1.0,6.0,426.9,1.0,5.0,489.1
3.0,2.0,8.0,3.0,1.0,52.3,2.0,1.0,35.3,2.0,1.0,598.0,2.0,1.0,463.1,2.0,1.0,331.7
3.0,4.0,17.0,3.0,4.0,129.1,2.0,4.0,94.5,2.0,3.0,525.3,2.0,3.0,375.0,2.0,3.0,310.7
3.0,5.0,9.9,3.0,5.0,90.6,2.0,5.0,54.1,2.0,5.0,801.2,2.0,4.0,842.5,2.0,4.0,686.2
3.0,6.0,15.6,3.0,6.0,82.4,2.0,6.0,56.7,2.0,6.0,791.8,2.0,6.0,677.6,2.0,5.0,682.7
4.0,2.0,70.2,4.0,1.0,356.2,4.0,1.0,83.0,3.0,1.0,337.1,3.0,1.0,206.5,3.0,1.0,206.7
4.0,3.0,55.7,4.0,3.0,304.2,4.0,2.0,123.9,3.0,2.0,427.9,3.0,2.0,294.6,3.0,2.0,246.1
4.0,5.0,109.1,4.0,5.0,488.2,4.0,5.0,104.3,3.0,5.0,480.0,3.0,4.0,564.9,3.0,4.0,465.9
4.0,6.0,95.8,4.0,6.0,484.7,4.0,6.0,94.7,3.0,6.0,450.0,3.0,6.0,338.8,3.0,5.0,442.6
5.0,2.0,60.4,5.0,1.0,255.9,5.0,1.0,40.5,5.0,1.0,697.7,4.0,1.0,916.8,4.0,1.0,1001.0
5.0,3.0,38.6,5.0,3.0,206.8,5.0,2.0,64.1,5.0,2.0,880.9,4.0,2.0,1005.0,4.0,2.0,1158.0
5.0,4.0,142.7,5.0,4.0,504.7,5.0,4.0,110.8,5.0,3.0,754.2,4.0,3.0,846.4,4.0,3.0,974.8
5.0,6.0,92.7,5.0,6.0,372.7,5.0,6.0,58.5,5.0,6.0,707.7,4.0,6.0,913.7,4.0,5.0,1343.0
6.0,2.0,90.9,6.0,1.0,279.5,6.0,1.0,66.6,6.0,1.0,782.6,6.0,1.0,670.8,5.0,1.0,960.9
6.0,3.0,61.6,6.0,3.0,224.4,6.0,2.0,82.2,6.0,2.0,932.7,6.0,2.0,823.2,5.0,2.0,1127.0
6.0,4.0,155.4,6.0,4.0,556.1,6.0,4.0,135.6,6.0,3.0,735.7,6.0,3.0,590.8,5.0,3.0,824.5
6.0,5.0,145.4,6.0,5.0,472.8,6.0,5.0,112.9,6.0,5.0,973.0,6.0,4.0,1054.0,5.0,4.0,1500.0
