1,宮地 秀祈,宮地 秀祈.1,2,大塚 浩二,大塚 浩二.1,3,木村 亮太,木村 亮太.1,4,村上 奈穂,村上 奈穂.1,5,西村 秀樹,西村 秀樹.1,6,渡辺 空依,渡辺 空依.1
2.0,3.0,11.3,1.0,3.0,42.4,1.0,2.0,24.0,1.0,2.0,242.7,1.0,2.0,367.1,1.0,2.0,81.3
2.0,4.0,37.6,1.0,4.0,115.2,1.0,4.0,51.7,1.0,3.0,217.5,1.0,3.0,319.1,1.0,3.0,50.6
2.0,5.0,54.1,1.0,5.0,177.3,1.0,5.0,55.8,1.0,5.0,278.8,1.0,4.0,535.6,1.0,4.0,107.4
2.0,6.0,23.5,1.0,6.0,66.2,1.0,6.0,21.1,1.0,6.0,215.7,1.0,6.0,401.3,1.0,5.0,121.9
3.0,2.0,8.7,3.0,1.0,66.3,2.0,1.0,50.3,2.0,1.0,312.0,2.0,1.0,551.8,2.0,1.0,141.2
3.0,4.0,19.7,3.0,4.0,153.3,2.0,4.0,95.4,2.0,3.0,319.8,2.0,3.0,528.9,2.0,3.0,137.6
3.0,5.0,26.3,3.0,5.0,208.7,2.0,5.0,146.3,2.0,5.0,492.4,2.0,4.0,887.9,2.0,4.0,200.4
3.0,6.0,10.1,3.0,6.0,105.9,2.0,6.0,66.8,2.0,6.0,419.1,2.0,6.0,706.0,2.0,5.0,325.2
4.0,2.0,91.2,4.0,1.0,285.8,4.0,1.0,110.8,3.0,1.0,263.2,3.0,1.0,437.9,3.0,1.0,62.4
4.0,3.0,65.2,4.0,3.0,263.7,4.0,2.0,135.5,3.0,2.0,330.3,3.0,2.0,547.6,3.0,2.0,103.6
4.0,5.0,159.6,4.0,5.0,542.6,4.0,5.0,227.6,3.0,5.0,443.2,3.0,4.0,632.8,3.0,4.0,120.2
4.0,6.0,93.5,4.0,6.0,359.0,4.0,6.0,126.9,3.0,6.0,327.3,3.0,6.0,510.4,3.0,5.0,165.8
5.0,2.0,134.7,5.0,1.0,518.6,5.0,1.0,178.5,5.0,1.0,276.9,4.0,1.0,490.8,4.0,1.0,213.1
5.0,3.0,92.0,5.0,3.0,402.4,5.0,2.0,239.5,5.0,2.0,345.9,4.0,2.0,601.6,4.0,2.0,320.2
5.0,4.0,208.1,5.0,4.0,818.4,5.0,4.0,346.7,5.0,3.0,361.3,4.0,3.0,579.0,4.0,3.0,212.9
5.0,6.0,106.2,5.0,6.0,589.5,5.0,6.0,191.0,5.0,6.0,308.7,4.0,6.0,533.7,4.0,5.0,306.1
6.0,2.0,28.9,6.0,1.0,135.2,6.0,1.0,36.5,6.0,1.0,316.4,6.0,1.0,544.6,5.0,1.0,271.3
6.0,3.0,19.3,6.0,3.0,143.0,6.0,2.0,60.1,6.0,2.0,457.1,6.0,2.0,773.1,5.0,2.0,413.8
6.0,4.0,59.2,6.0,4.0,280.1,6.0,4.0,83.7,6.0,3.0,342.3,6.0,3.0,582.5,5.0,3.0,302.7
6.0,5.0,57.3,6.0,5.0,393.8,6.0,5.0,101.1,6.0,5.0,430.9,6.0,4.0,648.2,5.0,4.0,383.0
