1,土屋 千明,土屋 千明.1,2,大橋　栄里佳,大橋　栄里佳.1,3,平川 香織,平川 香織.1,4,加藤 綾,加藤 綾.1,5,野田部　宏子,野田部　宏子.1,6,伊藤 玲奈,伊藤 玲奈.1
2.0,3.0,8.5,1.0,3.0,18.9,1.0,2.0,38.2,1.0,2.0,161.9,1.0,2.0,57.8,1.0,2.0,1074.0
2.0,4.0,14.6,1.0,4.0,29.2,1.0,4.0,55.6,1.0,3.0,210.3,1.0,3.0,75.5,1.0,3.0,1429.0
2.0,5.0,11.4,1.0,5.0,24.9,1.0,5.0,44.8,1.0,5.0,175.6,1.0,4.0,143.3,1.0,4.0,2111.0
2.0,6.0,48.4,1.0,6.0,62.9,1.0,6.0,108.8,1.0,6.0,353.7,1.0,6.0,105.8,1.0,5.0,1148.0
3.0,2.0,11.7,3.0,1.0,49.1,2.0,1.0,61.9,2.0,1.0,247.2,2.0,1.0,91.2,2.0,1.0,1330.0
3.0,4.0,17.4,3.0,4.0,122.7,2.0,4.0,132.7,2.0,3.0,441.2,2.0,3.0,170.1,2.0,3.0,2221.0
3.0,5.0,13.5,3.0,5.0,95.7,2.0,5.0,134.5,2.0,5.0,417.2,2.0,4.0,309.2,2.0,4.0,2458.0
3.0,6.0,57.8,3.0,6.0,202.6,2.0,6.0,219.6,2.0,6.0,581.7,2.0,6.0,213.9,2.0,5.0,1664.0
4.0,2.0,30.9,4.0,1.0,98.7,4.0,1.0,155.7,3.0,1.0,331.7,3.0,1.0,135.2,3.0,1.0,2074.0
4.0,3.0,36.9,4.0,3.0,187.2,4.0,2.0,212.9,3.0,2.0,521.8,3.0,2.0,213.9,3.0,2.0,2753.0
4.0,5.0,37.2,4.0,5.0,202.7,4.0,5.0,205.5,3.0,5.0,540.2,3.0,4.0,382.7,3.0,4.0,2531.0
4.0,6.0,104.3,4.0,6.0,346.3,4.0,6.0,370.8,3.0,6.0,826.3,3.0,6.0,361.4,3.0,5.0,2778.0
5.0,2.0,24.0,5.0,1.0,79.3,5.0,1.0,99.9,5.0,1.0,231.4,4.0,1.0,278.4,4.0,1.0,2542.0
5.0,3.0,26.7,5.0,3.0,149.4,5.0,2.0,171.3,5.0,2.0,376.9,4.0,2.0,411.1,4.0,2.0,2564.0
5.0,4.0,46.0,5.0,4.0,232.4,5.0,4.0,215.3,5.0,3.0,470.4,4.0,3.0,438.6,4.0,3.0,2564.0
5.0,6.0,64.6,5.0,6.0,279.4,5.0,6.0,333.7,5.0,6.0,421.0,4.0,6.0,440.9,4.0,5.0,2237.0
6.0,2.0,216.5,6.0,1.0,394.6,6.0,1.0,503.3,6.0,1.0,829.8,6.0,1.0,239.2,5.0,1.0,1178.0
6.0,3.0,252.9,6.0,3.0,669.8,6.0,2.0,684.3,6.0,2.0,1092.0,6.0,2.0,301.4,5.0,2.0,1429.0
6.0,4.0,323.4,6.0,4.0,786.1,6.0,4.0,833.2,6.0,3.0,1287.0,6.0,3.0,432.9,5.0,3.0,2254.0
6.0,5.0,233.8,6.0,5.0,624.3,6.0,5.0,872.2,6.0,5.0,886.4,6.0,4.0,549.1,5.0,4.0,1902.0
