1,和田 拓也,和田 拓也.1,2,中村 有裕,中村 有裕.1,3,小野寺　智洋,小野寺　智洋.1,4,原村 拓也,原村 拓也.1,5,木場　雄二郎,木場　雄二郎.1,6,梅原 祥平,梅原 祥平.1
2.0,3.0,4.1,1.0,3.0,38.8,1.0,2.0,42.0,1.0,2.0,197.9,1.0,2.0,512.1,1.0,2.0,357.0
2.0,4.0,9.9,1.0,4.0,97.4,1.0,4.0,64.1,1.0,3.0,243.9,1.0,3.0,473.5,1.0,3.0,409.7
2.0,5.0,16.1,1.0,5.0,139.1,1.0,5.0,77.8,1.0,5.0,325.9,1.0,4.0,764.9,1.0,4.0,820.3
2.0,6.0,27.1,1.0,6.0,210.1,1.0,6.0,126.0,1.0,6.0,370.6,1.0,6.0,950.3,1.0,5.0,1087.0
3.0,2.0,4.7,3.0,1.0,96.9,2.0,1.0,93.5,2.0,1.0,356.0,2.0,1.0,790.1,2.0,1.0,692.2
3.0,4.0,8.6,3.0,4.0,315.3,2.0,4.0,277.5,2.0,3.0,645.1,2.0,3.0,1515.0,2.0,3.0,1199.0
3.0,5.0,12.9,3.0,5.0,466.4,2.0,5.0,377.5,2.0,5.0,874.9,2.0,4.0,1742.0,2.0,4.0,1617.0
3.0,6.0,22.4,3.0,6.0,764.9,2.0,6.0,553.2,2.0,6.0,626.2,2.0,6.0,1664.0,2.0,5.0,2613.0
4.0,2.0,28.5,4.0,1.0,319.2,4.0,1.0,232.8,3.0,1.0,400.1,3.0,1.0,851.1,3.0,1.0,689.8
4.0,3.0,30.4,4.0,3.0,499.6,4.0,2.0,420.3,3.0,2.0,755.0,3.0,2.0,1698.0,3.0,2.0,1315.0
4.0,5.0,60.7,4.0,5.0,932.9,4.0,5.0,512.1,3.0,5.0,888.2,3.0,4.0,2112.0,3.0,4.0,1820.0
4.0,6.0,72.9,4.0,6.0,943.7,4.0,6.0,684.0,3.0,6.0,1064.0,3.0,6.0,2134.0,3.0,5.0,2329.0
5.0,2.0,54.1,5.0,1.0,550.2,5.0,1.0,361.4,5.0,1.0,532.2,4.0,1.0,1290.0,4.0,1.0,1430.0
5.0,3.0,49.1,5.0,3.0,908.0,5.0,2.0,559.2,5.0,2.0,717.8,4.0,2.0,2203.0,4.0,2.0,2252.0
5.0,4.0,105.6,5.0,4.0,1310.0,5.0,4.0,794.7,5.0,3.0,916.2,4.0,3.0,1969.0,4.0,3.0,2370.0
5.0,6.0,115.0,5.0,6.0,1586.0,5.0,6.0,840.6,5.0,6.0,739.9,4.0,6.0,1691.0,4.0,5.0,3020.0
6.0,2.0,72.4,6.0,1.0,837.1,6.0,1.0,471.8,6.0,1.0,720.3,6.0,1.0,1487.0,5.0,1.0,2145.0
6.0,3.0,68.8,6.0,3.0,1493.0,6.0,2.0,980.0,6.0,2.0,1113.0,6.0,2.0,2059.0,5.0,2.0,1914.0
6.0,4.0,139.4,6.0,4.0,1504.0,6.0,4.0,968.4,6.0,3.0,1258.0,6.0,3.0,1734.0,5.0,3.0,2548.0
6.0,5.0,156.0,6.0,5.0,2240.0,6.0,5.0,1132.0,6.0,5.0,1148.0,6.0,4.0,2157.0,5.0,4.0,2871.0
