1,石丸 海渡,石丸 海渡.1,2,中田 元泰,中田 元泰.1,3,米田 隆弘,米田 隆弘.1,4,佐藤 大騎,佐藤 大騎.1,5,金田 大輔,金田 大輔.1,6,中島 浩哉,中島 浩哉.1
2.0,3.0,3.5,1.0,3.0,9.8,1.0,2.0,54.7,1.0,2.0,351.3,1.0,2.0,180.5,1.0,2.0,836.1
2.0,4.0,10.3,1.0,4.0,30.9,1.0,4.0,176.0,1.0,3.0,473.1,1.0,3.0,325.0,1.0,3.0,1455.0
2.0,5.0,8.6,1.0,5.0,21.9,1.0,5.0,146.8,1.0,5.0,549.0,1.0,4.0,581.9,1.0,4.0,2180.0
2.0,6.0,19.3,1.0,6.0,40.6,1.0,6.0,219.5,1.0,6.0,611.6,1.0,6.0,372.6,1.0,5.0,1385.0
3.0,2.0,8.5,3.0,1.0,37.7,2.0,1.0,75.1,2.0,1.0,459.8,2.0,1.0,235.4,2.0,1.0,1082.0
3.0,4.0,31.0,3.0,4.0,123.3,2.0,4.0,229.4,2.0,3.0,589.5,2.0,3.0,407.5,2.0,3.0,1513.0
3.0,5.0,30.1,3.0,5.0,94.8,2.0,5.0,178.2,2.0,5.0,915.0,2.0,4.0,1021.0,2.0,4.0,2348.0
3.0,6.0,52.2,3.0,6.0,131.6,2.0,6.0,216.8,2.0,6.0,851.7,2.0,6.0,498.5,2.0,5.0,1822.0
4.0,2.0,44.1,4.0,1.0,192.1,4.0,1.0,395.9,3.0,1.0,858.1,3.0,1.0,666.2,3.0,1.0,2043.0
4.0,3.0,77.8,4.0,3.0,243.2,4.0,2.0,517.2,3.0,2.0,909.5,3.0,2.0,777.6,3.0,2.0,1883.0
4.0,5.0,121.9,4.0,5.0,425.8,4.0,5.0,740.9,3.0,5.0,1508.0,3.0,4.0,1713.0,3.0,4.0,2830.0
4.0,6.0,154.3,4.0,6.0,559.8,4.0,6.0,886.5,3.0,6.0,953.3,3.0,6.0,1276.0,3.0,5.0,2301.0
5.0,2.0,35.6,5.0,1.0,119.2,5.0,1.0,334.8,5.0,1.0,712.0,4.0,1.0,813.7,4.0,1.0,2560.0
5.0,3.0,65.6,5.0,3.0,185.8,5.0,2.0,387.8,5.0,2.0,1008.0,4.0,2.0,1272.0,4.0,2.0,2865.0
5.0,4.0,150.9,5.0,4.0,456.1,5.0,4.0,867.9,5.0,3.0,1393.0,4.0,3.0,1544.0,4.0,3.0,3674.0
5.0,6.0,104.2,5.0,6.0,252.3,5.0,6.0,640.0,5.0,6.0,839.2,4.0,6.0,1469.0,4.0,5.0,3400.0
6.0,2.0,123.0,6.0,1.0,309.5,6.0,1.0,773.6,6.0,1.0,1309.0,6.0,1.0,535.4,5.0,1.0,1419.0
6.0,3.0,193.4,6.0,3.0,370.4,6.0,2.0,758.2,6.0,2.0,1610.0,6.0,2.0,680.1,5.0,2.0,1739.0
6.0,4.0,416.1,6.0,4.0,891.7,6.0,4.0,1171.0,6.0,3.0,1883.0,6.0,3.0,884.8,5.0,3.0,2301.0
6.0,5.0,239.8,6.0,5.0,464.5,6.0,5.0,904.1,6.0,5.0,1681.0,6.0,4.0,1808.0,5.0,4.0,3278.0
