1,魚谷 香織,魚谷 香織.1,2,坂井 康嗣,坂井 康嗣.1,3,八木 治樹,八木 治樹.1,4,浜本 裕己,浜本 裕己.1,5,植竹 玲奈,植竹 玲奈.1,6,三川 昂暁,三川 昂暁.1
2.0,3.0,18.3,1.0,3.0,81.1,1.0,2.0,102.3,1.0,2.0,52.8,1.0,2.0,1550.0,1.0,2.0,82.9
2.0,4.0,15.7,1.0,4.0,68.2,1.0,4.0,46.0,1.0,3.0,53.1,1.0,3.0,1111.0,1.0,3.0,84.0
2.0,5.0,267.0,1.0,5.0,712.6,1.0,5.0,328.3,1.0,5.0,283.6,1.0,4.0,1196.0,1.0,4.0,56.2
2.0,6.0,16.3,1.0,6.0,70.0,1.0,6.0,55.2,1.0,6.0,31.4,1.0,6.0,1161.0,1.0,5.0,386.5
3.0,2.0,19.6,3.0,1.0,157.4,2.0,1.0,207.4,2.0,1.0,153.4,2.0,1.0,2743.0,2.0,1.0,170.7
3.0,4.0,11.2,3.0,4.0,141.1,2.0,4.0,226.2,2.0,3.0,304.5,2.0,3.0,3647.0,2.0,3.0,298.9
3.0,5.0,162.9,3.0,5.0,741.6,2.0,5.0,875.7,2.0,5.0,820.1,2.0,4.0,4026.0,2.0,4.0,246.0
3.0,6.0,14.2,3.0,6.0,270.2,2.0,6.0,284.9,2.0,6.0,155.7,2.0,6.0,3195.0,2.0,5.0,1319.0
4.0,2.0,15.9,4.0,1.0,146.9,4.0,1.0,68.7,3.0,1.0,93.8,3.0,1.0,1623.0,3.0,1.0,158.4
4.0,3.0,10.8,4.0,3.0,216.1,4.0,2.0,162.1,3.0,2.0,249.4,3.0,2.0,3483.0,3.0,2.0,351.4
4.0,5.0,155.3,4.0,5.0,1415.0,4.0,5.0,439.7,3.0,5.0,591.6,3.0,4.0,1648.0,3.0,4.0,192.5
4.0,6.0,9.0,4.0,6.0,202.2,4.0,6.0,68.2,3.0,6.0,89.6,3.0,6.0,2870.0,3.0,5.0,1068.0
5.0,2.0,564.6,5.0,1.0,1694.0,5.0,1.0,833.3,5.0,1.0,655.4,4.0,1.0,2152.0,4.0,1.0,76.4
5.0,3.0,417.2,5.0,3.0,1469.0,5.0,2.0,1409.0,5.0,2.0,1135.0,4.0,2.0,4246.0,4.0,2.0,177.0
5.0,4.0,532.6,5.0,4.0,2897.0,5.0,4.0,914.4,5.0,3.0,824.4,4.0,3.0,1751.0,4.0,3.0,143.5
5.0,6.0,464.0,5.0,6.0,2897.0,5.0,6.0,1201.0,5.0,6.0,464.0,4.0,6.0,2480.0,4.0,5.0,596.1
6.0,2.0,29.7,6.0,1.0,189.9,6.0,1.0,99.1,6.0,1.0,39.1,6.0,1.0,1512.0,5.0,1.0,901.1
6.0,3.0,23.4,6.0,3.0,383.1,6.0,2.0,237.7,6.0,2.0,87.6,6.0,2.0,2980.0,5.0,2.0,1781.0
6.0,4.0,18.2,6.0,4.0,273.3,6.0,4.0,101.9,6.0,3.0,73.0,6.0,3.0,2279.0,5.0,3.0,1286.0
6.0,5.0,225.7,6.0,5.0,1640.0,6.0,5.0,707.7,6.0,5.0,268.1,6.0,4.0,2039.0,5.0,4.0,1396.0
