1,前川 守嗣,前川 守嗣.1,2,谷村 啓司,谷村 啓司.1,3,出畑 孝典,出畑 孝典.1,4,松田 隆司,松田 隆司.1,5,西山 貴浩,西山 貴浩.1,6,松下 哲也,松下 哲也.1
2.0,3.0,69.0,1.0,3.0,292.4,1.0,2.0,85.4,1.0,2.0,407.4,1.0,2.0,122.8,1.0,2.0,1882.0
2.0,4.0,114.1,1.0,4.0,478.9,1.0,4.0,24.6,1.0,3.0,120.7,1.0,3.0,27.3,1.0,3.0,1190.0
2.0,5.0,61.7,1.0,5.0,255.9,1.0,5.0,11.2,1.0,5.0,81.4,1.0,4.0,72.5,1.0,4.0,2065.0
2.0,6.0,229.2,1.0,6.0,918.7,1.0,6.0,59.2,1.0,6.0,348.3,1.0,6.0,80.7,1.0,5.0,761.3
3.0,2.0,40.4,3.0,1.0,384.4,2.0,1.0,263.9,2.0,1.0,901.3,2.0,1.0,314.0,2.0,1.0,2514.0
3.0,4.0,17.0,3.0,4.0,567.0,2.0,4.0,308.2,2.0,3.0,765.8,2.0,3.0,304.2,2.0,3.0,3266.0
3.0,5.0,7.4,3.0,5.0,320.3,2.0,5.0,150.8,2.0,5.0,565.3,2.0,4.0,612.4,2.0,4.0,3710.0
3.0,6.0,50.2,3.0,6.0,1165.0,2.0,6.0,508.8,2.0,6.0,1261.0,2.0,6.0,567.0,2.0,5.0,2531.0
4.0,2.0,118.1,4.0,1.0,836.2,4.0,1.0,52.4,3.0,1.0,130.1,3.0,1.0,28.8,3.0,1.0,1067.0
4.0,3.0,33.8,4.0,3.0,811.4,4.0,2.0,219.2,3.0,2.0,488.1,3.0,2.0,159.5,3.0,2.0,3474.0
4.0,5.0,26.4,4.0,5.0,711.6,4.0,5.0,28.3,3.0,5.0,69.1,3.0,4.0,47.9,3.0,4.0,1158.0
4.0,6.0,138.4,4.0,6.0,1405.0,4.0,6.0,93.2,3.0,6.0,231.0,3.0,6.0,55.4,3.0,5.0,420.4
5.0,2.0,44.6,5.0,1.0,411.8,5.0,1.0,14.8,5.0,1.0,107.6,4.0,1.0,124.1,4.0,1.0,2183.0
5.0,3.0,11.1,5.0,3.0,379.9,5.0,2.0,87.7,5.0,2.0,353.8,4.0,2.0,410.5,4.0,2.0,3605.0
5.0,4.0,23.5,5.0,4.0,710.3,5.0,4.0,20.7,5.0,3.0,81.7,4.0,3.0,93.1,4.0,3.0,1355.0
5.0,6.0,42.3,5.0,6.0,841.8,5.0,6.0,30.7,5.0,6.0,166.9,4.0,6.0,167.6,4.0,5.0,955.4
6.0,2.0,599.9,6.0,1.0,1777.0,6.0,1.0,240.6,6.0,1.0,756.7,6.0,1.0,165.4,5.0,1.0,680.0
6.0,3.0,233.4,6.0,3.0,2147.0,6.0,2.0,665.8,6.0,2.0,1481.0,6.0,2.0,496.3,5.0,2.0,1949.0
6.0,4.0,384.1,6.0,4.0,1654.0,6.0,4.0,255.8,6.0,3.0,537.5,6.0,3.0,120.7,5.0,3.0,390.3
6.0,5.0,186.3,6.0,5.0,1737.0,6.0,5.0,114.0,6.0,5.0,430.3,6.0,4.0,247.3,5.0,4.0,830.8
