1,山口 隆史,山口 隆史.1,2,田中 京介,田中 京介.1,3,伊藤 誠二,伊藤 誠二.1,4,西丸　侑太朗,西丸　侑太朗.1,5,吉本 玲緒,吉本 玲緒.1,6,大上 卓人,大上 卓人.1
2.0,3.0,12.0,1.0,3.0,20.1,1.0,2.0,46.4,1.0,2.0,435.6,1.0,2.0,807.5,1.0,2.0,81.9
2.0,4.0,34.2,1.0,4.0,51.4,1.0,4.0,92.8,1.0,3.0,441.4,1.0,3.0,1056.0,1.0,3.0,77.2
2.0,5.0,74.0,1.0,5.0,102.1,1.0,5.0,152.1,1.0,5.0,1024.0,1.0,4.0,1628.0,1.0,4.0,264.1
2.0,6.0,11.0,1.0,6.0,17.7,1.0,6.0,34.7,1.0,6.0,315.3,1.0,6.0,838.2,1.0,5.0,398.1
3.0,2.0,18.1,3.0,1.0,29.7,2.0,1.0,44.0,2.0,1.0,499.1,2.0,1.0,804.3,2.0,1.0,86.7
3.0,4.0,43.4,3.0,4.0,56.8,2.0,4.0,81.0,2.0,3.0,470.7,2.0,3.0,860.0,2.0,3.0,64.0
3.0,5.0,77.3,3.0,5.0,74.9,2.0,5.0,126.3,2.0,5.0,937.1,2.0,4.0,1628.0,2.0,4.0,210.4
3.0,6.0,15.1,3.0,6.0,16.3,2.0,6.0,26.7,2.0,6.0,332.7,2.0,6.0,662.2,2.0,5.0,262.4
4.0,2.0,94.7,4.0,1.0,145.6,4.0,1.0,166.5,3.0,1.0,494.1,3.0,1.0,1116.0,3.0,1.0,84.3
4.0,3.0,109.9,4.0,3.0,132.3,4.0,2.0,184.8,3.0,2.0,582.5,3.0,2.0,1155.0,3.0,2.0,67.6
4.0,5.0,254.3,4.0,5.0,390.3,4.0,5.0,385.7,3.0,5.0,1122.0,3.0,4.0,1874.0,3.0,4.0,204.1
4.0,6.0,82.4,4.0,6.0,103.5,4.0,6.0,113.1,3.0,6.0,352.8,3.0,6.0,838.2,3.0,5.0,290.4
5.0,2.0,240.5,5.0,1.0,249.8,5.0,1.0,336.1,5.0,1.0,1342.0,4.0,1.0,1419.0,4.0,1.0,529.7
5.0,3.0,249.5,5.0,3.0,223.4,5.0,2.0,386.5,5.0,2.0,1429.0,4.0,2.0,2257.0,4.0,2.0,470.7
5.0,4.0,448.4,5.0,4.0,538.3,5.0,4.0,520.0,5.0,3.0,1265.0,4.0,3.0,2091.0,4.0,3.0,365.8
5.0,6.0,231.2,5.0,6.0,180.7,5.0,6.0,202.1,5.0,6.0,712.0,4.0,6.0,2183.0,4.0,5.0,890.8
6.0,2.0,24.8,6.0,1.0,40.0,6.0,1.0,40.4,6.0,1.0,401.3,6.0,1.0,875.1,5.0,1.0,875.1
6.0,3.0,25.7,6.0,3.0,27.6,6.0,2.0,33.3,6.0,2.0,435.6,6.0,2.0,767.0,5.0,2.0,725.0
6.0,4.0,77.7,6.0,4.0,85.9,6.0,4.0,81.2,6.0,3.0,369.2,6.0,3.0,749.6,5.0,3.0,664.4
6.0,5.0,172.4,6.0,5.0,131.3,6.0,5.0,134.5,6.0,5.0,871.3,6.0,4.0,1789.0,5.0,4.0,1073.0
