1,伊藤 玲奈,伊藤 玲奈.1,2,大石 真央,大石 真央.1,3,藤堂 里香,藤堂 里香.1,4,橋谷田　佳織,橋谷田　佳織.1,5,細川 裕子,細川 裕子.1,6,加藤 綾,加藤 綾.1
2.0,3.0,39.1,1.0,3.0,63.5,1.0,2.0,53.6,1.0,2.0,732.2,1.0,2.0,41.9,1.0,2.0,1269.0
2.0,4.0,89.9,1.0,4.0,183.5,1.0,4.0,62.6,1.0,3.0,351.9,1.0,3.0,18.6,1.0,3.0,966.9
2.0,5.0,30.3,1.0,5.0,42.3,1.0,5.0,16.2,1.0,5.0,377.8,1.0,4.0,64.6,1.0,4.0,2528.0
2.0,6.0,163.4,1.0,6.0,233.4,1.0,6.0,105.4,1.0,6.0,649.7,1.0,6.0,49.5,1.0,5.0,613.3
3.0,2.0,27.8,3.0,1.0,74.1,2.0,1.0,75.8,2.0,1.0,1005.0,2.0,1.0,58.8,2.0,1.0,1668.0
3.0,4.0,37.0,3.0,4.0,189.8,2.0,4.0,167.9,2.0,3.0,1077.0,2.0,3.0,60.7,2.0,3.0,1911.0
3.0,5.0,9.9,3.0,5.0,43.8,2.0,5.0,38.7,2.0,5.0,1027.0,2.0,4.0,197.0,2.0,4.0,3424.0
3.0,6.0,81.7,3.0,6.0,247.7,2.0,6.0,205.6,2.0,6.0,1956.0,2.0,6.0,113.5,2.0,5.0,1315.0
4.0,2.0,182.1,4.0,1.0,482.0,4.0,1.0,158.8,3.0,1.0,617.9,3.0,1.0,20.2,3.0,1.0,1274.0
4.0,3.0,107.8,4.0,3.0,448.5,4.0,2.0,268.5,3.0,2.0,826.0,3.0,2.0,44.3,3.0,2.0,1536.0
4.0,5.0,83.2,4.0,5.0,239.6,4.0,5.0,90.3,3.0,5.0,344.9,3.0,4.0,61.1,3.0,4.0,1515.0
4.0,6.0,329.0,4.0,6.0,874.3,4.0,6.0,298.3,3.0,6.0,1501.0,3.0,6.0,42.2,3.0,5.0,615.6
5.0,2.0,26.5,5.0,1.0,52.4,5.0,1.0,16.0,5.0,1.0,356.9,4.0,1.0,186.7,4.0,1.0,3960.0
5.0,3.0,11.9,5.0,3.0,49.4,5.0,2.0,28.4,5.0,2.0,771.7,4.0,2.0,380.0,4.0,2.0,4566.0
5.0,4.0,42.3,5.0,4.0,140.6,5.0,4.0,40.3,5.0,3.0,257.2,4.0,3.0,174.2,4.0,3.0,4383.0
5.0,6.0,50.5,5.0,6.0,168.8,5.0,6.0,37.6,5.0,6.0,532.8,4.0,6.0,271.9,4.0,5.0,3044.0
6.0,2.0,413.5,6.0,1.0,653.5,6.0,1.0,337.1,6.0,1.0,2004.0,6.0,1.0,83.8,5.0,1.0,514.4
6.0,3.0,356.5,6.0,3.0,740.4,6.0,2.0,479.9,6.0,2.0,2672.0,6.0,2.0,124.2,5.0,2.0,724.1
6.0,4.0,648.4,6.0,4.0,1369.0,6.0,4.0,634.6,6.0,3.0,2762.0,6.0,3.0,84.2,5.0,3.0,442.4
6.0,5.0,232.5,6.0,5.0,514.4,6.0,5.0,174.0,6.0,5.0,1889.0,6.0,4.0,202.3,5.0,4.0,1595.0
