1,竹下 大樹,竹下 大樹.1,2,中野 希一,中野 希一.1,3,飛田 江己,飛田 江己.1,4,上原　健次郎,上原　健次郎.1,5,水谷 理人,水谷 理人.1,6,中野 孝二,中野 孝二.1
2.0,3.0,7.6,1.0,3.0,47.5,1.0,2.0,56.1,1.0,2.0,89.5,1.0,2.0,64.6,1.0,2.0,1866.0
2.0,4.0,9.1,1.0,4.0,59.3,1.0,4.0,75.1,1.0,3.0,153.5,1.0,3.0,86.5,1.0,3.0,2305.0
2.0,5.0,8.7,1.0,5.0,57.5,1.0,5.0,56.7,1.0,5.0,75.3,1.0,4.0,81.0,1.0,4.0,2261.0
2.0,6.0,64.7,1.0,6.0,256.4,1.0,6.0,222.4,1.0,6.0,200.3,1.0,6.0,141.6,1.0,5.0,1742.0
3.0,2.0,11.6,3.0,1.0,133.4,2.0,1.0,128.4,2.0,1.0,205.8,2.0,1.0,169.3,2.0,1.0,2298.0
3.0,4.0,17.1,3.0,4.0,325.1,2.0,4.0,317.2,2.0,3.0,416.4,2.0,3.0,378.9,2.0,3.0,3897.0
3.0,5.0,13.8,3.0,5.0,278.8,2.0,5.0,255.7,2.0,5.0,275.3,2.0,4.0,336.2,2.0,4.0,4250.0
3.0,6.0,97.4,3.0,6.0,963.8,2.0,6.0,850.0,2.0,6.0,586.4,2.0,6.0,523.3,2.0,5.0,3266.0
4.0,2.0,17.8,4.0,1.0,198.4,4.0,1.0,207.8,3.0,1.0,324.9,3.0,1.0,216.1,3.0,1.0,3236.0
4.0,3.0,24.6,4.0,3.0,358.6,4.0,2.0,323.4,3.0,2.0,538.1,3.0,2.0,425.0,3.0,2.0,4409.0
4.0,5.0,19.4,4.0,5.0,334.2,4.0,5.0,257.0,3.0,5.0,436.0,3.0,4.0,546.4,3.0,4.0,4493.0
4.0,6.0,91.3,4.0,6.0,999.3,4.0,6.0,688.3,3.0,6.0,915.0,3.0,6.0,747.3,3.0,5.0,4551.0
5.0,2.0,15.1,5.0,1.0,185.6,5.0,1.0,147.5,5.0,1.0,85.1,4.0,1.0,137.4,4.0,1.0,2466.0
5.0,3.0,21.4,5.0,3.0,357.5,5.0,2.0,262.4,5.0,2.0,145.1,4.0,2.0,248.0,4.0,2.0,3834.0
5.0,4.0,26.8,5.0,4.0,373.2,5.0,4.0,304.7,5.0,3.0,221.9,4.0,3.0,399.7,4.0,3.0,4150.0
5.0,6.0,68.7,5.0,6.0,798.1,5.0,6.0,579.7,5.0,6.0,121.8,4.0,6.0,233.5,4.0,5.0,1237.0
6.0,2.0,324.0,6.0,1.0,1046.0,6.0,1.0,1075.0,6.0,1.0,532.4,6.0,1.0,426.0,5.0,1.0,1917.0
6.0,3.0,353.4,6.0,3.0,1881.0,6.0,2.0,1633.0,6.0,2.0,841.9,6.0,2.0,763.5,5.0,2.0,2856.0
6.0,4.0,340.0,6.0,4.0,1799.0,6.0,4.0,1507.0,6.0,3.0,997.9,6.0,3.0,890.8,5.0,3.0,3251.0
6.0,5.0,252.5,6.0,5.0,1759.0,6.0,5.0,1380.0,6.0,5.0,370.1,6.0,4.0,498.6,5.0,4.0,1193.0
