1,牧原 崇,牧原 崇.1,2,横川 聖志,横川 聖志.1,3,林 恵祐,林 恵祐.1,4,眞田 英二,眞田 英二.1,5,上之 晃弘,上之 晃弘.1,6,出畑 孝典,出畑 孝典.1
2.0,3.0,10.8,1.0,3.0,38.4,1.0,2.0,90.7,1.0,2.0,161.8,1.0,2.0,328.4,1.0,2.0,72.5
2.0,4.0,10.5,1.0,4.0,34.3,1.0,4.0,119.3,1.0,3.0,216.9,1.0,3.0,384.8,1.0,3.0,127.3
2.0,5.0,28.9,1.0,5.0,64.4,1.0,5.0,167.5,1.0,5.0,282.9,1.0,4.0,477.2,1.0,4.0,137.9
2.0,6.0,8.2,1.0,6.0,25.0,1.0,6.0,90.0,1.0,6.0,145.8,1.0,6.0,262.7,1.0,5.0,201.2
3.0,2.0,15.7,3.0,1.0,97.3,2.0,1.0,127.0,2.0,1.0,234.2,2.0,1.0,466.6,2.0,1.0,113.6
3.0,4.0,21.2,3.0,4.0,171.6,2.0,4.0,181.1,2.0,3.0,518.5,2.0,3.0,761.6,2.0,3.0,247.8
3.0,5.0,38.0,3.0,5.0,241.5,2.0,5.0,298.7,2.0,5.0,654.7,2.0,4.0,814.4,2.0,4.0,242.7
3.0,6.0,16.7,3.0,6.0,122.9,2.0,6.0,143.3,2.0,6.0,289.3,2.0,6.0,485.9,2.0,5.0,389.9
4.0,2.0,23.8,4.0,1.0,101.9,4.0,1.0,194.9,3.0,1.0,298.7,3.0,1.0,653.3,3.0,1.0,245.6
4.0,3.0,37.1,4.0,3.0,257.6,4.0,2.0,263.9,3.0,2.0,540.4,3.0,2.0,960.7,3.0,2.0,342.6
4.0,5.0,65.2,4.0,5.0,335.6,4.0,5.0,474.9,3.0,5.0,1126.0,3.0,4.0,1709.0,3.0,4.0,671.2
4.0,6.0,25.7,4.0,6.0,134.8,4.0,6.0,243.9,3.0,6.0,456.5,3.0,6.0,821.2,3.0,5.0,671.2
5.0,2.0,66.0,5.0,1.0,223.5,5.0,1.0,384.3,5.0,1.0,465.9,4.0,1.0,792.4,4.0,1.0,290.8
5.0,3.0,90.7,5.0,3.0,436.8,5.0,2.0,516.7,5.0,2.0,662.1,4.0,2.0,1024.0,4.0,2.0,363.4
5.0,4.0,113.7,5.0,4.0,542.4,5.0,4.0,718.8,5.0,3.0,896.3,4.0,3.0,1651.0,4.0,3.0,746.2
5.0,6.0,62.4,5.0,6.0,244.7,5.0,6.0,412.9,5.0,6.0,442.7,4.0,6.0,790.3,4.0,5.0,718.8
6.0,2.0,16.3,6.0,1.0,71.6,6.0,1.0,157.5,6.0,1.0,227.3,6.0,1.0,375.0,5.0,1.0,343.4
6.0,3.0,31.3,6.0,3.0,159.9,6.0,2.0,185.8,6.0,2.0,340.2,6.0,2.0,502.5,5.0,2.0,507.7
6.0,4.0,33.7,6.0,4.0,149.0,6.0,4.0,279.2,6.0,3.0,630.9,6.0,3.0,668.1,5.0,3.0,656.2
6.0,5.0,57.8,6.0,5.0,230.7,6.0,5.0,406.6,6.0,5.0,481.1,6.0,4.0,801.0,5.0,4.0,869.8
