1,繁野谷　圭介,繁野谷　圭介.1,2,大塚 雅治,大塚 雅治.1,3,金子 猛志,金子 猛志.1,4,大谷 直弘,大谷 直弘.1,5,鈴木 賢一,鈴木 賢一.1,6,大場 敏,大場 敏.1
2.0,3.0,18.8,1.0,3.0,163.6,1.0,2.0,129.3,1.0,2.0,93.8,1.0,2.0,179.3,1.0,2.0,159.0
2.0,4.0,14.9,1.0,4.0,125.1,1.0,4.0,67.3,1.0,3.0,101.2,1.0,3.0,166.4,1.0,3.0,197.7
2.0,5.0,39.1,1.0,5.0,192.6,1.0,5.0,103.4,1.0,5.0,81.7,1.0,4.0,126.0,1.0,4.0,96.9
2.0,6.0,19.8,1.0,6.0,148.8,1.0,6.0,84.6,1.0,6.0,52.8,1.0,6.0,107.6,1.0,5.0,198.0
3.0,2.0,17.6,3.0,1.0,368.7,2.0,1.0,286.1,2.0,1.0,219.9,2.0,1.0,478.5,2.0,1.0,383.0
3.0,4.0,12.0,3.0,4.0,387.4,2.0,4.0,270.3,2.0,3.0,492.5,2.0,3.0,765.5,2.0,3.0,778.1
3.0,5.0,28.5,3.0,5.0,501.4,2.0,5.0,415.0,2.0,5.0,404.0,2.0,4.0,553.1,2.0,4.0,446.0
3.0,6.0,16.0,3.0,6.0,500.9,2.0,6.0,337.8,2.0,6.0,242.1,2.0,6.0,425.9,2.0,5.0,746.2
4.0,2.0,17.3,4.0,1.0,257.6,4.0,1.0,90.1,3.0,1.0,155.0,3.0,1.0,363.0,3.0,1.0,436.9
4.0,3.0,15.7,4.0,3.0,474.7,4.0,2.0,210.3,3.0,2.0,374.5,3.0,2.0,692.5,3.0,2.0,939.0
4.0,5.0,26.6,4.0,5.0,420.2,4.0,5.0,130.9,3.0,5.0,214.9,3.0,4.0,448.1,3.0,4.0,468.6
4.0,6.0,13.2,4.0,6.0,320.0,4.0,6.0,96.3,3.0,6.0,144.2,3.0,6.0,378.7,3.0,5.0,750.9
5.0,2.0,60.0,5.0,1.0,444.7,5.0,1.0,211.2,5.0,1.0,117.5,4.0,1.0,193.6,4.0,1.0,155.0
5.0,3.0,52.5,5.0,3.0,730.0,5.0,2.0,441.4,5.0,2.0,254.0,4.0,2.0,398.9,4.0,2.0,386.2
5.0,4.0,49.7,5.0,4.0,544.1,5.0,4.0,246.1,5.0,3.0,289.4,4.0,3.0,419.4,4.0,3.0,388.4
5.0,6.0,44.3,5.0,6.0,516.7,5.0,6.0,242.7,5.0,6.0,94.3,4.0,6.0,151.1,4.0,5.0,263.1
6.0,2.0,34.6,6.0,1.0,459.9,6.0,1.0,212.7,6.0,1.0,83.7,6.0,1.0,163.8,5.0,1.0,333.5
6.0,3.0,32.5,6.0,3.0,886.2,6.0,2.0,469.5,6.0,2.0,193.7,6.0,2.0,305.1,5.0,2.0,583.1
6.0,4.0,24.3,6.0,4.0,462.6,6.0,4.0,235.4,6.0,3.0,206.2,6.0,3.0,350.4,5.0,3.0,564.3
6.0,5.0,55.9,6.0,5.0,623.1,6.0,5.0,342.0,6.0,5.0,111.1,6.0,4.0,177.5,5.0,4.0,304.7
