1,北野 輝季,北野 輝季.1,2,早川 尚人,早川 尚人.1,3,山田 丈,山田 丈.1,4,浦田 信義,浦田 信義.1,5,木山 和幸,木山 和幸.1,6,中野 希一,中野 希一.1
2.0,3.0,10.5,1.0,3.0,151.4,1.0,2.0,53.7,1.0,2.0,304.8,1.0,2.0,138.8,1.0,2.0,1801.0
2.0,4.0,19.9,1.0,4.0,223.3,1.0,4.0,36.5,1.0,3.0,217.2,1.0,3.0,68.7,1.0,3.0,1284.0
2.0,5.0,24.7,1.0,5.0,225.3,1.0,5.0,26.1,1.0,5.0,193.0,1.0,4.0,158.7,1.0,4.0,2636.0
2.0,6.0,109.9,1.0,6.0,555.8,1.0,6.0,118.9,1.0,6.0,605.5,1.0,6.0,249.6,1.0,5.0,1457.0
3.0,2.0,7.3,3.0,1.0,245.8,2.0,1.0,180.5,2.0,1.0,544.0,2.0,1.0,353.9,2.0,1.0,2438.0
3.0,4.0,6.3,3.0,4.0,491.7,2.0,4.0,321.8,2.0,3.0,914.5,2.0,3.0,459.0,2.0,3.0,2269.0
3.0,5.0,6.1,3.0,5.0,474.2,2.0,5.0,253.7,2.0,5.0,853.5,2.0,4.0,968.9,2.0,4.0,3585.0
3.0,6.0,37.5,3.0,6.0,734.6,2.0,6.0,545.6,2.0,6.0,1352.0,2.0,6.0,1076.0,2.0,5.0,3200.0
4.0,2.0,22.6,4.0,1.0,537.4,4.0,1.0,113.7,3.0,1.0,317.8,3.0,1.0,115.9,3.0,1.0,1411.0
4.0,3.0,14.8,4.0,3.0,824.1,4.0,2.0,261.1,3.0,2.0,803.8,3.0,2.0,358.1,3.0,2.0,2422.0
4.0,5.0,21.3,4.0,5.0,1109.0,4.0,5.0,131.0,3.0,5.0,382.2,3.0,4.0,358.5,3.0,4.0,2675.0
4.0,6.0,113.5,4.0,6.0,1451.0,4.0,6.0,437.7,3.0,6.0,1152.0,3.0,6.0,511.4,3.0,5.0,2146.0
5.0,2.0,27.2,5.0,1.0,543.1,5.0,1.0,66.2,5.0,1.0,275.7,4.0,1.0,357.7,4.0,1.0,3382.0
5.0,3.0,13.8,5.0,3.0,647.1,5.0,2.0,214.2,5.0,2.0,617.0,4.0,2.0,984.9,4.0,2.0,4073.0
5.0,4.0,28.3,5.0,4.0,1123.0,5.0,4.0,142.6,5.0,3.0,425.7,4.0,3.0,528.7,4.0,3.0,3734.0
5.0,6.0,76.7,5.0,6.0,1463.0,5.0,6.0,270.1,5.0,6.0,750.0,4.0,6.0,1171.0,4.0,5.0,4168.0
6.0,2.0,368.0,6.0,1.0,1191.0,6.0,1.0,526.4,6.0,1.0,1614.0,6.0,1.0,676.4,5.0,1.0,1731.0
6.0,3.0,203.0,6.0,3.0,1715.0,6.0,2.0,1048.0,6.0,2.0,2014.0,6.0,2.0,968.9,5.0,2.0,3896.0
6.0,4.0,436.1,6.0,4.0,2358.0,6.0,4.0,1138.0,6.0,3.0,2096.0,6.0,3.0,851.5,5.0,3.0,2616.0
6.0,5.0,286.1,6.0,5.0,1411.0,6.0,5.0,651.8,6.0,5.0,1565.0,6.0,4.0,1357.0,5.0,4.0,3695.0
