1,平野 和明,平野 和明.1,2,山口 隆史,山口 隆史.1,3,大上 卓人,大上 卓人.1,4,小林 基樹,小林 基樹.1,5,高山 敬悟,高山 敬悟.1,6,山本　稔太朗,山本　稔太朗.1
2.0,3.0,9.8,1.0,3.0,70.1,1.0,2.0,19.7,1.0,2.0,417.8,1.0,2.0,501.7,1.0,2.0,189.6
2.0,4.0,33.1,1.0,4.0,196.6,1.0,4.0,22.0,1.0,3.0,229.7,1.0,3.0,247.6,1.0,3.0,104.8
2.0,5.0,55.3,1.0,5.0,267.0,1.0,5.0,28.6,1.0,5.0,516.9,1.0,4.0,716.0,1.0,4.0,353.3
2.0,6.0,34.0,1.0,6.0,162.7,1.0,6.0,16.8,1.0,6.0,345.0,1.0,6.0,341.7,1.0,5.0,417.4
3.0,2.0,6.0,3.0,1.0,106.3,2.0,1.0,64.9,2.0,1.0,682.9,2.0,1.0,881.4,2.0,1.0,333.2
3.0,4.0,8.8,3.0,4.0,375.0,2.0,4.0,182.8,2.0,3.0,962.8,2.0,3.0,954.2,2.0,3.0,385.4
3.0,5.0,13.4,3.0,5.0,401.0,2.0,5.0,213.8,2.0,5.0,1415.0,2.0,4.0,1803.0,2.0,4.0,892.4
3.0,6.0,7.3,3.0,6.0,267.0,2.0,6.0,113.6,2.0,6.0,1231.0,2.0,6.0,1122.0,2.0,5.0,1104.0
4.0,2.0,69.0,4.0,1.0,538.4,4.0,1.0,81.3,3.0,1.0,284.6,3.0,1.0,349.8,3.0,1.0,126.2
4.0,3.0,38.7,4.0,3.0,723.3,4.0,2.0,180.6,3.0,2.0,686.1,3.0,2.0,814.2,3.0,2.0,288.0
4.0,5.0,131.4,4.0,5.0,1374.0,4.0,5.0,188.0,3.0,5.0,720.9,3.0,4.0,1116.0,3.0,4.0,470.8
4.0,6.0,78.5,4.0,6.0,867.1,4.0,6.0,106.7,3.0,6.0,485.2,3.0,6.0,516.9,3.0,5.0,561.0
5.0,2.0,106.5,5.0,1.0,782.9,5.0,1.0,115.1,5.0,1.0,684.0,4.0,1.0,1013.0,4.0,1.0,947.8
5.0,3.0,51.9,5.0,3.0,950.0,5.0,2.0,277.7,5.0,2.0,1387.0,4.0,2.0,1811.0,4.0,2.0,1500.0
5.0,4.0,195.0,5.0,4.0,1637.0,5.0,4.0,271.0,5.0,3.0,956.3,4.0,3.0,1505.0,4.0,3.0,980.5
5.0,6.0,110.7,5.0,6.0,1242.0,5.0,6.0,147.6,5.0,6.0,941.6,4.0,6.0,1439.0,4.0,5.0,1866.0
6.0,2.0,55.1,6.0,1.0,466.1,6.0,1.0,55.2,6.0,1.0,557.3,6.0,1.0,532.3,5.0,1.0,794.6
6.0,3.0,29.1,6.0,3.0,546.6,6.0,2.0,121.9,6.0,2.0,967.1,6.0,2.0,1020.0,5.0,2.0,1449.0
6.0,4.0,110.6,6.0,4.0,1231.0,6.0,4.0,144.4,6.0,3.0,693.9,6.0,3.0,579.2,5.0,3.0,872.4
6.0,5.0,126.0,6.0,5.0,1319.0,6.0,5.0,173.7,6.0,5.0,1116.0,6.0,4.0,1406.0,5.0,4.0,1826.0
