1,松尾 宣邦,松尾 宣邦.1,2,大庭 元明,大庭 元明.1,3,竹井 貴史,竹井 貴史.1,4,米丸 乃絵,米丸 乃絵.1,5,富永 修一,富永 修一.1,6,関 裕也,関 裕也.1
2.0,3.0,33.9,1.0,3.0,39.6,1.0,2.0,23.8,1.0,2.0,159.3,1.0,2.0,272.9,1.0,2.0,1007.0
2.0,4.0,62.9,1.0,4.0,67.4,1.0,4.0,21.5,1.0,3.0,118.0,1.0,3.0,144.6,1.0,3.0,888.8
2.0,5.0,67.6,1.0,5.0,85.8,1.0,5.0,18.7,1.0,5.0,147.8,1.0,4.0,310.6,1.0,4.0,1015.0
2.0,6.0,153.2,1.0,6.0,215.1,1.0,6.0,74.4,1.0,6.0,332.4,1.0,6.0,338.6,1.0,5.0,1454.0
3.0,2.0,24.2,3.0,1.0,43.0,2.0,1.0,38.1,2.0,1.0,271.7,2.0,1.0,317.6,2.0,1.0,1066.0
3.0,4.0,28.4,3.0,4.0,35.6,2.0,4.0,19.1,2.0,3.0,105.3,2.0,3.0,142.2,2.0,3.0,799.9
3.0,5.0,26.4,3.0,5.0,34.3,2.0,5.0,19.9,2.0,5.0,147.6,2.0,4.0,299.0,2.0,4.0,948.1
3.0,6.0,94.1,3.0,6.0,114.5,2.0,6.0,69.4,2.0,6.0,304.7,2.0,6.0,316.8,2.0,5.0,1066.0
4.0,2.0,93.1,4.0,1.0,132.3,4.0,1.0,34.2,3.0,1.0,94.2,3.0,1.0,134.8,3.0,1.0,1023.0
4.0,3.0,65.8,4.0,3.0,65.8,4.0,2.0,22.7,3.0,2.0,66.2,3.0,2.0,117.0,3.0,2.0,815.2
4.0,5.0,130.3,4.0,5.0,102.6,4.0,5.0,15.7,3.0,5.0,54.5,3.0,4.0,126.6,3.0,4.0,707.1
4.0,6.0,288.2,4.0,6.0,241.9,4.0,6.0,50.5,3.0,6.0,139.5,3.0,6.0,211.2,3.0,5.0,815.2
5.0,2.0,145.6,5.0,1.0,192.7,5.0,1.0,36.2,5.0,1.0,210.5,4.0,1.0,423.8,4.0,1.0,1855.0
5.0,3.0,68.4,5.0,3.0,79.1,5.0,2.0,26.6,5.0,2.0,163.6,4.0,2.0,368.8,4.0,2.0,1361.0
5.0,4.0,161.4,5.0,4.0,141.2,5.0,4.0,24.3,5.0,3.0,84.1,4.0,3.0,174.6,4.0,3.0,955.2
5.0,6.0,305.4,5.0,6.0,234.0,5.0,6.0,51.0,5.0,6.0,224.9,4.0,6.0,457.1,4.0,5.0,1406.0
6.0,2.0,457.1,6.0,1.0,561.3,6.0,1.0,180.7,6.0,1.0,761.8,6.0,1.0,522.4,5.0,1.0,1706.0
6.0,3.0,419.6,6.0,3.0,284.4,6.0,2.0,148.1,6.0,2.0,581.8,6.0,2.0,414.2,5.0,2.0,1185.0
6.0,4.0,540.0,6.0,4.0,407.6,6.0,4.0,141.2,6.0,3.0,414.2,6.0,3.0,393.8,5.0,3.0,901.3
6.0,5.0,603.7,6.0,5.0,316.0,6.0,5.0,130.4,6.0,5.0,462.0,6.0,4.0,589.8,5.0,4.0,1292.0
