1,山口 修路,山口 修路.1,2,上村 純一,上村 純一.1,3,北山 康介,北山 康介.1,4,野末 智一,野末 智一.1,5,深山 祐二,深山 祐二.1,6,藤丸 光一,藤丸 光一.1
2.0,3.0,20.1,1.0,3.0,16.8,1.0,2.0,39.6,1.0,2.0,353.5,1.0,2.0,1095.0,1.0,2.0,63.2
2.0,4.0,47.3,1.0,4.0,41.2,1.0,4.0,70.9,1.0,3.0,347.2,1.0,3.0,1382.0,1.0,3.0,72.7
2.0,5.0,141.1,1.0,5.0,113.1,1.0,5.0,213.2,1.0,5.0,817.5,1.0,4.0,1410.0,1.0,4.0,158.0
2.0,6.0,30.2,1.0,6.0,32.3,1.0,6.0,77.3,1.0,6.0,471.9,1.0,6.0,1520.0,1.0,5.0,393.0
3.0,2.0,28.5,3.0,1.0,15.1,2.0,1.0,25.9,2.0,1.0,318.6,2.0,1.0,1160.0,2.0,1.0,74.0
3.0,4.0,60.5,3.0,4.0,11.3,2.0,4.0,20.4,2.0,3.0,142.2,2.0,3.0,765.4,2.0,3.0,55.6
3.0,5.0,204.6,3.0,5.0,36.1,2.0,5.0,58.2,2.0,5.0,514.4,2.0,4.0,1299.0,2.0,4.0,101.5
3.0,6.0,54.7,3.0,6.0,14.8,2.0,6.0,26.0,2.0,6.0,222.6,2.0,6.0,1030.0,2.0,5.0,273.1
4.0,2.0,130.0,4.0,1.0,73.1,4.0,1.0,88.4,3.0,1.0,283.6,3.0,1.0,1501.0,3.0,1.0,101.6
4.0,3.0,134.3,4.0,3.0,33.1,4.0,2.0,43.6,3.0,2.0,131.6,3.0,2.0,813.7,3.0,2.0,68.2
4.0,5.0,423.1,4.0,5.0,105.3,4.0,5.0,115.1,3.0,5.0,389.5,3.0,4.0,1164.0,3.0,4.0,131.8
4.0,6.0,192.2,4.0,6.0,69.8,4.0,6.0,84.1,3.0,6.0,249.3,3.0,6.0,1514.0,3.0,5.0,404.0
5.0,2.0,449.3,5.0,1.0,302.5,5.0,1.0,338.7,5.0,1.0,1003.0,4.0,1.0,1590.0,4.0,1.0,418.1
5.0,3.0,556.3,5.0,3.0,157.2,5.0,2.0,203.0,5.0,2.0,870.6,4.0,2.0,1463.0,4.0,2.0,238.2
5.0,4.0,676.2,5.0,4.0,278.6,5.0,4.0,240.6,5.0,3.0,849.4,4.0,3.0,1324.0,4.0,3.0,286.8
5.0,6.0,534.1,5.0,6.0,311.7,5.0,6.0,328.8,5.0,6.0,1071.0,4.0,6.0,1457.0,4.0,5.0,827.2
6.0,2.0,38.2,6.0,1.0,46.7,6.0,1.0,81.5,6.0,1.0,612.0,6.0,1.0,1583.0,5.0,1.0,997.9
6.0,3.0,53.8,6.0,3.0,27.5,6.0,2.0,47.8,6.0,2.0,306.0,6.0,2.0,1334.0,5.0,2.0,819.4
6.0,4.0,100.3,6.0,4.0,61.1,6.0,4.0,99.4,6.0,3.0,408.7,6.0,3.0,1658.0,5.0,3.0,904.6
6.0,5.0,198.5,6.0,5.0,173.1,6.0,5.0,272.3,6.0,5.0,1000.0,6.0,4.0,1804.0,5.0,4.0,1098.0
