1,下河 誉史,下河 誉史.1,2,渡邉 睦広,渡邉 睦広.1,3,宮下 元胤,宮下 元胤.1,4,亀山 雅幸,亀山 雅幸.1,5,大田 直弥,大田 直弥.1,6,岡村 将也,岡村 将也.1
2.0,3.0,8.6,1.0,3.0,39.7,1.0,2.0,51.5,1.0,2.0,60.6,1.0,2.0,461.6,1.0,2.0,589.9
2.0,4.0,8.3,1.0,4.0,38.0,1.0,4.0,38.1,1.0,3.0,62.9,1.0,3.0,457.2,1.0,3.0,787.8
2.0,5.0,34.3,1.0,5.0,114.1,1.0,5.0,88.6,1.0,5.0,94.8,1.0,4.0,630.8,1.0,4.0,986.2
2.0,6.0,33.4,1.0,6.0,103.5,1.0,6.0,79.5,1.0,6.0,115.5,1.0,6.0,794.9,1.0,5.0,2073.0
3.0,2.0,9.6,3.0,1.0,99.3,2.0,1.0,96.9,2.0,1.0,122.7,2.0,1.0,914.5,2.0,1.0,731.1
3.0,4.0,8.9,3.0,4.0,95.8,2.0,4.0,84.6,2.0,3.0,159.9,2.0,3.0,1179.0,2.0,3.0,1417.0
3.0,5.0,28.1,3.0,5.0,337.1,2.0,5.0,285.9,2.0,5.0,235.7,2.0,4.0,1383.0,2.0,4.0,1028.0
3.0,6.0,24.3,3.0,6.0,248.5,2.0,6.0,202.6,2.0,6.0,220.3,2.0,6.0,1727.0,2.0,5.0,2969.0
4.0,2.0,12.1,4.0,1.0,108.0,4.0,1.0,78.4,3.0,1.0,120.2,3.0,1.0,862.3,3.0,1.0,961.1
4.0,3.0,13.1,4.0,3.0,132.4,4.0,2.0,94.5,3.0,2.0,159.6,3.0,2.0,1321.0,3.0,2.0,1358.0
4.0,5.0,31.1,4.0,5.0,327.3,4.0,5.0,178.8,3.0,5.0,236.2,3.0,4.0,1383.0,3.0,4.0,1014.0
4.0,6.0,32.2,4.0,6.0,254.8,4.0,6.0,134.2,3.0,6.0,212.8,3.0,6.0,1861.0,3.0,5.0,3038.0
5.0,2.0,83.4,5.0,1.0,533.9,5.0,1.0,333.9,5.0,1.0,171.6,4.0,1.0,655.0,4.0,1.0,1261.0
5.0,3.0,87.7,5.0,3.0,702.0,5.0,2.0,466.9,5.0,2.0,252.2,4.0,2.0,779.6,4.0,2.0,1255.0
5.0,4.0,112.9,5.0,4.0,756.2,5.0,4.0,402.9,5.0,3.0,305.0,4.0,3.0,962.9,4.0,3.0,1087.0
5.0,6.0,158.7,5.0,6.0,978.9,5.0,6.0,542.1,5.0,6.0,200.9,4.0,6.0,672.5,4.0,5.0,1822.0
6.0,2.0,115.4,6.0,1.0,461.6,6.0,1.0,309.5,6.0,1.0,250.4,6.0,1.0,1822.0,5.0,1.0,2826.0
6.0,3.0,91.2,6.0,3.0,747.7,6.0,2.0,415.2,6.0,2.0,293.5,6.0,2.0,2349.0,5.0,2.0,3620.0
6.0,4.0,137.1,6.0,4.0,620.4,6.0,4.0,252.4,6.0,3.0,355.2,6.0,3.0,2381.0,5.0,3.0,4195.0
6.0,5.0,224.7,6.0,5.0,1255.0,6.0,5.0,725.1,6.0,5.0,330.6,6.0,4.0,1606.0,5.0,4.0,2123.0
