1,麻生 慎介,麻生 慎介.1,2,外崎 悟,外崎 悟.1,3,渡邉 英児,渡邉 英児.1,4,嶋田 貴支,嶋田 貴支.1,5,常住 蓮,常住 蓮.1,6,田中 宏樹,田中 宏樹.1
2.0,3.0,6.3,1.0,3.0,44.1,1.0,2.0,79.2,1.0,2.0,513.6,1.0,2.0,46.5,1.0,2.0,222.1
2.0,4.0,21.9,1.0,4.0,107.2,1.0,4.0,227.3,1.0,3.0,740.2,1.0,3.0,61.8,1.0,3.0,374.2
2.0,5.0,6.6,1.0,5.0,42.9,1.0,5.0,82.7,1.0,5.0,441.1,1.0,4.0,169.1,1.0,4.0,592.7
2.0,6.0,23.4,1.0,6.0,92.8,1.0,6.0,233.6,1.0,6.0,685.4,1.0,6.0,55.4,1.0,5.0,193.4
3.0,2.0,10.5,3.0,1.0,119.8,2.0,1.0,135.8,2.0,1.0,757.0,2.0,1.0,100.0,2.0,1.0,318.7
3.0,4.0,32.4,3.0,4.0,574.7,2.0,4.0,622.8,2.0,3.0,1602.0,2.0,3.0,213.7,2.0,3.0,686.3
3.0,5.0,12.1,3.0,5.0,249.5,2.0,5.0,348.0,2.0,5.0,1089.0,2.0,4.0,535.5,2.0,4.0,970.0
3.0,6.0,38.0,3.0,6.0,433.6,2.0,6.0,515.9,2.0,6.0,1085.0,2.0,6.0,195.3,2.0,5.0,428.7
4.0,2.0,59.4,4.0,1.0,499.1,4.0,1.0,585.4,3.0,1.0,1079.0,3.0,1.0,145.6,3.0,1.0,658.3
4.0,3.0,77.7,4.0,3.0,921.0,4.0,2.0,883.6,3.0,2.0,1713.0,3.0,2.0,229.4,3.0,2.0,993.8
4.0,5.0,58.0,4.0,5.0,742.1,4.0,5.0,696.4,3.0,5.0,1420.0,3.0,4.0,674.0,3.0,4.0,1634.0
4.0,6.0,98.0,4.0,6.0,783.2,4.0,6.0,900.5,3.0,6.0,1496.0,3.0,6.0,317.3,3.0,5.0,992.1
5.0,2.0,10.7,5.0,1.0,133.3,5.0,1.0,171.7,5.0,1.0,540.6,4.0,1.0,458.2,4.0,1.0,1195.0
5.0,3.0,15.6,5.0,3.0,292.2,5.0,2.0,303.3,5.0,2.0,930.1,4.0,2.0,783.2,4.0,2.0,1349.0
5.0,4.0,43.5,5.0,4.0,653.0,5.0,4.0,563.8,5.0,3.0,1282.0,4.0,3.0,1071.0,4.0,3.0,2102.0
5.0,6.0,21.3,5.0,6.0,279.5,5.0,6.0,407.1,5.0,6.0,564.9,4.0,6.0,587.8,4.0,5.0,1324.0
6.0,2.0,61.3,6.0,1.0,340.2,6.0,1.0,754.0,6.0,1.0,1161.0,6.0,1.0,117.4,5.0,1.0,238.1
6.0,3.0,93.1,6.0,3.0,731.5,6.0,2.0,934.7,6.0,2.0,1424.0,6.0,2.0,193.3,5.0,2.0,385.7
6.0,4.0,160.6,6.0,4.0,1106.0,6.0,4.0,1382.0,6.0,3.0,1801.0,6.0,3.0,288.9,5.0,3.0,647.0
6.0,5.0,58.4,6.0,5.0,464.3,6.0,5.0,818.4,6.0,5.0,1028.0,6.0,4.0,469.3,5.0,4.0,767.3
