1,竹腰 正樹,竹腰 正樹.1,2,谷津 幸宏,谷津 幸宏.1,3,上原　健次郎,上原　健次郎.1,4,真庭 明志,真庭 明志.1,5,柴田 光,柴田 光.1,6,磯村 匠,磯村 匠.1
2.0,3.0,34.2,1.0,3.0,65.1,1.0,2.0,103.4,1.0,2.0,90.7,1.0,2.0,49.5,1.0,2.0,171.4
2.0,4.0,16.0,1.0,4.0,36.1,1.0,4.0,109.9,1.0,3.0,128.9,1.0,3.0,100.6,1.0,3.0,167.3
2.0,5.0,13.4,1.0,5.0,33.1,1.0,5.0,94.6,1.0,5.0,73.2,1.0,4.0,58.9,1.0,4.0,210.7
2.0,6.0,70.5,1.0,6.0,130.5,1.0,6.0,77.3,1.0,6.0,180.4,1.0,6.0,170.9,1.0,5.0,223.4
3.0,2.0,53.6,3.0,1.0,166.1,2.0,1.0,149.9,2.0,1.0,127.6,2.0,1.0,71.1,2.0,1.0,221.6
3.0,4.0,53.9,3.0,4.0,171.1,2.0,4.0,160.1,2.0,3.0,160.7,2.0,3.0,141.3,2.0,3.0,221.4
3.0,5.0,48.7,3.0,5.0,148.2,2.0,5.0,150.1,2.0,5.0,88.2,2.0,4.0,70.2,2.0,4.0,259.5
3.0,6.0,79.3,3.0,6.0,252.8,2.0,6.0,113.9,2.0,6.0,211.0,2.0,6.0,197.9,2.0,5.0,231.4
4.0,2.0,22.4,4.0,1.0,79.2,4.0,1.0,174.9,3.0,1.0,255.0,3.0,1.0,187.8,3.0,1.0,125.6
4.0,3.0,37.2,4.0,3.0,115.4,4.0,2.0,198.6,3.0,2.0,254.1,3.0,2.0,231.0,3.0,2.0,132.6
4.0,5.0,18.0,4.0,5.0,62.8,4.0,5.0,167.3,3.0,5.0,202.4,3.0,4.0,228.5,3.0,4.0,141.8
4.0,6.0,69.0,4.0,6.0,194.7,4.0,6.0,145.2,3.0,6.0,248.5,3.0,6.0,257.8,3.0,5.0,140.6
5.0,2.0,17.4,5.0,1.0,59.5,5.0,1.0,151.3,5.0,1.0,91.8,4.0,1.0,89.1,4.0,1.0,322.7
5.0,3.0,34.3,5.0,3.0,107.1,5.0,2.0,190.0,5.0,2.0,88.9,4.0,2.0,84.4,4.0,2.0,337.4
5.0,4.0,22.1,5.0,4.0,62.6,5.0,4.0,179.5,5.0,3.0,135.5,4.0,3.0,161.7,4.0,3.0,300.8
5.0,6.0,73.4,5.0,6.0,180.3,5.0,6.0,161.5,5.0,6.0,167.1,4.0,6.0,203.0,4.0,5.0,332.7
6.0,2.0,126.2,6.0,1.0,332.1,6.0,1.0,58.5,6.0,1.0,335.8,6.0,1.0,375.3,5.0,1.0,349.1
6.0,3.0,115.1,6.0,3.0,317.6,6.0,2.0,63.1,6.0,2.0,340.5,6.0,2.0,356.9,5.0,2.0,304.8
6.0,4.0,142.3,6.0,4.0,348.9,6.0,4.0,72.1,6.0,3.0,316.5,6.0,3.0,339.2,5.0,3.0,280.5
6.0,5.0,141.5,6.0,5.0,317.2,6.0,5.0,75.5,6.0,5.0,308.2,6.0,4.0,375.8,5.0,4.0,355.4
