1,明石 正之,明石 正之.1,2,畑 竜生,畑 竜生.1,3,花田 和明,花田 和明.1,4,北川 潤二,北川 潤二.1,5,浮田 圭浩,浮田 圭浩.1,6,安河内 将,安河内 将.1
2.0,3.0,33.5,1.0,3.0,91.5,1.0,2.0,511.0,1.0,2.0,54.5,1.0,2.0,333.2,1.0,2.0,81.4
2.0,4.0,11.0,1.0,4.0,27.0,1.0,4.0,393.7,1.0,3.0,149.6,1.0,3.0,634.6,1.0,3.0,214.0
2.0,5.0,38.6,1.0,5.0,87.6,1.0,5.0,671.2,1.0,5.0,74.6,1.0,4.0,236.3,1.0,4.0,61.7
2.0,6.0,12.2,1.0,6.0,24.8,1.0,6.0,392.9,1.0,6.0,27.2,1.0,6.0,214.4,1.0,5.0,202.5
3.0,2.0,54.8,3.0,1.0,329.6,2.0,1.0,731.8,2.0,1.0,104.7,2.0,1.0,539.8,2.0,1.0,151.2
3.0,4.0,36.5,3.0,4.0,454.8,2.0,4.0,864.3,2.0,3.0,370.2,2.0,3.0,1374.0,2.0,3.0,530.6
3.0,5.0,91.4,3.0,5.0,831.5,2.0,5.0,1213.0,2.0,5.0,208.2,2.0,4.0,556.8,2.0,4.0,175.0
3.0,6.0,41.5,3.0,6.0,334.6,2.0,6.0,777.7,2.0,6.0,80.3,2.0,6.0,449.3,2.0,5.0,422.3
4.0,2.0,13.1,4.0,1.0,68.3,4.0,1.0,671.2,3.0,1.0,465.6,3.0,1.0,1182.0,3.0,1.0,599.8
4.0,3.0,32.1,4.0,3.0,288.1,4.0,2.0,1171.0,3.0,2.0,657.0,3.0,2.0,1526.0,3.0,2.0,854.4
4.0,5.0,33.4,4.0,5.0,219.0,4.0,5.0,1142.0,3.0,5.0,745.0,3.0,4.0,1427.0,3.0,4.0,615.7
4.0,6.0,8.5,4.0,6.0,67.6,4.0,6.0,684.7,3.0,6.0,348.4,3.0,6.0,1217.0,3.0,5.0,1254.0
5.0,2.0,74.6,5.0,1.0,310.9,5.0,1.0,1354.0,5.0,1.0,96.6,4.0,1.0,259.2,4.0,1.0,74.3
5.0,3.0,150.4,5.0,3.0,990.7,5.0,2.0,1605.0,5.0,2.0,172.6,4.0,2.0,444.5,4.0,2.0,135.0
5.0,4.0,76.8,5.0,4.0,384.4,5.0,4.0,1478.0,5.0,3.0,387.6,4.0,3.0,982.9,4.0,3.0,307.1
5.0,6.0,61.2,5.0,6.0,290.1,5.0,6.0,1484.0,5.0,6.0,68.1,4.0,6.0,193.4,4.0,5.0,176.5
6.0,2.0,20.8,6.0,1.0,84.2,6.0,1.0,745.0,6.0,1.0,33.7,6.0,1.0,291.0,5.0,1.0,367.0
6.0,3.0,56.1,6.0,3.0,320.0,6.0,2.0,1139.0,6.0,2.0,59.6,6.0,2.0,429.1,5.0,2.0,508.2
6.0,4.0,14.7,6.0,4.0,102.6,6.0,4.0,705.5,6.0,3.0,167.8,6.0,3.0,897.6,5.0,3.0,904.1
6.0,5.0,58.0,6.0,5.0,257.0,6.0,5.0,1311.0,6.0,5.0,61.1,6.0,4.0,239.4,5.0,4.0,298.0
