1,高山 敬悟,高山 敬悟.1,2,山本　稔太朗,山本　稔太朗.1,3,岩下 巧斗,岩下 巧斗.1,4,高井 駿弥,高井 駿弥.1,5,篠原 飛翔,篠原 飛翔.1,6,小宮 涼雅,小宮 涼雅.1
2.0,3.0,10.0,1.0,3.0,33.0,1.0,2.0,134.8,1.0,2.0,230.5,1.0,2.0,25.1,1.0,2.0,226.7
2.0,4.0,31.8,1.0,4.0,55.5,1.0,4.0,206.7,1.0,3.0,359.4,1.0,3.0,69.9,1.0,3.0,479.6
2.0,5.0,8.3,1.0,5.0,17.5,1.0,5.0,118.6,1.0,5.0,180.5,1.0,4.0,110.1,1.0,4.0,651.0
2.0,6.0,33.6,1.0,6.0,53.9,1.0,6.0,281.4,1.0,6.0,322.2,1.0,6.0,38.8,1.0,5.0,171.7
3.0,2.0,22.2,3.0,1.0,100.1,2.0,1.0,166.7,2.0,1.0,213.5,2.0,1.0,37.6,2.0,1.0,292.6
3.0,4.0,52.8,3.0,4.0,227.3,2.0,4.0,309.3,2.0,3.0,467.1,2.0,3.0,93.9,2.0,3.0,658.9
3.0,5.0,27.0,3.0,5.0,94.6,2.0,5.0,139.6,2.0,5.0,156.9,2.0,4.0,119.1,2.0,4.0,754.0
3.0,6.0,77.5,3.0,6.0,198.4,2.0,6.0,391.5,2.0,6.0,338.4,2.0,6.0,54.7,2.0,5.0,248.6
4.0,2.0,60.1,4.0,1.0,161.3,4.0,1.0,332.1,3.0,1.0,464.5,3.0,1.0,160.8,3.0,1.0,810.5
4.0,3.0,85.2,4.0,3.0,281.4,4.0,2.0,385.9,3.0,2.0,607.1,3.0,2.0,171.7,3.0,2.0,988.4
4.0,5.0,65.7,4.0,5.0,130.4,4.0,5.0,271.0,3.0,5.0,421.0,3.0,4.0,357.8,3.0,4.0,1362.0
4.0,6.0,127.7,4.0,6.0,259.7,4.0,6.0,528.0,3.0,6.0,714.1,3.0,6.0,220.8,3.0,5.0,661.6
5.0,2.0,13.9,5.0,1.0,33.1,5.0,1.0,146.3,5.0,1.0,150.2,4.0,1.0,150.6,4.0,1.0,970.7
5.0,3.0,31.1,5.0,3.0,76.6,5.0,2.0,156.1,5.0,2.0,142.4,4.0,2.0,140.8,4.0,2.0,1019.0
5.0,4.0,60.6,5.0,4.0,92.2,5.0,4.0,298.5,5.0,3.0,321.0,4.0,3.0,321.0,4.0,3.0,1473.0
5.0,6.0,30.4,5.0,6.0,69.3,5.0,6.0,265.3,5.0,6.0,173.1,4.0,6.0,162.1,4.0,5.0,730.2
6.0,2.0,83.3,6.0,1.0,182.5,6.0,1.0,521.2,6.0,1.0,555.1,6.0,1.0,57.0,5.0,1.0,153.8
6.0,3.0,160.0,6.0,3.0,365.1,6.0,2.0,643.3,6.0,2.0,607.1,6.0,2.0,67.5,5.0,2.0,207.3
6.0,4.0,236.6,6.0,4.0,503.4,6.0,4.0,862.2,6.0,3.0,959.2,6.0,3.0,165.5,5.0,3.0,386.9
6.0,5.0,63.3,6.0,5.0,173.1,6.0,5.0,465.8,6.0,5.0,428.8,6.0,4.0,194.8,5.0,4.0,494.2
