1,嶋 義信,嶋 義信.1,2,齋藤 勇,齋藤 勇.1,3,大谷 直弘,大谷 直弘.1,4,中曽 瑠華,中曽 瑠華.1,5,小林 孝弘,小林 孝弘.1,6,山本 浩輔,山本 浩輔.1
2.0,3.0,7.6,1.0,3.0,37.1,1.0,2.0,28.9,1.0,2.0,1201.0,1.0,2.0,84.9,1.0,2.0,329.1
2.0,4.0,137.1,1.0,4.0,277.8,1.0,4.0,308.0,1.0,3.0,2030.0,1.0,3.0,69.4,1.0,3.0,293.6
2.0,5.0,11.3,1.0,5.0,41.1,1.0,5.0,25.6,1.0,5.0,1456.0,1.0,4.0,457.7,1.0,4.0,1191.0
2.0,6.0,28.0,1.0,6.0,76.7,1.0,6.0,40.7,1.0,6.0,2402.0,1.0,6.0,70.8,1.0,5.0,225.9
3.0,2.0,5.7,3.0,1.0,82.8,2.0,1.0,88.6,2.0,1.0,1310.0,2.0,1.0,136.6,2.0,1.0,544.0
3.0,4.0,113.4,3.0,4.0,819.2,2.0,4.0,1001.0,2.0,3.0,2288.0,2.0,3.0,250.7,2.0,3.0,819.2
3.0,5.0,7.1,3.0,5.0,152.7,2.0,5.0,140.6,2.0,5.0,2059.0,2.0,4.0,1211.0,2.0,4.0,2030.0
3.0,6.0,14.6,3.0,6.0,257.9,2.0,6.0,208.0,2.0,6.0,2288.0,2.0,6.0,218.1,2.0,5.0,556.6
4.0,2.0,427.8,4.0,1.0,843.1,4.0,1.0,948.5,3.0,1.0,3134.0,3.0,1.0,101.9,3.0,1.0,389.6
4.0,3.0,576.7,4.0,3.0,1486.0,4.0,2.0,1657.0,3.0,2.0,2529.0,3.0,2.0,243.1,3.0,2.0,833.4
4.0,5.0,775.1,4.0,5.0,1897.0,4.0,5.0,1399.0,3.0,5.0,2574.0,3.0,4.0,1264.0,3.0,4.0,2942.0
4.0,6.0,766.9,4.0,6.0,2151.0,4.0,6.0,1584.0,3.0,6.0,3516.0,3.0,6.0,163.2,3.0,5.0,403.8
5.0,2.0,19.0,5.0,1.0,105.8,5.0,1.0,54.0,5.0,1.0,2288.0,4.0,1.0,1144.0,4.0,1.0,2827.0
5.0,3.0,15.7,5.0,3.0,169.6,5.0,2.0,121.0,5.0,2.0,2942.0,4.0,2.0,2443.0,4.0,2.0,3353.0
5.0,4.0,314.1,5.0,4.0,936.2,5.0,4.0,728.1,5.0,3.0,2772.0,4.0,3.0,2120.0,4.0,3.0,3432.0
5.0,6.0,28.0,5.0,6.0,210.7,5.0,6.0,90.4,5.0,6.0,2089.0,4.0,6.0,1347.0,4.0,5.0,2288.0
6.0,2.0,65.2,6.0,1.0,276.2,6.0,1.0,131.4,6.0,1.0,2720.0,6.0,1.0,92.8,5.0,1.0,232.5
6.0,3.0,46.5,6.0,3.0,502.3,6.0,2.0,329.9,6.0,2.0,2942.0,6.0,2.0,176.6,5.0,2.0,388.6
6.0,4.0,548.2,6.0,4.0,1550.0,6.0,4.0,1144.0,6.0,3.0,4650.0,6.0,3.0,149.2,5.0,3.0,351.6
6.0,5.0,58.6,6.0,5.0,351.6,6.0,5.0,151.1,6.0,5.0,3067.0,6.0,4.0,583.7,5.0,4.0,1310.0
