1,仲谷 颯仁,仲谷 颯仁.1,2,米丸 乃絵,米丸 乃絵.1,3,竹井 貴史,竹井 貴史.1,4,冨名腰　桃奈,冨名腰　桃奈.1,5,山田 丈,山田 丈.1,6,奈須 啓太,奈須 啓太.1
2.0,3.0,6.1,1.0,3.0,36.9,1.0,2.0,30.5,1.0,2.0,873.1,1.0,2.0,316.2,1.0,2.0,326.2
2.0,4.0,36.9,1.0,4.0,160.4,1.0,4.0,101.2,1.0,3.0,889.7,1.0,3.0,210.8,1.0,3.0,245.2
2.0,5.0,14.4,1.0,5.0,74.9,1.0,5.0,29.6,1.0,5.0,1150.0,1.0,4.0,936.1,1.0,4.0,959.2
2.0,6.0,22.3,1.0,6.0,110.3,1.0,6.0,36.9,1.0,6.0,989.7,1.0,6.0,357.9,1.0,5.0,558.1
3.0,2.0,5.2,3.0,1.0,72.6,2.0,1.0,76.2,2.0,1.0,1521.0,2.0,1.0,679.9,2.0,1.0,573.1
3.0,4.0,27.1,3.0,4.0,364.3,2.0,4.0,400.2,2.0,3.0,2085.0,2.0,3.0,945.6,2.0,3.0,1052.0
3.0,5.0,6.2,3.0,5.0,194.9,2.0,5.0,193.1,2.0,5.0,2267.0,2.0,4.0,2004.0,2.0,4.0,2039.0
3.0,6.0,8.7,3.0,6.0,234.6,2.0,6.0,229.7,2.0,6.0,2193.0,2.0,6.0,1338.0,2.0,5.0,1914.0
4.0,2.0,90.6,4.0,1.0,733.3,4.0,1.0,410.8,3.0,1.0,1216.0,3.0,1.0,319.0,3.0,1.0,377.6
4.0,3.0,83.0,4.0,3.0,955.2,4.0,2.0,726.5,3.0,2.0,2312.0,3.0,2.0,819.5,3.0,2.0,947.5
4.0,5.0,146.2,4.0,5.0,1357.0,4.0,5.0,543.1,3.0,5.0,1644.0,3.0,4.0,1572.0,3.0,4.0,2420.0
4.0,6.0,159.4,4.0,6.0,1315.0,4.0,6.0,747.4,3.0,6.0,2347.0,3.0,6.0,869.9,3.0,5.0,1252.0
5.0,2.0,32.2,5.0,1.0,306.9,5.0,1.0,104.6,5.0,1.0,2022.0,4.0,1.0,2395.0,4.0,1.0,2484.0
5.0,3.0,23.9,5.0,3.0,424.2,5.0,2.0,273.6,5.0,2.0,3707.0,4.0,2.0,3992.0,4.0,2.0,3199.0
5.0,4.0,132.5,5.0,4.0,1096.0,5.0,4.0,536.3,5.0,3.0,2256.0,4.0,3.0,2172.0,4.0,3.0,4365.0
5.0,6.0,52.1,5.0,6.0,852.4,5.0,6.0,240.2,5.0,6.0,2595.0,4.0,6.0,2831.0,4.0,5.0,4133.0
6.0,2.0,51.5,6.0,1.0,403.7,6.0,1.0,147.5,6.0,1.0,2245.0,6.0,1.0,753.4,5.0,1.0,1038.0
6.0,3.0,36.3,6.0,3.0,659.8,6.0,2.0,325.0,6.0,2.0,2831.0,6.0,2.0,1286.0,5.0,2.0,2085.0
6.0,4.0,192.0,6.0,4.0,1749.0,6.0,4.0,893.1,6.0,3.0,3053.0,6.0,3.0,1035.0,5.0,3.0,1526.0
6.0,5.0,81.2,6.0,5.0,1162.0,6.0,5.0,337.7,6.0,5.0,3460.0,6.0,4.0,2747.0,5.0,4.0,3114.0
